r0_Lp,period_Lp,tau0_over_period,tau0_Lp,rho_req_mean,negative_amp,positive_amp,min_sampled_avg,mean_sampled_avg,max_sampled_avg,QI_bound,violates_at_min,geometry_window_ratio_at_tau0_0p1r0
1000.0,1.0,0.005,0.005,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-3.0078369584791113e-06,-5.728151499969838e-09,2.2391387292265238e-06,-15198177.546350665,False,418.8790204786391
1000.0,1.0,0.02,0.02,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-2.399648752168539e-06,-9.3632934427931e-09,1.923706915108103e-06,-59367.88104043229,False,418.8790204786391
1000.0,1.0,0.1,0.1,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-7.624517610803906e-07,6.609100245581558e-09,8.315691045568753e-07,-94.98860966469165,False,418.8790204786391
1000.0,1.0,0.5,0.5,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-1.5525718719842972e-08,2.3016847833396175e-08,6.410397756168113e-08,-0.15198177546350666,False,418.8790204786391
1000.0,1.0,1.0,1.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.208988397933484e-08,2.3808373906630695e-08,2.5611758852587035e-08,-0.009498860966469166,False,418.8790204786391
1000.0,1.0,5.0,5.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.366663229751944e-08,2.3811077791931494e-08,2.3951290127455146e-08,-1.5198177546350666e-05,False,418.8790204786391
1000.0,1.0,10.0,10.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.374114323305931e-08,2.39172472737674e-08,2.409484844677003e-08,-9.498860966469166e-07,False,418.8790204786391
1000.0,10.0,0.005,0.05,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-3.0074751725542934e-06,9.589688439180535e-09,2.239920533685328e-06,-1519.8177546350664,False,418.8790204786391
1000.0,10.0,0.02,0.2,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-2.3982230574723533e-06,-3.867446121564726e-09,1.9267262040852927e-06,-5.936788104043228,False,418.8790204786391
1000.0,10.0,0.1,1.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-7.572755524801936e-07,1.1329561015035255e-08,8.396623091908139e-07,-0.009498860966469166,False,418.8790204786391
1000.0,10.0,0.5,5.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-1.102806733508973e-08,2.7668366355082906e-08,6.886236876370823e-08,-1.5198177546350666e-05,False,418.8790204786391
1000.0,10.0,1.0,10.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.659262943660992e-08,2.8328980479358466e-08,3.012788616229635e-08,-9.498860966469166e-07,False,418.8790204786391
1000.0,10.0,5.0,50.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.736434761126224e-08,2.7390106493936367e-08,2.7399287596592216e-08,-1.5198177546350666e-09,False,418.8790204786391
1000.0,10.0,10.0,100.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.6763645180855805e-08,2.6796653316931052e-08,2.6817650204746e-08,-9.498860966469166e-11,False,418.8790204786391
1000.0,100.0,0.005,0.5,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-3.0075826955683873e-06,6.0992413493401255e-09,2.237800832049603e-06,-0.15198177546350666,False,418.8790204786391
1000.0,100.0,0.02,2.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-2.3986520695911634e-06,-8.708838078824932e-09,1.9190299786235106e-06,-0.0005936788104043229,False,418.8790204786391
1000.0,100.0,0.1,10.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-7.592760445601307e-07,6.657571201016135e-09,8.279920605627162e-07,-9.498860966469166e-07,False,418.8790204786391
1000.0,100.0,0.5,50.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,-1.5260337963285225e-08,2.30435756639894e-08,6.380668327430016e-08,-1.5198177546350666e-09,True,418.8790204786391
1000.0,100.0,1.0,100.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.2137806339792985e-08,2.3842999773462862e-08,2.562127773156894e-08,-9.498860966469166e-11,False,418.8790204786391
1000.0,100.0,5.0,500.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.384775266580252e-08,2.389455817880567e-08,2.3941720788160707e-08,-1.5198177546350666e-13,False,418.8790204786391
1000.0,100.0,10.0,1000.0,-3.978873577297384e-08,-3.183098861837907e-06,2.3873241463784303e-06,2.382910400322909e-08,2.3910071676396893e-08,2.399141850620055e-08,-9.498860966469166e-15,False,418.8790204786391
1000000.0,1.0,0.005,0.005,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-3.007836958479111e-12,-5.7281514999698895e-15,2.2391387292265243e-12,-15198177.546350665,False,418879020.4786391
1000000.0,1.0,0.02,0.02,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-2.3996487521685383e-12,-9.363293442793047e-15,1.9237069151081032e-12,-59367.88104043229,False,418879020.4786391
1000000.0,1.0,0.1,0.1,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-7.624517610803904e-13,6.609100245581509e-15,8.315691045568752e-13,-94.98860966469165,False,418879020.4786391
1000000.0,1.0,0.5,0.5,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-1.5525718719842984e-14,2.3016847833396135e-14,6.410397756168109e-14,-0.15198177546350666,False,418879020.4786391
1000000.0,1.0,1.0,1.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.20898839793348e-14,2.3808373906630658e-14,2.5611758852586982e-14,-0.009498860966469166,False,418879020.4786391
1000000.0,1.0,5.0,5.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.366663229751941e-14,2.3811077791931455e-14,2.395129012745511e-14,-1.5198177546350666e-05,False,418879020.4786391
1000000.0,1.0,10.0,10.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.374114323305931e-14,2.3917247273767356e-14,2.4094848446769985e-14,-9.498860966469166e-07,False,418879020.4786391
1000000.0,10.0,0.005,0.05,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-3.0074751725542936e-12,9.589688439180524e-15,2.2399205336853277e-12,-1519.8177546350664,False,418879020.4786391
1000000.0,10.0,0.02,0.2,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-2.3982230574723534e-12,-3.867446121564759e-15,1.926726204085293e-12,-5.936788104043228,False,418879020.4786391
1000000.0,10.0,0.1,1.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-7.572755524801938e-13,1.13295610150352e-14,8.396623091908142e-13,-0.009498860966469166,False,418879020.4786391
1000000.0,10.0,0.5,5.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-1.1028067335089756e-14,2.7668366355082867e-14,6.886236876370816e-14,-1.5198177546350666e-05,False,418879020.4786391
1000000.0,10.0,1.0,10.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.6592629436609848e-14,2.8328980479358427e-14,3.012788616229635e-14,-9.498860966469166e-07,False,418879020.4786391
1000000.0,10.0,5.0,50.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.736434761126222e-14,2.7390106493936336e-14,2.7399287596592172e-14,-1.5198177546350666e-09,False,418879020.4786391
1000000.0,10.0,10.0,100.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.676364518085577e-14,2.6796653316931006e-14,2.6817650204745957e-14,-9.498860966469166e-11,False,418879020.4786391
1000000.0,100.0,0.005,0.5,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-3.0075826955683883e-12,6.099241349340069e-15,2.2378008320496036e-12,-0.15198177546350666,False,418879020.4786391
1000000.0,100.0,0.02,2.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-2.3986520695911638e-12,-8.708838078825043e-15,1.9190299786235092e-12,-0.0005936788104043229,False,418879020.4786391
1000000.0,100.0,0.1,10.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-7.592760445601305e-13,6.657571201016111e-15,8.27992060562716e-13,-9.498860966469166e-07,False,418879020.4786391
1000000.0,100.0,0.5,50.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,-1.5260337963285248e-14,2.304357566398936e-14,6.380668327430011e-14,-1.5198177546350666e-09,False,418879020.4786391
1000000.0,100.0,1.0,100.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.2137806339792973e-14,2.384299977346283e-14,2.562127773156887e-14,-9.498860966469166e-11,False,418879020.4786391
1000000.0,100.0,5.0,500.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.3847752665802487e-14,2.3894558178805623e-14,2.3941720788160652e-14,-1.5198177546350666e-13,False,418879020.4786391
1000000.0,100.0,10.0,1000.0,-3.978873577297384e-14,-3.183098861837907e-12,2.3873241463784304e-12,2.3829104003229043e-14,2.3910071676396855e-14,2.3991418506200526e-14,-9.498860966469166e-15,False,418879020.4786391
1000000000.0,1.0,0.005,0.005,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-3.0078369584791105e-18,-5.72815149996989e-21,2.2391387292265243e-18,-15198177.546350665,False,418879020478639.06
1000000000.0,1.0,0.02,0.02,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-2.3996487521685382e-18,-9.363293442793034e-21,1.9237069151081035e-18,-59367.88104043229,False,418879020478639.06
1000000000.0,1.0,0.1,0.1,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-7.624517610803905e-19,6.6091002455815244e-21,8.315691045568752e-19,-94.98860966469165,False,418879020478639.06
1000000000.0,1.0,0.5,0.5,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-1.5525718719842966e-20,2.3016847833396153e-20,6.41039775616811e-20,-0.15198177546350666,False,418879020478639.06
1000000000.0,1.0,1.0,1.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.208988397933483e-20,2.3808373906630678e-20,2.5611758852586992e-20,-0.009498860966469166,False,418879020478639.06
1000000000.0,1.0,5.0,5.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.3666632297519416e-20,2.381107779193147e-20,2.3951290127455123e-20,-1.5198177546350666e-05,False,418879020478639.06
1000000000.0,1.0,10.0,10.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.3741143233059286e-20,2.3917247273767373e-20,2.4094848446769997e-20,-9.498860966469166e-07,False,418879020478639.06
