eta,r0_max_Lp,r0_max_m
0.1,48.86025119029198,7.897062528756537e-34
0.03,542.8916798921333,8.7745139208406e-33
0.01,4886.025119029199,7.897062528756538e-32
0.003,54289.167989213325,8.774513920840599e-31
0.001,488602.51190291997,7.89706252875654e-30
