phase,region,points,rho_packet_min
throat_relax,support_edge,2.0,-0.0652342357297781
reset_tail,support_edge,3.0,-0.0557050201400173
shift_fade,support_edge,5.0,-0.0534978652891979
reset_tail,core_throat,3.0,-0.0528145395790908
shift_fade,outer_shoulder,6.0,-0.0374630460757504
throat_relax,packet_outer,1.0,-0.019919646576681
reset_tail,packet_outer,1.0,-0.0070187359252918
throat_relax,outer_shoulder,2.0,-0.0042205968294493
reset_tail,outer_shoulder,2.0,-0.0041714088821244
throat_relax,packet_in_support,1.0,0.0109017772107481
