phase,region,points,j_l_unit_max_abs
throat_relax,support_edge,2.0,0.0480252068109016
reset_tail,support_edge,3.0,0.0343812941938209
reset_tail,core_throat,3.0,0.0281622509267082
throat_relax,packet_in_support,1.0,0.005302153018789
throat_relax,core_throat,3.0,0.0035076635756713
shift_fade,support_edge,5.0,0.0025859026856283
throat_relax,packet_outer,1.0,0.0024269262336763
shift_fade,outer_shoulder,6.0,0.000493526659289
reset_tail,packet_outer,1.0,0.0001305896269772
throat_relax,outer_shoulder,2.0,3.4274252626430466e-06
