case,observer_family,B_setup_neg_total,B_setup_pos_total,B_setup_neg_centroid,B_setup_pos_centroid,B_setup_pos_overlay,R_open_neg_total,R_open_pos_total,R_open_neg_centroid,R_open_pos_centroid,R_open_pos_overlay,hold_neg_total,hold_pos_total,hold_neg_centroid,hold_pos_centroid,hold_pos_overlay,R_close_neg_total,R_close_pos_total,R_close_neg_centroid,R_close_pos_centroid,R_close_pos_overlay,comp_neg_total,comp_pos_total,comp_neg_centroid,comp_pos_centroid,comp_pos_overlay,B_reset_neg_total,B_reset_pos_total,B_reset_neg_centroid,B_reset_pos_centroid,B_reset_pos_overlay,open_interval_neg_total,open_interval_pos_total,open_interval_neg_centroid,open_interval_pos_centroid,open_interval_pos_overlay,setup_reset_neg_total,setup_reset_pos_total,setup_reset_neg_centroid,setup_reset_pos_centroid,setup_reset_pos_overlay,full_cycle_neg_total,full_cycle_pos_total,full_cycle_neg_centroid,full_cycle_pos_centroid,full_cycle_pos_overlay,open_comp_ratio,setup_reset_comp_ratio,full_cycle_overlay_to_total_neg_ratio
target_v02_combined,core_line,0.010543088481388749,0.0,25.195612863589,,0.0,0.0021945711674764847,0.0,153.39936358329825,,0.0,0.07004104791384447,0.0,185.25000000000003,,0.0,0.0017117683926116544,0.0,216.91748398716413,,0.0,0.0,0.0868762494317987,,229.99487766958094,0.0,0.010543088481388749,0.0,364.80438713641104,,0.0,0.07774652601106846,0.0,185.02398291847805,,0.0,0.021510943615787724,0.0,194.99999999999997,,0.0,0.0989399039998314,0.08740959181267124,187.1300623623027,230.00065174516158,0.0,0.0,0.0,0.0
target_v02_combined,access_mean,0.034204072023049245,0.007823640431792645,17.79895598979251,88.57655773091027,0.0,0.0038559825972233185,0.0,152.98861142743965,,0.0,0.06681702787724632,0.0,185.25658719804596,,0.0,0.0034733401719054596,0.0,217.374840047763,,0.0,0.0,0.08644407787687526,,229.99974485133117,0.0,0.03409319604427903,0.007823640431792643,372.6287468763246,301.42344226908966,0.0,0.07824296358313833,0.0,185.1264952625804,,0.0,0.07546360223988431,0.015647280863585286,191.6198066695094,195.0,0.0,0.14755971902941326,0.1025584392482613,189.6015978531816,224.66853656614012,0.0,0.0,0.0,0.0
target_v02_combined,support_mean,0.27488901031897595,0.165406684222279,15.965230094451478,85.62978003976313,0.0,0.005665379180539821,0.0,152.6153616143083,,0.0,0.05488041841019508,0.0,185.22835562943206,,0.0,0.005750754674518185,0.0,217.73960638997076,,0.0,0.00011170010485002987,0.07853224688680512,221.0,230.00923146788259,0.0,0.27443508433347946,0.16540668422227897,374.25521821642656,304.37021996023685,0.0,0.0696490218185032,0.0,185.36735402025167,,0.0,0.5852339318326039,0.33081336844455794,193.29940132405432,195.00000000000003,0.0,0.6223671477124707,0.40949745243275965,193.81541473968647,201.7302383577817,0.0,0.0,0.0,0.0
target_v02_combined,support_ring_mean,0.8837828822000253,0.23929136028757952,17.298362391419147,88.14692499605489,0.0,0.007209923814723384,0.0,152.31270676977556,,0.0,0.03939110908048462,0.0,185.14321029637912,,0.0,0.008007220518333288,0.0,217.999438631781,,0.0,0.0008093345206323806,0.05897957324850989,224.4760654165873,229.99986634006447,0.0,0.8828495817559047,0.23929136028757947,372.8410985493225,301.8530750039451,0.0,0.056534336813674896,0.0,185.8037371436941,,0.0,1.8534873628666328,0.478582720575159,193.9145761774028,195.0,0.0,1.830990274641836,0.5375622938236688,194.66878536743283,198.84007063778364,0.0,0.0,0.0,0.0
target_v02_combined,shoulder_mean,0.25446187043922575,0.19210689244181456,16.694425023518665,86.41305978792174,0.0,0.0011640037670360918,7.510334440526008e-05,151.95088284721987,154.375,0.0,0.002348899549730164,0.00016574479057981922,184.86058804339655,190.5127449375456,0.0,0.0013921861566928199,0.0,218.38040849411036,,0.0,0.0002976444807275348,0.008427256387999129,225.53748830918514,230.01232355280217,0.0,0.2541896901289856,0.19210689244181456,373.4474513417294,303.5869402120783,0.0,0.004905554728864432,0.0004816962699701585,186.5675010400663,179.2439613771412,0.0,0.5336142065616132,0.3842137848836291,193.92249561893328,195.0,0.0,0.5157111364985796,0.39312273754159843,194.88823466098282,195.7312428787065,0.0,0.0,0.0,0.0
target_v02_combined,matching_mean,0.03528737226375209,0.0,50.32160518105756,,0.0,0.00011915398310106697,0.0,152.74999613465934,,0.0,0.002144766594112602,0.0,185.25,,0.0,0.00011915369967292234,0.0,217.75,,0.0,0.00065534563142131,0.0,229.93750386533003,,0.0,0.0352873722637521,0.0,339.6783948189424,,0.0,0.002502227976559514,0.0,185.2499961346506,,0.0,0.07391344726609063,0.0,195.0,,0.0,0.0739110920937734,0.0,194.99999999990095,,0.0,0.0,0.0,0.0
nmc_quadratic_feature_fit,core_line,0.03049167641396238,0.0,55.21791980050109,,0.0,0.0011613986590729545,0.0,153.67040755329367,,0.0,0.05199161571856012,0.0,185.25000000000003,,0.0,0.0008174289916561128,0.0,216.63991292088977,,0.0,0.0,0.05573683808902136,,229.9996549423649,0.0,0.030491676406955465,0.0,334.78208019949875,,0.0,0.056642296403927844,0.0,184.9962240897773,,0.0,0.06098335292753869,0.0,194.9999999839397,,0.0,0.11763705843062068,0.055746222694532416,190.17952900088338,229.99998937582438,0.0,0.0,0.0,0.0
nmc_quadratic_feature_fit,access_mean,0.012669428940799995,1.0231228272146805e-05,55.835249392828,149.5,0.0,0.002455844809896653,0.0,153.3488227099443,,0.0,0.06705428943406391,0.0,185.27000978973888,,0.0,0.0019638615097258153,0.0,217.03474288833286,,0.0,0.0,0.06126650128060962,,229.99202273012062,0.0,0.012669026591774634,9.340002641931763e-05,334.1676712017664,240.50521796222327,0.0,0.07546022021427616,0.0,185.03921070225564,,0.0,0.02533845553257463,0.005890186417516513,194.99925047873703,231.490286227275,0.0,0.10107096715036776,0.06173833888366051,187.52002178056597,229.99521300047695,0.0,0.0,0.0,0.0
nmc_quadratic_feature_fit,support_mean,0.09986083688279988,0.0,56.27406571713354,,0.0,0.0054233108043527075,0.0,152.74535035359324,,0.0,0.06729145214870541,0.0,185.2385187191314,,0.0,0.0052821480475335175,0.0,217.67294011581748,,0.0,0.00035870747300861887,0.04950459913515816,230.75,229.90597830612177,0.0,0.09923184998380605,0.0002590022114352252,334.3165623158234,240.54339424773462,0.0,0.08204781258389314,0.0,185.2836609364119,,0.0,0.2333550104268814,0.014375805717591226,188.1967031608178,240.50078181399687,0.0,0.2844931893214375,0.05051846283911607,191.94569272164338,229.94807391933756,0.0,0.0,0.0,0.0
nmc_quadratic_feature_fit,support_ring_mean,0.15066778828469113,8.814608141205247e-08,55.67596574628024,0.0,0.0,0.005698925483934858,0.000436450544177001,152.0088735748474,154.375,0.0,0.01628142245830676,0.003017525484290464,185.02405638652726,190.1249099395442,0.0,0.006487480485625703,0.0,218.2682304221808,,0.0,0.0007285056623927351,0.09956451824691852,220.99999999999997,229.98099620499545,0.0,0.1501572188834911,1.9098881179485942e-05,334.6423718083504,242.80747978635813,0.0,0.028638897084840007,0.006273886773898134,186.17075767855155,182.85171881694936,0.0,0.39875207915056815,1.9187027260897994e-05,192.08482737222744,241.69201111110792,0.0,0.3375087644238747,0.10602780318025833,194.05753467520003,227.20865552421498,0.0,0.0,0.0,0.0
