zone,max_abs_phi_rank1,mean_phi2_rank1,max_phi2_rank1
access,7079.203774776049,682841.3863355294,50115126.084803455
support,44692.97686972624,15545686.726710467,1997462181.4778848
support_ring,58262.03236478007,40920406.73955147,3394464415.27468
shoulder,97536.58230434012,300037094.41272193,9513384887.611313
global,135830.97714348274,650821817.533206,18450054351.75333
