wth_multiplier,rows,exact_worldline_gtt_positive_rows,worst_calibrated_tidal_proxy,median_calibrated_tidal_proxy,worst_calibrated_integrated_proxy,median_reduction_pct_est,worst_case_reduction_pct_est,best_case_reduction_pct_est,worst_min_margin,worst_max_gtt,mean_support_wall_density_share,min_support_wall_density_share,worst_W_tail_outside_service_region
1.0,23,0,3304.097814964945,2928.9669847235564,320.8741756564908,0.0,0.0,0.0,1.0,-1.0,0.9999966226096386,0.9999954600975394,2.453661377410654e-06
1.5,23,0,1474.9006647537342,1309.7809363086108,213.62406175488908,55.37904982065203,55.14596423429794,55.6356410738826,1.0,-1.0,0.9997364345759712,0.9996727974958507,0.0001818855213372439
2.0,23,0,829.4356438416952,734.908993650782,159.96057232038828,74.8632081941264,74.75626858571303,75.01181374908678,1.0,-1.0,0.9976424817461641,0.9972280075410959,0.0015639688235063454
2.5,23,0,531.7481648391396,471.9686762639745,127.71184052963683,83.85680613975617,83.7438581353676,83.97252456233922,1.0,-1.0,0.99121447695409,0.9900602442546927,0.005668361444908121
3.0,23,0,369.18145469980254,327.79812731957935,106.15089020234144,88.788008648724,88.6280758544476,88.86141155016323,1.0,-1.0,0.9789821148781165,0.976896577061436,0.013308223104383177
4.0,23,0,208.24544744384403,184.78480671428537,78.99910713450394,93.67962937534445,93.49029551664736,93.72325282402826,1.0,-1.0,0.9386915986241177,0.9352785682708116,0.038071224015969685
5.0,23,0,133.58993625617666,118.5275556694442,62.44507938665057,95.94588919735322,95.74519779102663,95.97344871478406,1.0,-1.0,0.8864833782983933,0.8833452839051947,0.07020233984741531
6.0,23,0,93.04126673234896,82.58993647424013,51.18034648453565,97.1750977925849,96.97413586515448,97.19563373455709,1.0,-1.0,0.8325103909495695,0.8310721176791462,0.10405235507668886
