case_label,mode,mode_id,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,baseline_actual_max_tidal_proxy,baseline_actual_integrated_proxy,wth_multiplier,wth,wpass,raw_wall_proxy_max,raw_wall_proxy_integral_max_offset,raw_wall_proxy_integral_mean_offset,max_gtt_exact_worldline,gtt_positive_points_exact_worldline,min_lapse_shift_margin_exact_worldline,support_wall_density_share_in_service_region,max_W_tail_outside_service_region,peak_offset,peak_L,peak_l,peak_q,peak_E,peak_W,peak_S,peak_gtt,peak_wall_proxy_raw,peak_Wp,peak_Wpp,baseline_raw_wall_proxy_max,baseline_raw_wall_integral,calibrated_tidal_proxy_estimate,calibrated_integrated_proxy_estimate,tidal_proxy_reduction_pct_est,integrated_reduction_pct_est
rep_V0.9_C10000_D0.1,shift_first,1,0.9,1.05,10000.0,0.1,0.35,0.4000000000000001,1.1,0.7,2923.638781457622,286.37031002192606,4.0,0.06666666666666667,0.016666666666666666,6966.882757338827,997.8328817577294,762.136061862298,-1.0,0,1.0,0.9352785682708116,0.038071224015969685,-0.15,-0.609,-0.759,0.9999426175281553,0.9968766294138323,0.43250943070564435,0.9999999641117956,-2573.3494493198523,6966.882757338827,7.451710899989992,20.719514281001082,110229.0224905679,4070.1232172907576,184.78480671428537,70.2066489007278,93.67962937534445,75.48396378962875
rep_V0.9_C10000_D0.3,shift_first,1,0.9,1.05,10000.0,0.3,0.35,0.4000000000000001,1.1,0.7,358.6348456850761,96.47572030048678,4.0,0.19999999999999998,0.049999999999999996,796.6443508548264,275.1727167206614,224.98390934992042,-1.0,0,1.0,0.9450910305365663,0.026524591838161138,-0.15,-0.645,-0.795,0.999953286403316,0.9974558938768232,0.3861558557155345,0.9967123385953411,-1128.303560802038,796.6443508548264,2.512618814608661,2.9036682930495235,12318.237135449675,1337.3372875572138,23.193612908498263,19.851002660039015,93.5328055297602,79.42383576073819
rep_V0.9_C100_D0.1,shift_first,1,0.9,1.05,100.0,0.1,0.35,0.4000000000000001,1.1,0.7,2399.578765119136,249.80181602702208,4.0,0.06666666666666667,0.016666666666666666,1864.336761348816,290.1456928390734,217.92344449179453,-1.0,0,1.0,0.9352785682708116,0.038071224015969685,-0.15,-0.618,-0.768,0.9999454938688664,0.9970327347258898,0.3666814608266888,0.9999999641117956,-27.181304120788635,1864.336761348816,7.133987853701967,49.146097351989155,29624.835019235925,1194.9120215860587,151.00920901867636,60.656282365805176,93.70684508407129,75.71823802944502
rep_V0.9_C100_D0.3,shift_first,1,0.9,1.05,100.0,0.3,0.35,0.4000000000000001,1.1,0.7,281.37714235648053,82.26127942635013,4.0,0.19999999999999998,0.049999999999999996,214.70708942055424,75.05722552681858,62.74276350873155,-1.0,0,1.0,0.9450910305365663,0.026524591838161138,-0.15,-0.666,-0.8160000000000001,0.9999585685375728,0.997742930958089,0.33424666404287884,0.9967123385953411,-20.49961865619931,214.70708942055424,2.4210810480156537,5.765326096551512,3298.386638676694,390.47603468730097,18.31612660457257,15.812246728464853,93.49054210616454,80.77801993996238
rep_V1.25_C10000_D0.1,shift_first,1,1.25,1.4375,10000.0,0.1,0.35,0.4000000000000001,1.1,0.7,3057.575175209113,297.4719951966497,4.0,0.06666666666666667,0.016666666666666666,7208.802186155063,1031.267673612018,788.0194877320095,-1.0,0,1.0,0.9352785682708116,0.038071224015969685,-0.15,-0.609,-0.759,0.9999426175281553,0.9968766294138323,0.43250943070564435,0.9999999641117956,-3108.9426585834553,7208.802186155063,7.451710899989992,20.719514281001082,113994.04119761374,4205.537761553296,193.3561998137347,72.94507143787219,93.67615876196696,75.47833993931079
rep_V1.25_C10000_D0.3,shift_first,1,1.25,1.4375,10000.0,0.3,0.35,0.4000000000000001,1.1,0.7,374.6805714109068,100.26632446080828,4.0,0.19999999999999998,0.049999999999999996,824.1809424402007,284.83709222139413,232.84601091976322,-1.0,0,1.0,0.9450910305365663,0.026524591838161138,-0.15,-0.645,-0.795,0.999953286403316,0.9974558938768232,0.3861558557155345,0.9967123385953411,-1342.1403750121412,824.1809424402007,2.512618814608661,2.9036682930495235,12746.425628457213,1382.0536395279128,24.22675936460556,20.664587459064876,93.53402305505817,79.3903012101115
rep_V1.25_C100_D0.1,shift_first,1,1.25,1.4375,100.0,0.1,0.35,0.4000000000000001,1.1,0.7,2611.439545590607,268.40507668504176,4.0,0.06666666666666667,0.016666666666666666,1990.9089305802945,307.9079212756474,231.4638487418988,-1.0,0,1.0,0.9352785682708116,0.038071224015969685,-0.15,-0.615,-0.765,0.9999445514752772,0.9969815836752915,0.3882913849555312,0.9999999641117956,-38.998785508838324,1990.9089305802945,7.268148270940309,40.18833695682317,31650.543110670616,1267.0470078711678,164.26695411852367,65.22571673230699,93.7097163747908,75.69877681231578
rep_V1.25_C100_D0.3,shift_first,1,1.25,1.4375,100.0,0.3,0.35,0.4000000000000001,1.1,0.7,305.82097209708274,88.4015833617946,4.0,0.19999999999999998,0.049999999999999996,229.0162638918806,79.93052142281455,66.68497167118197,-1.0,0,1.0,0.9450910305365663,0.026524591838161138,-0.15,-0.663,-0.8130000000000001,0.9999578521912991,0.9977039943959791,0.341535271191606,0.9967123385953411,-25.579938478036407,229.0162638918806,2.4377959982047144,5.3765664372643105,3520.2814006541735,414.34190899503875,19.8955618821955,17.05351184447831,93.49437622090886,80.70904253526244
rep_V2.0_C10000_D0.3,shift_first,1,2.0,2.3,10000.0,0.3,0.35,0.4000000000000001,1.1,0.7,398.21557372854016,105.65282257954988,4.0,0.19999999999999998,0.049999999999999996,868.6535340676729,300.55219809760433,245.64222010622908,-1.0,0,1.0,0.9450910305365663,0.026524591838161138,-0.15,-0.645,-0.795,0.999953286403316,0.9974558938768232,0.3861558557155345,0.9967123385953411,-1612.1163463725786,868.6535340676729,2.512618814608661,2.9036682930495235,13438.235092805986,1454.3815330120196,25.740833007547423,21.833464837618706,93.53595521979894,79.33470748386348
rep_V2.0_C100_D0.1,shift_first,1,2.0,2.3,100.0,0.1,0.35,0.4000000000000001,1.1,0.7,2928.9669847235564,294.542196981331,4.0,0.06666666666666667,0.016666666666666666,2207.7381411698398,338.4346487183489,254.82904831044232,-1.0,0,1.0,0.9352785682708116,0.038071224015969685,-0.15,-0.615,-0.765,0.9999445514752772,0.9969815836752915,0.3882913849555312,0.9999999641117956,-46.809533858296504,2207.7381411698398,7.268148270940309,40.18833695682317,35121.078196092465,1390.75400131937,184.11713018311775,71.6757132271708,93.71392265111191,75.6653837848185
