candidate,max_score,mean_score,max_live_Tkk_fraction,max_live_radial_pressure_fraction,max_Tkk_peak,max_radial_pressure_peak,mean_total_Tkk_burden,mean_total_pOmega_burden,worst_packet_norm
R2p0_quarantine,1.1137873258357316,0.9702840290255509,0.2292018424415995,0.2129710386119646,0.12287802328033541,0.019861964926727253,162707.1022506889,2804.162384274525,-1129.0690751682127
R1p75_quarantine,1.3141899717234888,1.148845243374937,0.27257763260948453,0.2492796698644197,0.13867668344932954,0.022701544080888713,131774.2067780974,2094.7524427237677,-726.9914001505933
broad_packet_edge,1.789716560753869,1.5831104060878023,0.3711000157058877,0.33790523568426434,0.2255632774043489,0.03618731465163487,92853.38929609927,1327.017104396528,-18.004432706604042
freeze,1.80214334096614,1.5808792471886608,0.4085823365215287,0.3022200327896464,0.20111867827179292,0.04431326361794819,91813.88508128146,1699.4933523655254,-8.555465970560219
