channel,channel_value,s0,l0,phase,region,inside_packet_initial,proper_distance_to_packet,branch,forward_radial_null_reaches_packet,s_hit_or_end,l_hit_or_end
negative_rho,0.02430300660534891,-0.35,1.815,pre_catch_support,outer_shoulder,False,891.4862938032065,plus,False,2.6099999999999888,4.775109065672253
negative_rho,0.02430300660534891,-0.35,1.815,pre_catch_support,outer_shoulder,False,891.4862938032065,minus,True,0.6600000000000006,1.0034831400980895
negative_rho,0.024299586066293153,-0.25999999999999995,1.815,pre_catch_support,outer_shoulder,False,815.5314376672,plus,False,2.6099999999999888,4.685108769232641
negative_rho,0.024299586066293153,-0.25999999999999995,1.815,pre_catch_support,outer_shoulder,False,815.5314376672,minus,True,0.7000000000000006,1.0437791243795562
negative_rho,0.02429489635092702,-0.16999999999999996,1.815,catch_rematch,outer_shoulder,False,731.7313182008097,plus,False,2.6099999999999883,4.595108152993479
negative_rho,0.02429489635092702,-0.16999999999999996,1.815,catch_rematch,outer_shoulder,False,731.7313182008097,minus,True,0.7400000000000005,1.0816612003652413
negative_rho,0.024288482399638243,-0.07999999999999996,1.815,catch_rematch,outer_shoulder,False,639.2967817256175,plus,False,2.6099999999999883,4.5051071216458745
negative_rho,0.024288482399638243,-0.07999999999999996,1.815,catch_rematch,outer_shoulder,False,639.2967817256175,minus,True,0.7800000000000006,1.116947458356461
negative_rho,0.024287623200077338,-0.35,-1.84,pre_catch_support,outer_shoulder,False,332.1093598176283,plus,False,2.6099999999999888,0.37642049307972886
negative_rho,0.024287623200077338,-0.35,-1.84,pre_catch_support,outer_shoulder,False,332.1093598176283,minus,False,2.6099999999999888,-4.800077602802398
negative_rho,0.024284250498709914,-0.25999999999999995,-1.84,pre_catch_support,outer_shoulder,False,401.94254091000516,plus,False,2.6099999999999888,0.31369131339135176
negative_rho,0.024284250498709914,-0.25999999999999995,-1.84,pre_catch_support,outer_shoulder,False,401.94254091000516,minus,False,2.6099999999999888,-4.710077396477772
negative_rho,0.02427975577317305,0.010000000000000064,1.815,catch_rematch,outer_shoulder,False,540.3988558029153,plus,False,2.6099999999999883,4.415105605356965
negative_rho,0.02427975577317305,0.010000000000000064,1.815,catch_rematch,outer_shoulder,False,540.3988558029153,minus,True,0.8100000000000006,1.155821610912714
negative_rho,0.02427965666858873,-0.16999999999999996,-1.84,catch_rematch,outer_shoulder,False,465.7784689010545,plus,False,2.6099999999999883,0.25291112071039523
negative_rho,0.02427965666858873,-0.16999999999999996,-1.84,catch_rematch,outer_shoulder,False,465.7784689010545,minus,False,2.6099999999999883,-4.620076963926193
negative_rho,0.024273408658704376,-0.07999999999999996,-1.84,catch_rematch,outer_shoulder,False,518.3828554486165,plus,False,2.6099999999999883,0.19422271128195526
negative_rho,0.024273408658704376,-0.07999999999999996,-1.84,catch_rematch,outer_shoulder,False,518.3828554486165,minus,False,2.6099999999999883,-4.530076236972306
negative_rho,0.02426794471915517,0.10000000000000009,1.815,catch_rematch,outer_shoulder,False,439.366922130326,plus,False,2.6099999999999883,4.32510355785916
negative_rho,0.02426794471915517,0.10000000000000009,1.815,catch_rematch,outer_shoulder,False,439.366922130326,minus,True,0.8500000000000006,1.1861893747892465
negative_rho,0.024264937289139598,0.010000000000000064,-1.84,catch_rematch,outer_shoulder,False,554.7098662283543,plus,False,2.6099999999999883,0.13768407634532673
negative_rho,0.024264937289139598,0.010000000000000064,-1.84,catch_rematch,outer_shoulder,False,554.7098662283543,minus,False,2.6099999999999883,-4.4400751655965705
negative_rho,0.024253487994178285,0.10000000000000009,-1.84,catch_rematch,outer_shoulder,False,570.9945656477809,plus,False,2.6099999999999883,0.0832627639211729
negative_rho,0.024253487994178285,0.10000000000000009,-1.84,catch_rematch,outer_shoulder,False,570.9945656477809,minus,False,2.6099999999999883,-4.3500737165758485
negative_rho,0.02425202770840359,0.19000000000000006,1.815,catch_rematch,outer_shoulder,False,341.57714342590634,plus,False,2.6099999999999883,4.235100954540321
negative_rho,0.02425202770840359,0.19000000000000006,1.815,catch_rematch,outer_shoulder,False,341.57714342590634,minus,True,0.8800000000000007,1.2208601020009917
negative_rho,0.02423805546498818,0.19000000000000006,-1.84,catch_rematch,outer_shoulder,False,565.6402402931247,plus,False,2.6099999999999883,0.03083694124828623
negative_rho,0.02423805546498818,0.19000000000000006,-1.84,catch_rematch,outer_shoulder,False,565.6402402931247,minus,False,2.6099999999999883,-4.260071872124455
negative_rho,0.0242306450958149,0.28000000000000014,1.815,catch_rematch,outer_shoulder,False,252.24310968787967,plus,False,2.6099999999999883,4.1450977905349
negative_rho,0.0242306450958149,0.28000000000000014,1.815,catch_rematch,outer_shoulder,False,252.24310968787967,minus,True,0.9100000000000007,1.2549459235386409
negative_rho,0.024217296368259266,0.28000000000000014,-1.84,catch_rematch,outer_shoulder,False,539.6298042683832,plus,False,2.6099999999999883,-0.019798207614561268
negative_rho,0.024217296368259266,0.28000000000000014,-1.84,catch_rematch,outer_shoulder,False,539.6298042683832,minus,False,2.6099999999999883,-4.170069628535717
negative_rho,0.024201982908961073,0.3700000000000001,1.815,catch_rematch,outer_shoulder,False,175.39908615800985,plus,False,2.6099999999999883,4.055094078816022
negative_rho,0.024201982908961073,0.3700000000000001,1.815,catch_rematch,outer_shoulder,False,175.39908615800985,minus,True,0.9500000000000006,1.2839306980073615
negative_rho,0.024189414540253005,0.3700000000000001,-1.84,catch_rematch,outer_shoulder,False,496.33722369093556,plus,False,2.6099999999999883,-0.06892105814074345
negative_rho,0.024189414540253005,0.3700000000000001,-1.84,catch_rematch,outer_shoulder,False,496.33722369093556,minus,False,2.6099999999999883,-4.080066994824019
negative_rho,0.024163620051569717,0.4600000000000001,1.815,catch_rematch,outer_shoulder,False,113.3125378280603,plus,False,2.6099999999999883,3.965089848288252
negative_rho,0.024163620051569717,0.4600000000000001,1.815,catch_rematch,outer_shoulder,False,113.3125378280603,minus,True,0.9800000000000005,1.322141386593838
negative_rho,0.024152010033059956,0.4600000000000001,-1.84,catch_rematch,outer_shoulder,False,440.81442662147896,plus,False,2.6099999999999883,-0.11687362238960593
