system,target_radius,seed_radius,setup_time,source_time_negative_rho,source_time_negative_Tkk,mean_inventory_negative_rho,final_inventory_negative_rho
MT passenger-minimum throat,0.35,0.02,3.0,-0.8717919613711675,-1.743583922742335,-0.29059732045705583,-0.5497787143782138
MT passenger-minimum throat,0.35,0.02,10.0,-2.905973204570558,-5.811946409141116,-0.29059732045705583,-0.5497787143782138
MT passenger-minimum throat,0.35,0.02,30.0,-8.717919613711675,-17.43583922742335,-0.29059732045705583,-0.5497787143782138
MT active-rail-support-scale throat,1.25,0.02,3.0,-2.992367002544278,-5.984734005088556,-0.9974556675147591,-1.9634954084936207
MT active-rail-support-scale throat,1.25,0.02,10.0,-9.974556675147594,-19.94911335029519,-0.9974556675147592,-1.9634954084936207
MT active-rail-support-scale throat,1.25,0.02,30.0,-29.92367002544278,-59.84734005088556,-0.9974556675147591,-1.9634954084936207
AR cold skeleton radius 0.10,0.1,0.02,3.0,-0.2827433388230814,-0.5654866776461628,-0.09424777960769382,-0.15707963267948966
AR cold skeleton radius 0.10,0.1,0.02,10.0,-0.9424777960769379,-1.8849555921538759,-0.09424777960769382,-0.15707963267948966
AR cold skeleton radius 0.10,0.1,0.02,30.0,-2.827433388230814,-5.654866776461628,-0.09424777960769379,-0.15707963267948966
AR cold skeleton radius 0.15,0.15,0.02,3.0,-0.40055306333269863,-0.8011061266653973,-0.13351768777756623,-0.23561944901923448
AR cold skeleton radius 0.15,0.15,0.02,10.0,-1.335176877775662,-2.670353755551324,-0.13351768777756623,-0.23561944901923448
AR cold skeleton radius 0.15,0.15,0.02,30.0,-4.005530633326986,-8.011061266653972,-0.13351768777756623,-0.23561944901923448
AR cold skeleton radius 0.20,0.2,0.02,3.0,-0.5183627878423159,-1.0367255756846319,-0.17278759594743862,-0.3141592653589793
AR cold skeleton radius 0.20,0.2,0.02,10.0,-1.7278759594743862,-3.4557519189487724,-0.17278759594743864,-0.3141592653589793
AR cold skeleton radius 0.20,0.2,0.02,30.0,-5.183627878423159,-10.367255756846317,-0.17278759594743862,-0.3141592653589793
