case,t,phase,B_access_l0,Kll_access_l0,accel_access_l0,rho_access_l0,Tkk_access_l0,flux_shoulder,p_tangential_access_l0
adiabatic_B3_w1.6_cosine_Tr10,-1.5,off,1.0,-0.0,1.1842378929335024e-13,-0.039788735772973836,-0.07957747154594767,-0.0,0.039788735772969125
adiabatic_B3_w1.6_cosine_Tr10,-1.3125,off,1.0,-0.0,4.73695157173399e-14,-0.039788735772973836,-0.07957747154594767,-0.0,0.03978873577297195
adiabatic_B3_w1.6_cosine_Tr10,-1.0875,off,1.0,-1.7763568394002505e-15,-2.3684757858670443e-14,-0.039788735772973836,-0.07957747154594767,-6.361862216527895e-17,0.03978873577297478
adiabatic_B3_w1.6_cosine_Tr10,-0.9,off,1.0,-0.0,0.0,-0.039788735772973836,-0.07957747154594767,-0.0,0.039788735772973836
adiabatic_B3_w1.6_cosine_Tr10,-0.7125,off,1.0,-0.0,0.0,-0.039788735772973836,-0.07957747154594767,-0.0,0.039788735772973836
adiabatic_B3_w1.6_cosine_Tr10,-0.48750000000000004,off,1.0,-0.0,2.3684757858669916e-14,-0.039788735772973836,-0.07957747154594767,-0.0,0.03978873577297289
adiabatic_B3_w1.6_cosine_Tr10,-0.30000000000000004,off,1.0,-0.0,4.73695157173399e-14,-0.039788735772973836,-0.07957747154594767,-0.0,0.03978873577297195
adiabatic_B3_w1.6_cosine_Tr10,-0.11250000000000004,off,1.0,-0.0,4.73695157173399e-14,-0.039788735772973836,-0.07957747154594767,-0.0,0.03978873577297195
adiabatic_B3_w1.6_cosine_Tr10,0.12448132780082988,setup,1.0007645798074574,-0.012272951774922299,0.09853965556223315,-0.0396671885338326,-0.07945592430680644,-0.0001637557171077784,0.035807193835077675
adiabatic_B3_w1.6_cosine_Tr10,0.33195020746887965,setup,1.0054327786240131,-0.03252519254117766,0.0976239211816814,-0.03893107771113411,-0.07871981348410795,-0.00043449005687236716,0.03547557433703443
adiabatic_B3_w1.6_cosine_Tr10,0.5394190871369294,setup,1.0143246093035314,-0.05223434221056015,0.09590297882691677,-0.037556970808497216,-0.07734570658147105,-0.0006993164308746766,0.03485699500635023
adiabatic_B3_w1.6_cosine_Tr10,0.7883817427385892,setup,1.0305155788930525,-0.0747343209226557,0.09284561956594481,-0.03514562599691279,-0.07493436176988662,-0.0010044314332945242,0.033772971060355886
adiabatic_B3_w1.6_cosine_Tr10,0.995850622406639,setup,1.0485414680088492,-0.09221213528126397,0.08955284753545852,-0.03259132017958556,-0.07238005595255939,-0.0012444340977585118,0.032626833387973925
adiabatic_B3_w1.6_cosine_Tr10,1.2448132780082988,setup,1.075498128164384,-0.11134101471941064,0.08483465178436157,-0.029008472963839963,-0.0687972087368138,-0.0015112574236918568,0.031023140824166694
adiabatic_B3_w1.6_cosine_Tr10,1.4522821576763485,setup,1.1022880742382124,-0.1255654358894527,0.08037426815635876,-0.025705023387949354,-0.06549375916092319,-0.0017133616374496138,0.029548889061842092
adiabatic_B3_w1.6_cosine_Tr10,1.6597510373443982,setup,1.1328903364752088,-0.1381278698621833,0.0755372725532783,-0.022214505240698578,-0.06200324101367241,-0.0018952540566330707,0.027996087928202705
adiabatic_B3_w1.6_cosine_Tr10,1.908713692946058,setup,1.1744612189555554,-0.15095373911621784,0.06937035940468991,-0.01790288954974526,-0.0576916253227191,-0.0020852545936648455,0.02608565376053011
adiabatic_B3_w1.6_cosine_Tr10,2.116182572614108,setup,1.2129711466997062,-0.15977663466127126,0.0640346926925985,-0.014297803671767006,-0.054086539444740844,-0.0022193165556487547,0.02449541025452104
adiabatic_B3_w1.6_cosine_Tr10,2.3236514522821574,setup,1.254823352442191,-0.16695302385416816,0.058607310189797084,-0.010750067188739346,-0.05053880296171318,-0.0023311844512188904,0.02293749070135004
adiabatic_B3_w1.6_cosine_Tr10,2.572614107883817,setup,1.3092066019058688,-0.17349982331845562,0.052073304386228696,-0.006638600025264488,-0.04642733579823832,-0.0024365995598226655,0.021141736950069868
adiabatic_B3_w1.6_cosine_Tr10,2.780082987551867,setup,1.3577673305171993,-0.17734947286015335,0.046681218586788094,-0.0033770276643689404,-0.043165763437342776,-0.0025012477599383872,0.019725495046761243
adiabatic_B3_w1.6_cosine_Tr10,2.987551867219917,setup,1.40905543070077,-0.1798573127565286,0.041389846273960314,-0.00029184258725203503,-0.04008057836022587,-0.0025458768417528825,0.01839343952303432
