B0,width,ramp_kind,metric,loglog_slope_vs_Tr,value_Tr10,value_Tr300
2.0,1.6,cosine,access_ramps_max_abs_Kll,-1.0000000000000013,0.11106695906615927,0.003702231968871965
2.0,1.6,cosine,access_ramps_max_abs_accel,-2.0000000000000413,0.04932007711037793,5.480008567818811e-05
2.0,1.6,cosine,shoulder_ramps_max_abs_flux,-1.0000000000000047,0.0032632978166795175,0.00010877659388931631
2.0,1.6,cosine,access_ramps_max_abs_p_tangential,0.006751112275475328,0.03880704209472087,0.03978764500222022
2.0,1.6,minjerk,access_ramps_max_abs_Kll,-0.9999999999999931,0.1316146142166978,0.004387153807223365
2.0,1.6,minjerk,access_ramps_max_abs_accel,-2.0000000000000435,0.05449012135819067,6.054457928686272e-05
2.0,1.6,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000084,0.0038078253552132906,0.00012692751184043938
2.0,1.6,minjerk,access_ramps_max_abs_p_tangential,0.00021607999047648264,0.03975694492567837,0.03978870044981018
2.0,5.0,cosine,access_ramps_max_abs_Kll,-1.0000000000000013,0.11106695906615927,0.003702231968871965
2.0,5.0,cosine,access_ramps_max_abs_accel,-2.0000000000000413,0.04932007711037793,5.480008567818811e-05
2.0,5.0,cosine,shoulder_ramps_max_abs_flux,-1.0000000000000033,0.0034752495864366875,0.00011584165288122063
2.0,5.0,cosine,access_ramps_max_abs_p_tangential,0.006751112275475328,0.03880704209472087,0.03978764500222022
2.0,5.0,minjerk,access_ramps_max_abs_Kll,-0.9999999999999931,0.1316146142166978,0.004387153807223365
2.0,5.0,minjerk,access_ramps_max_abs_accel,-2.0000000000000435,0.05449012135819067,6.054457928686272e-05
2.0,5.0,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000004,0.004046382788067964,0.00013487942626893323
2.0,5.0,minjerk,access_ramps_max_abs_p_tangential,0.00021607999047648264,0.03975694492567837,0.03978870044981018
2.0,8.0,cosine,access_ramps_max_abs_Kll,-1.0000000000000013,0.11106695906615927,0.003702231968871965
2.0,8.0,cosine,access_ramps_max_abs_accel,-2.0000000000000413,0.04932007711037793,5.480008567818811e-05
2.0,8.0,cosine,shoulder_ramps_max_abs_flux,-1.0000000000000124,0.0034781426443177485,0.00011593808814392078
2.0,8.0,cosine,access_ramps_max_abs_p_tangential,0.006751112275475328,0.03880704209472087,0.03978764500222022
2.0,8.0,minjerk,access_ramps_max_abs_Kll,-0.9999999999999931,0.1316146142166978,0.004387153807223365
2.0,8.0,minjerk,access_ramps_max_abs_accel,-2.0000000000000435,0.05449012135819067,6.054457928686272e-05
2.0,8.0,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000007,0.004049575396465071,0.00013498584654883581
2.0,8.0,minjerk,access_ramps_max_abs_p_tangential,0.00021607999047648264,0.03975694492567837,0.03978870044981018
3.0,1.6,cosine,access_ramps_max_abs_Kll,-0.999999999999999,0.18137251079060385,0.0060457503596867725
3.0,1.6,cosine,access_ramps_max_abs_accel,-1.9999999999999862,0.09862339911246032,0.00010958155456940497
3.0,1.6,cosine,shoulder_ramps_max_abs_flux,-1.0000000000000093,0.004991240819921489,0.00016637469399737712
3.0,1.6,cosine,access_ramps_max_abs_p_tangential,0.013670168218046674,0.03782534841646736,0.039786554231466605
3.0,1.6,minjerk,access_ramps_max_abs_Kll,-1.0000000000000069,0.21256520486884442,0.007085506828961365
3.0,1.6,minjerk,access_ramps_max_abs_accel,-2.000000000000097,0.10421171345627026,0.00011579079272914326
3.0,1.6,minjerk,shoulder_ramps_max_abs_flux,-0.9999999999999964,0.005666910283162289,0.00018889700943874535
3.0,1.6,minjerk,access_ramps_max_abs_p_tangential,0.00043232776527298754,0.03972515407838569,0.03978866512664652
3.0,5.0,cosine,access_ramps_max_abs_Kll,-0.999999999999999,0.18137251079060385,0.0060457503596867725
3.0,5.0,cosine,access_ramps_max_abs_accel,-1.9999999999999862,0.09862339911246032,0.00010958155456940497
3.0,5.0,cosine,shoulder_ramps_max_abs_flux,-0.9999999999999971,0.005291406298514328,0.00017638020995048038
3.0,5.0,cosine,access_ramps_max_abs_p_tangential,0.013670168218046674,0.03782534841646736,0.039786554231466605
3.0,5.0,minjerk,access_ramps_max_abs_Kll,-1.0000000000000069,0.21256520486884442,0.007085506828961365
3.0,5.0,minjerk,access_ramps_max_abs_accel,-2.000000000000097,0.10421171345627026,0.00011579079272914326
3.0,5.0,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000013,0.005983853226227097,0.00019946177420756934
3.0,5.0,minjerk,access_ramps_max_abs_p_tangential,0.00043232776527298754,0.03972515407838569,0.03978866512664652
3.0,8.0,cosine,access_ramps_max_abs_Kll,-0.999999999999999,0.18137251079060385,0.0060457503596867725
3.0,8.0,cosine,access_ramps_max_abs_accel,-1.9999999999999862,0.09862339911246032,0.00010958155456940497
3.0,8.0,cosine,shoulder_ramps_max_abs_flux,-0.9999999999999973,0.005295350205769603,0.00017651167352565565
3.0,8.0,cosine,access_ramps_max_abs_p_tangential,0.013670168218046674,0.03782534841646736,0.039786554231466605
3.0,8.0,minjerk,access_ramps_max_abs_Kll,-1.0000000000000069,0.21256520486884442,0.007085506828961365
3.0,8.0,minjerk,access_ramps_max_abs_accel,-2.000000000000097,0.10421171345627026,0.00011579079272914326
3.0,8.0,minjerk,shoulder_ramps_max_abs_flux,-0.9999999999999987,0.005987943685110965,0.00019959812283703275
3.0,8.0,minjerk,access_ramps_max_abs_p_tangential,0.00043232776527298754,0.03972515407838569,0.03978866512664652
5.0,1.6,cosine,access_ramps_max_abs_Kll,-1.0000000000000033,0.2809748115486256,0.009365827051620734
5.0,1.6,cosine,access_ramps_max_abs_accel,-2.0000000000000675,0.1971798119327145,0.0002190886799251923
5.0,1.6,cosine,shoulder_ramps_max_abs_flux,-0.9999999999999991,0.007365468910547754,0.00024551563035159256
5.0,1.6,cosine,access_ramps_max_abs_p_tangential,0.02804802756121564,0.0358619610599617,0.03978437268995938
5.0,1.6,minjerk,access_ramps_max_abs_Kll,-1.0000000000000007,0.32248936242123477,0.010749645414041121
5.0,1.6,minjerk,access_ramps_max_abs_accel,-2.0000000000000324,0.1946165062515644,0.00021624056250171508
5.0,1.6,minjerk,shoulder_ramps_max_abs_flux,-0.9999999999999989,0.00801290835085777,0.00026709694502859415
5.0,1.6,minjerk,access_ramps_max_abs_p_tangential,0.0008653277390385506,0.03966157238379854,0.0397885944803192
5.0,5.0,cosine,access_ramps_max_abs_Kll,-1.0000000000000033,0.2809748115486256,0.009365827051620734
5.0,5.0,cosine,access_ramps_max_abs_accel,-2.0000000000000675,0.1971798119327145,0.0002190886799251923
5.0,5.0,cosine,shoulder_ramps_max_abs_flux,-0.9999999999999962,0.007784856241402659,0.0002594952080467587
5.0,5.0,cosine,access_ramps_max_abs_p_tangential,0.02804802756121564,0.0358619610599617,0.03978437268995938
5.0,5.0,minjerk,access_ramps_max_abs_Kll,-1.0000000000000007,0.32248936242123477,0.010749645414041121
5.0,5.0,minjerk,access_ramps_max_abs_accel,-2.0000000000000324,0.1946165062515644,0.00021624056250171508
5.0,5.0,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000027,0.008420364480236059,0.00028067881600786536
5.0,5.0,minjerk,access_ramps_max_abs_p_tangential,0.0008653277390385506,0.03966157238379854,0.0397885944803192
5.0,8.0,cosine,access_ramps_max_abs_Kll,-1.0000000000000033,0.2809748115486256,0.009365827051620734
5.0,8.0,cosine,access_ramps_max_abs_accel,-2.0000000000000675,0.1971798119327145,0.0002190886799251923
5.0,8.0,cosine,shoulder_ramps_max_abs_flux,-0.9999999999999949,0.007790413420904133,0.00025968044736347524
5.0,8.0,cosine,access_ramps_max_abs_p_tangential,0.02804802756121564,0.0358619610599617,0.03978437268995938
5.0,8.0,minjerk,access_ramps_max_abs_Kll,-1.0000000000000007,0.32248936242123477,0.010749645414041121
5.0,8.0,minjerk,access_ramps_max_abs_accel,-2.0000000000000324,0.1946165062515644,0.00021624056250171508
5.0,8.0,minjerk,shoulder_ramps_max_abs_flux,-1.0000000000000009,0.008425539932168477,0.0002808513310722817
5.0,8.0,minjerk,access_ramps_max_abs_p_tangential,0.0008653277390385506,0.03966157238379854,0.0397885944803192
