case,B0,width,Tr,Th,ramp_kind,static,n_t,t_start,t_end,access_all_min_rho,access_all_min_Tkk,access_all_max_abs_flux,access_all_max_abs_Kll,access_all_max_abs_accel,access_all_max_abs_p_tangential,access_all_max_abs_expansion_product,access_hold_min_rho,access_hold_min_Tkk,access_hold_max_abs_flux,access_hold_max_abs_Kll,access_hold_max_abs_accel,access_hold_max_abs_p_tangential,access_hold_max_abs_expansion_product,support_all_min_rho,support_all_min_Tkk,support_all_max_abs_flux,support_all_max_abs_Kll,support_all_max_abs_accel,support_all_max_abs_p_tangential,support_all_max_abs_expansion_product,support_hold_min_rho,support_hold_min_Tkk,support_hold_max_abs_flux,support_hold_max_abs_Kll,support_hold_max_abs_accel,support_hold_max_abs_p_tangential,support_hold_max_abs_expansion_product,shoulder_all_min_rho,shoulder_all_min_Tkk,shoulder_all_max_abs_flux,shoulder_all_max_abs_Kll,shoulder_all_max_abs_accel,shoulder_all_max_abs_p_tangential,shoulder_all_max_abs_expansion_product,shoulder_hold_min_rho,shoulder_hold_min_Tkk,shoulder_hold_max_abs_flux,shoulder_hold_max_abs_Kll,shoulder_hold_max_abs_accel,shoulder_hold_max_abs_p_tangential,shoulder_hold_max_abs_expansion_product,all_access_quiet_fraction,hold_access_quiet_fraction,hold_integrated_negative_Tkk_proper,hold_proper_half_length_R2,hold_proper_half_length_R3,classification,hold_Tkk_min_for_gate,ramp_cost_max_access_K_or_accel,ramp_cost_max_shoulder_flux,access_setup_min_rho,access_setup_min_Tkk,access_setup_max_abs_flux,access_setup_max_abs_Kll,access_setup_max_abs_accel,access_setup_max_abs_p_tangential,access_setup_max_abs_expansion_product,access_reset_min_rho,access_reset_min_Tkk,access_reset_max_abs_flux,access_reset_max_abs_Kll,access_reset_max_abs_accel,access_reset_max_abs_p_tangential,access_reset_max_abs_expansion_product,access_ramps_min_rho,access_ramps_min_Tkk,access_ramps_max_abs_flux,access_ramps_max_abs_Kll,access_ramps_max_abs_accel,access_ramps_max_abs_p_tangential,access_ramps_max_abs_expansion_product,support_setup_min_rho,support_setup_min_Tkk,support_setup_max_abs_flux,support_setup_max_abs_Kll,support_setup_max_abs_accel,support_setup_max_abs_p_tangential,support_setup_max_abs_expansion_product,support_reset_min_rho,support_reset_min_Tkk,support_reset_max_abs_flux,support_reset_max_abs_Kll,support_reset_max_abs_accel,support_reset_max_abs_p_tangential,support_reset_max_abs_expansion_product,support_ramps_min_rho,support_ramps_min_Tkk,support_ramps_max_abs_flux,support_ramps_max_abs_Kll,support_ramps_max_abs_accel,support_ramps_max_abs_p_tangential,support_ramps_max_abs_expansion_product,shoulder_setup_min_rho,shoulder_setup_min_Tkk,shoulder_setup_max_abs_flux,shoulder_setup_max_abs_Kll,shoulder_setup_max_abs_accel,shoulder_setup_max_abs_p_tangential,shoulder_setup_max_abs_expansion_product,shoulder_reset_min_rho,shoulder_reset_min_Tkk,shoulder_reset_max_abs_flux,shoulder_reset_max_abs_Kll,shoulder_reset_max_abs_accel,shoulder_reset_max_abs_p_tangential,shoulder_reset_max_abs_expansion_product,shoulder_ramps_min_rho,shoulder_ramps_min_Tkk,shoulder_ramps_max_abs_flux,shoulder_ramps_max_abs_Kll,shoulder_ramps_max_abs_accel,shoulder_ramps_max_abs_p_tangential,shoulder_ramps_max_abs_expansion_product,setup_access_quiet_fraction,reset_access_quiet_fraction,ramps_access_quiet_fraction
static_B1_baseline,1.0,1.0,inf,60.0,static,True,301,0.0,60.0,-0.039788735772973836,-0.07957747154594767,2.4725014455343737e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.0397887357729741,0.21755540426439118,-0.039788735772973836,-0.07957747154594767,2.4725014455343737e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.0397887357729741,0.21755540426439118,-0.039788735772973836,-0.07957747154594767,4.35148379689073e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.0397887357729741,0.6738628417826583,-0.039788735772973836,-0.07957747154594767,4.35148379689073e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.0397887357729741,0.6738628417826583,-0.023453338750136537,-0.04690667750027315,5.300656759168531e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.023453338750136794,0.9998989975507553,-0.023453338750136537,-0.04690667750027315,5.300656759168531e-17,1.3322676295501878e-15,1.1102230246251565e-14,0.023453338750136794,0.9998989975507553,1.0,1.0,0.12499503000679757,1.7050000000000018,2.8049999999999997,static-hold-reference,-0.07957747154594767,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B2_w1.6,2.0,1.6,inf,60.0,static,True,301,0.0,60.0,0.01925490901288216,-0.019894367886486918,1.3122294059978624e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.05441999639458625,0.01925490901288216,-0.019894367886486918,1.3122294059978624e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.05441999639458625,0.016786103892429773,-0.019894367886486918,2.934074849657461e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.17038705431977713,0.016786103892429773,-0.019894367886486918,2.934074849657461e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.17038705431977713,-0.012657433232216428,-0.017219859159761552,6.996696220636276e-17,2.4029294951706293e-15,2.0024412459755245e-14,0.008609929579881277,0.545383473957722,-0.012657433232216428,-0.017219859159761552,6.996696220636276e-17,2.4029294951706293e-15,2.0024412459755245e-14,0.008609929579881277,0.545383473957722,1.0,1.0,0.10306422960855327,3.090382339814229,4.255238429407314,static-hold-reference,-0.019894367886486918,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B2_w5,2.0,5.0,inf,60.0,static,True,301,0.0,60.0,0.01928673359925345,-0.019894367886486918,1.3119573822547877e-17,1.7763587907860255e-15,1.3322690930895395e-14,0.009947183943243725,0.054389177602296154,0.01928673359925345,-0.019894367886486918,1.3119573822547877e-17,1.7763587907860255e-15,1.3322690930895395e-14,0.009947183943243725,0.054389177602296154,0.017298221183822026,-0.019894367886486918,2.2404912500380143e-17,1.7763800520321213e-15,1.3322850390241114e-14,0.009947183943243725,0.1684858008939061,0.017298221183822026,-0.019894367886486918,2.2404912500380143e-17,1.7763800520321213e-15,1.3322850390241114e-14,0.009947183943243725,0.1684858008939061,-0.0014677828706233054,-0.011732870368080985,4.886138670312771e-17,2.678024948643131e-15,2.5650026385411145e-14,0.005866435184040738,0.25035909653121946,-0.0014677828706233054,-0.011732870368080985,4.886138670312771e-17,2.678024948643131e-15,2.5650026385411145e-14,0.005866435184040738,0.25035909653121946,1.0,1.0,0.07897544004851867,3.405404538057275,5.555919826197006,static-hold-reference,-0.019894367886486918,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B2_w8,2.0,8.0,inf,60.0,static,True,301,0.0,60.0,0.0192870193213176,-0.019894367886486918,1.6483358070552948e-17,1.77635765305672e-15,1.443290593108585e-14,0.009947183943243725,0.054388900891504145,0.0192870193213176,-0.019894367886486918,1.6483358070552948e-17,1.77635765305672e-15,1.443290593108585e-14,0.009947183943243725,0.054388900891504145,0.017302798690792376,-0.019894367886486918,3.114465553985139e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.16846877592734144,0.017302798690792376,-0.019894367886486918,3.114465553985139e-17,2.220453897017187e-15,1.7763631176137495e-14,0.009947183943243725,0.16846877592734144,-0.0005779913119253689,-0.011727615522222156,4.3071399875002065e-17,3.227068821122332e-15,2.9245311191421485e-14,0.005863807761111578,0.2500333770303418,-0.0005779913119253689,-0.011727615522222156,4.3071399875002065e-17,3.227068821122332e-15,2.9245311191421485e-14,0.005863807761111578,0.2500333770303418,1.0,1.0,0.07306178586770205,3.409296553475162,5.601555334814129,static-hold-reference,-0.019894367886486918,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B3_w1.6,3.0,1.6,inf,60.0,static,True,301,0.0,60.0,0.02938191790975135,-0.008841941282883074,7.331524521406201e-18,2.0724260787550185e-15,1.628334776164657e-14,0.004420970641441891,0.02419128182932312,0.02938191790975135,-0.008841941282883074,7.331524521406201e-18,2.0724260787550185e-15,1.628334776164657e-14,0.004420970641441891,0.02419128182932312,0.024746632598853346,-0.008841941282883074,1.9981222174162e-17,2.37241293771645e-15,1.7793097032873645e-14,0.004420970641441891,0.07601547164898673,0.024746632598853346,-0.008841941282883074,1.9981222174162e-17,2.37241293771645e-15,1.7793097032873645e-14,0.004420970641441891,0.07601547164898673,-0.016174296501283943,-0.020502856415522228,6.556208462210668e-17,2.6644034624721657e-15,2.5533866515358542e-14,0.010251428207761494,0.5096588178549398,-0.016174296501283943,-0.020502856415522228,6.556208462210668e-17,2.6644034624721657e-15,2.5533866515358542e-14,0.010251428207761494,0.5096588178549398,1.0,1.0,0.09388008004175823,4.4757646796284565,5.705476858814632,static-hold-reference,-0.008841941282883074,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B3_w5,3.0,5.0,inf,60.0,static,True,301,0.0,60.0,0.02940078149612631,-0.008841941282883074,7.325988852994513e-18,1.7763568394002505e-15,1.4062824978585317e-14,0.004420970641441891,0.024173016199266265,0.02940078149612631,-0.008841941282883074,7.325988852994513e-18,1.7763568394002505e-15,1.4062824978585317e-14,0.004420970641441891,0.024173016199266265,0.025051590646985082,-0.008841941282883074,1.9343003266053373e-17,1.77649806477847e-15,1.4063943012829553e-14,0.004420970641441891,0.07488555489272153,0.025051590646985082,-0.008841941282883074,1.9343003266053373e-17,1.77649806477847e-15,1.4063943012829553e-14,0.004420970641441891,0.07488555489272153,-0.0019185011260561351,-0.005215527949885176,2.829050259634783e-17,2.839854849279247e-15,2.5736184571593483e-14,0.0026077639749426357,0.1113318877986499,-0.0019185011260561351,-0.005215527949885176,2.829050259634783e-17,2.839854849279247e-15,2.5736184571593483e-14,0.0026077639749426357,0.1113318877986499,1.0,1.0,0.06237616161981391,5.105809076114548,8.306839652394011,static-hold-reference,-0.008841941282883074,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B3_w8,3.0,8.0,inf,60.0,static,True,301,0.0,60.0,0.029400950813395933,-0.008841941282883074,9.15742394666601e-18,1.7763568395656024e-15,1.4062824979894354e-14,0.004420970641441891,0.024172852222216955,0.029400950813395933,-0.008841941282883074,9.15742394666601e-18,1.7763568395656024e-15,1.4062824979894354e-14,0.004420970641441891,0.024172852222216955,0.025054303401423183,-0.008841941282883074,1.9378942441247605e-17,2.0724260787550185e-15,1.628334776164657e-14,0.004420970641441891,0.07487546567696031,0.025054303401423183,-0.008841941282883074,1.9378942441247605e-17,2.0724260787550185e-15,1.628334776164657e-14,0.004420970641441891,0.07487546567696031,-0.0007575329109375746,-0.0052124137407766535,2.9351523255223755e-17,2.9561092496727647e-15,2.2170819372546072e-14,0.002606206870388664,0.11113463296059974,-0.0007575329109375746,-0.0052124137407766535,2.9351523255223755e-17,2.9561092496727647e-15,2.2170819372546072e-14,0.002606206870388664,0.11113463296059974,1.0,1.0,0.0548962192064423,5.113593106950322,8.398110669628256,static-hold-reference,-0.008841941282883074,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B5_w1.6,5.0,1.6,inf,60.0,static,True,301,0.0,60.0,0.03457106652747398,-0.0031830988618379054,5.2795037900366565e-18,1.7763885872210417e-15,1.4211108697768334e-14,0.001591549430919024,0.008710191429548665,0.03457106652747398,-0.0031830988618379054,5.2795037900366565e-18,1.7763885872210417e-15,1.4211108697768334e-14,0.001591549430919024,0.008710191429548665,0.028889750294158897,-0.0031830988618379054,9.453435683115306e-18,1.779901454517839e-15,1.515246868460608e-14,0.001591549430919024,0.02744890880059745,0.028889750294158897,-0.0031830988618379054,9.453435683115306e-18,1.779901454517839e-15,1.515246868460608e-14,0.001591549430919024,0.02744890880059745,-0.019751155922432262,-0.023863909989270904,6.411985338064924e-17,3.006305496060203e-15,2.5534416744688225e-14,0.01193195499463582,0.4817296511730503,-0.019751155922432262,-0.023863909989270904,6.411985338064924e-17,3.006305496060203e-15,2.5534416744688225e-14,0.01193195499463582,0.4817296511730503,1.0,1.0,0.08505072960030798,7.246529359256914,8.605953717629264,static-hold-reference,-0.0031830988618379054,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B5_w5,5.0,5.0,inf,60.0,static,True,301,0.0,60.0,0.034579217177458335,-0.0031830988618379054,5.274720418953434e-18,1.4210922969776628e-15,1.154632014075278e-14,0.001591549430919024,0.00870229976406827,0.034579217177458335,-0.0031830988618379054,5.274720418953434e-18,1.4210922969776628e-15,1.154632014075278e-14,0.001591549430919024,0.00870229976406827,0.029022007349320894,-0.0031830988618379054,1.3927405255234924e-17,2.131831575058599e-15,1.6876999969213908e-14,0.001591549430919024,0.026959657102070916,0.029022007349320894,-0.0031830988618379054,1.3927405255234924e-17,2.131831575058599e-15,1.6876999969213908e-14,0.001591549430919024,0.026959657102070916,-0.0023507496907025764,-0.0027838902092679773,2.288297904143967e-17,3.0230124499820894e-15,2.7396050327963014e-14,0.001391945104634006,0.06641823571271246,-0.0023507496907025764,-0.0027838902092679773,2.288297904143967e-17,3.0230124499820894e-15,2.7396050327963014e-14,0.001391945104634006,0.06641823571271246,1.0,1.0,0.04821039276752799,8.506618152229095,13.808679304788024,static-hold-reference,-0.0031830988618379054,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static_B5_w8,5.0,8.0,inf,60.0,static,True,301,0.0,60.0,0.03457929032268846,-0.0031830988618379054,6.593346852302871e-18,2.1316282075184075e-15,1.6875389976187394e-14,0.001591549430919024,0.00870222892588493,0.03457929032268846,-0.0031830988618379054,6.593346852302871e-18,2.1316282075184075e-15,1.6875389976187394e-14,0.001591549430919024,0.00870222892588493,0.029023179313748173,-0.0031830988618379054,8.67729711630809e-18,2.1316282075184075e-15,1.6875389976187394e-14,0.001591549430919024,0.026955298441041598,0.029023179313748173,-0.0031830988618379054,8.67729711630809e-18,2.1316282075184075e-15,1.6875389976187394e-14,0.001591549430919024,0.026955298441041598,-0.0009286035328828603,-0.0018765093178781745,1.9353151785009585e-17,3.053453614443823e-15,2.5241146799375427e-14,0.0009382546589395004,0.04001097016265802,-0.0009286035328828603,-0.0018765093178781745,1.9353151785009585e-17,3.053453614443823e-15,2.5241146799375427e-14,0.0009382546589395004,0.04001097016265802,1.0,1.0,0.039773555166595455,8.522186213900643,13.991221339256509,static-hold-reference,-0.0031830988618379054,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
