component,zone,max_abs_source_Tkk,max_abs_required_flux,flux_over_source_scale,rms_flux_completed_residual,max_flux_completed_residual,rms_zero_flux_exchange,max_zero_flux_exchange,flux_completed_residual_over_source_scale,zero_flux_exchange_over_source_scale
NMC_like_support_component,access,0.0026190734593314804,0.0007023698583117403,0.2681749363727356,7.820655508505244e-06,0.00016009620158280793,5.573569087874264e-05,0.0011515443754902398,0.06112703750725364,0.4396762417592411
NMC_like_support_component,support,0.014429981358540019,0.012880278739533502,0.892605362370107,3.8442499895781056e-05,0.0010474518368441786,0.0003660926350535308,0.009338881746696732,0.07258857865566616,0.6471859883013468
NMC_like_support_component,support_ring,0.041359220497389076,0.02532488699272402,0.6123153842883168,0.00021705320885193955,0.006201804737961603,0.0009916220282118868,0.024657165457308814,0.14994974913400774,0.5961709423141901
NMC_like_support_component,shoulder,0.21185207302879858,0.414631467288369,1.9571744631075911,8.014079507521902e-05,0.0034927824081046055,0.004118051531390743,0.14052268480406813,0.016486892755728694,0.6633056868174515
NMC_like_support_component,matching,8.063861101403635e-05,0.06793765520790404,842.4953549370845,2.0059708439397705e-08,1.1121440993027608e-06,7.202893898215472e-07,4.2243937794108884e-05,0.013791707041049798,0.5238673789502116
NMC_like_support_component,global,0.21185207302879858,0.414631467288369,1.9571744631075911,6.283621747390331e-05,0.006201804737961603,0.0019373086924822226,0.14052268480406813,0.02927422257094717,0.6633056868174515
infrastructure_residual_component,access,0.008198278923910068,0.0010860110053730325,0.13246816989913696,9.538711499104961e-06,0.00015525282746205616,0.00012166935142654138,0.0011792462458749403,0.018937246329746762,0.14384070813152006
infrastructure_residual_component,support,0.03846304588731669,0.0101591756681398,0.26412821537593884,3.831185475432618e-05,0.0010476762192526763,0.0003532027308776511,0.007474124637402832,0.027238514139571846,0.19431962458977928
infrastructure_residual_component,support_ring,0.08406507629318784,0.02119670320255838,0.2521463625231497,0.00021687767995512178,0.006193757845834067,0.0009735685823955825,0.02421497115787656,0.07367813269130376,0.28805030847082935
infrastructure_residual_component,shoulder,0.2145150547541539,0.4154139249595373,1.9365257391171198,7.986235361448508e-05,0.003471788091528316,0.004128283656978301,0.1401719462163391,0.016184356363739494,0.6534364050904674
infrastructure_residual_component,matching,0.0007770198377993192,0.06749848357109425,86.86841736533255,2.0070509351488958e-08,1.112144099337916e-06,4.9445001680792e-06,4.224393779410819e-05,0.0014312943444117696,0.05436661426013493
infrastructure_residual_component,global,0.2145150547541539,0.4154139249595373,1.9365257391171198,6.274552654907067e-05,0.006193757845834067,0.0019429678827861871,0.1401719462163391,0.02887330147029753,0.6534364050904674
combined_hybrid_source,access,0.008198278923910068,0.0010860110053730325,0.13246816989913696,4.721704042755001e-06,7.285839341539209e-05,0.00010936112062982348,0.0006289795265625989,0.008887035204779684,0.07672092306205835
combined_hybrid_source,support,0.03846304588731669,0.005297177785843935,0.1377212247143094,3.8728172175348375e-06,7.285839341539209e-05,0.0002227627522199163,0.0019100188289786484,0.0018942439875625496,0.04965854328267027
combined_hybrid_source,support_ring,0.08406507629318784,0.008429446226331669,0.10027286714084317,3.2589151054104674e-06,1.2346164688604002e-05,0.00035086863304167464,0.002626473099829888,0.00014686437261467715,0.031243332137946597
combined_hybrid_source,shoulder,0.128932702709326,0.012558739953625551,0.09740538815771795,3.216752103955654e-06,7.350828717196575e-05,0.00023348218449615755,0.0028511506244620097,0.0005701291109803806,0.022113479082881114
combined_hybrid_source,matching,0.0007770198377993192,0.0024844061671223158,3.1973523020450387,6.583627983856247e-10,2.93850084702184e-09,4.891755531565656e-06,1.6917103210998126e-05,3.781757818879222e-06,0.02177177774368137
combined_hybrid_source,global,0.128932702709326,0.012558739953625551,0.09740538815771795,1.6823949791414804e-06,7.350828717196575e-05,0.00014170058217677386,0.002906411560202987,0.0005701291109803806,0.022542082025189408
open_interval_repayment_overlay,access,0.008198360082011335,0.0010860110053738169,0.13246685855586152,6.662265012370792e-08,6.929067875941766e-07,0.00010192584629273089,0.0006289795265626025,8.451773045618449e-05,0.0767201635779204
open_interval_repayment_overlay,support,0.008198360082011335,0.003300348172241269,0.4025619927920489,3.13487031030892e-07,2.988473444651314e-06,9.38564126804653e-05,0.0006289795265626025,0.0003645208815856427,0.0767201635779204
open_interval_repayment_overlay,support_ring,0.008112843329289137,0.0036245684821394238,0.4467691948461447,3.425091205218304e-07,2.988473444651314e-06,7.89126019611743e-05,0.0006224186673050949,0.0003683632634519481,0.0767201635779194
open_interval_repayment_overlay,shoulder,0.0018996200185236976,0.0031486521439841263,1.6575168261445898,1.2892956337241752e-07,3.3025414544214226e-06,1.608656832008873e-05,0.0001457391585564407,0.0017385274013842066,0.07672016357761004
open_interval_repayment_overlay,matching,3.646213649304545e-14,0.0008037124105106915,22042383903.20288,1.9654681066916218e-16,9.605016879556262e-15,4.152041422601091e-17,2.0301794403701804e-15,0.26342441237331937,0.05567911361303261
open_interval_repayment_overlay,global,0.008198360082011335,0.0036245684821394238,0.44210896397346267,1.1014086636607415e-07,3.911169358495906e-06,2.108905872954269e-05,0.0006289795265626025,0.00047706728167230784,0.0767201635779204
setup_reset_repayment_overlay,access,0.001546771868367244,5.2222429654790205e-06,0.0033762205482774682,2.93921240988932e-06,8.261349726593162e-06,5.39550474943134e-06,1.6196651414073513e-05,0.005341026621665777,0.010471260659253214
setup_reset_repayment_overlay,support,0.022006354281938423,0.0006324852350269395,0.028741027565208646,2.804461425053147e-06,8.261349726593162e-06,9.921967704859835e-05,0.0002304342718474359,0.0003754074673501741,0.010471260659316178
setup_reset_repayment_overlay,support_ring,0.022006354281938423,0.0009053579836071095,0.041140752893821055,2.974109355358196e-06,7.625206333590766e-06,0.00012065890875578094,0.0002304342718474359,0.0003465002078899141,0.010471260659316178
setup_reset_repayment_overlay,shoulder,0.010999972855804228,0.0008505686563310632,0.0773246141132297,2.6716943378901515e-07,1.4617042805259933e-06,4.837777811463228e-05,0.00011518358301847555,0.00013288253522868583,0.010471260659311352
setup_reset_repayment_overlay,matching,1.6323210973401465e-13,0.0004932857823383423,3021989871.6137857,5.930168672939655e-16,7.590851741129373e-15,1.2536421466163913e-16,1.6045333624025282e-15,0.046503422356658886,0.009829765510089294
setup_reset_repayment_overlay,global,0.022006354281938423,0.0009272125371225043,0.04213385485134665,8.149016725990269e-07,8.433213120065987e-06,3.196951865624741e-05,0.0002304342718474359,0.00038321718409248246,0.010471260659316178
