As,Ah,access_mean_ratio_fluxmin,access_mean_ratio_target,access_mean_neg_fluxmin,access_mean_pos_fluxmin,support_mean_ratio_fluxmin,support_mean_ratio_target,support_mean_neg_fluxmin,support_mean_pos_fluxmin,support_ring_mean_ratio_fluxmin,support_ring_mean_ratio_target,support_ring_mean_neg_fluxmin,support_ring_mean_pos_fluxmin,shoulder_mean_ratio_fluxmin,shoulder_mean_ratio_target,shoulder_mean_neg_fluxmin,shoulder_mean_pos_fluxmin,score,passes
0.02,0.0129,1.84010771723755,2.1092256225499058,0.10743136359331451,0.19768528122142962,2.105684586145687,2.376237901287861,0.6469928864913179,1.3623629484306954,1.2969242135191428,1.470149419445886,1.5105840843857399,1.9591130755965231,1.2154351535422896,2.214280875399324,0.5215732556752434,0.6339384700952034,0.00329,True
0.02,0.014799999999999999,1.8401077338828542,2.1092256402872893,0.107431363520578,0.19768528287581433,2.1058458991272206,2.3764144449775473,0.6469857153427621,1.3624522154484677,1.2974187206811043,1.470689810602627,1.5105114060683662,1.9597657760354488,1.4884742716036494,2.7016348612675447,0.5072740593241405,0.7550643859559414,0.00348,True
0.022,0.0129,1.9823852348101643,2.2607941614527545,0.10683428787246277,0.21178671484984862,2.383814510792079,2.68579935803131,0.6353614049072787,1.5145837366152362,1.4746340670804405,1.6692761526152058,1.4857622537778783,2.190955635003089,1.2077306160911865,2.2142808849221907,0.5225784594642939,0.6311340048048069,0.00349,True
0.02,0.0167,1.8401077505281578,2.109225658024673,0.10743136344784152,0.197685284530199,2.1060072156847593,2.3765909928414546,0.6469785441942062,1.3625414824662403,1.2979132754318206,1.471230257158325,1.5104387277509919,1.9604184764743748,1.774737474986796,3.2177188405987036,0.49462253743553386,0.877825153159919,0.0036699999999999997,True
0.022,0.014799999999999999,1.982385251592996,2.260794179333633,0.10683428780542045,0.2117867165099268,2.3839809128808676,2.685980623829458,0.6353546943388757,1.5146734642131614,1.4751442817894418,1.669832738638423,1.4856934767749586,2.1916122367564697,1.4800515458689107,2.7016348713840883,0.5082243900787977,0.7521982941844236,0.00368,True
0.02,0.0186,1.8401077671734616,2.1092256757620564,0.10743136337510502,0.1976852861845837,2.106168535818423,2.3767675448797316,0.6469713730456503,1.362630749484013,1.2984078777781607,1.4717707591214984,1.510366049433618,1.9610711769133014,2.0730443908264173,3.7615654334582995,0.4833008463788239,1.0019041086673017,0.0038599999999999997,True
0.022,0.0167,1.9823852683758287,2.260794197214512,0.10683428773837812,0.21178671817000505,2.384147318484747,2.686161893472457,0.6353479837704726,1.5147631918110867,1.4756545437392279,1.6703893764268907,1.485624699772039,2.1922688385098503,1.7656377231782356,3.217718851342218,0.4955113371048705,0.8748935090548644,0.00387,True
0.02,0.020499999999999997,1.8401077838187647,2.1092256934994404,0.10743136330236855,0.19768528783896838,2.106329859528329,2.3769441010925245,0.6469642018970945,1.3627200165017856,1.2989025277269957,1.4723113165006707,1.5102933711162436,1.9617238773522274,2.3822373368227345,4.3318929226353715,0.4731417066279838,1.1271358391372355,0.00405,True
0.022,0.0186,1.9823852851586603,2.260794215095391,0.10683428767133582,0.21178671983008324,2.3843137276038266,2.6863431669604316,0.6353412732020697,1.514852919409012,1.47616485293636,1.6709460659878312,1.4855559227691197,2.192925440263231,2.0632722737108256,3.761565444699809,0.4841451862902111,0.9989233393231756,0.00406,True
0.022,0.020499999999999997,1.982385301941493,2.26079423297627,0.10683428760429348,0.21178672149016145,2.384480140238219,2.6865244442935032,0.6353345626336668,1.5149426470069374,1.4766752093874018,1.6715028073284686,1.4854871457661998,2.1935820420166117,2.371790995847439,4.331892934442325,0.4739535287492619,1.1241187119376435,0.0042499999999999994,True
0.024,0.0129,2.1257440536520456,2.4134692464901146,0.10628608721203356,0.2259370178769443,2.6700500653133066,3.004877292951983,0.6245768441098999,1.6676514434088436,1.6576586318556892,1.8745622311953758,1.4625486911432861,2.424406462382925,1.200028119162165,2.2142808944450563,0.523604705357036,0.6283403697540754,0.03260702471305983,True
0.024,0.014799999999999999,2.125744070556041,2.413469264493509,0.10628608715026189,0.22593701954229312,2.670221292817462,3.005063901026164,0.624570553585472,1.6677415910507436,1.658183734082582,1.8751355707782003,1.4624839541767645,2.4250671041727037,1.4716405065336426,2.701634881500631,0.5091809461102814,0.7493313054510287,0.03285528852844814,True
0.024,0.0167,2.125744087460038,2.4134692824969033,0.10628608708849019,0.22593702120764197,2.670392523770777,3.0052505128630016,0.6245642630610442,1.667831738692644,1.658708882798915,1.8757089615099234,1.4624192172102428,2.425727745962482,1.75655264224592,3.217718862085733,0.49640097247116843,0.8719544398076926,0.033103612156974827,True
0.024,0.0186,2.125744104364035,2.413469300500298,0.10628608702671849,0.2259370228729908,2.670563758173356,3.005437128462607,0.6245579725366162,1.6679218863345442,1.6592340780108623,1.8762824033973904,1.4623544802437207,2.4263883877522603,2.053448884284818,3.761565455941318,0.48502208015239634,0.9959680493424605,0.0333519956022191,True
