series,observer_family,B_setup_neg,B_setup_pos,B_setup_neg_centroid,B_setup_pos_centroid,R_open_neg,R_open_pos,R_open_neg_centroid,R_open_pos_centroid,hold_neg,hold_pos,hold_neg_centroid,hold_pos_centroid,R_close_neg,R_close_pos,R_close_neg_centroid,R_close_pos_centroid,comp_neg,comp_pos,comp_neg_centroid,comp_pos_centroid,B_reset_neg,B_reset_pos,B_reset_neg_centroid,B_reset_pos_centroid,open_interval_neg,open_interval_pos,open_interval_neg_centroid,open_interval_pos_centroid,setup_reset_neg,setup_reset_pos,setup_reset_neg_centroid,setup_reset_pos_centroid,full_cycle_neg,full_cycle_pos,full_cycle_neg_centroid,full_cycle_pos_centroid,full_pos_to_neg_ratio,open_pos_to_neg_ratio,setup_reset_pos_to_neg_ratio
target_zero_flux_Tkk,core_line,0.0001807312765459258,0.0,24.49554318509837,,0.0025225399675085284,0.0,153.31033208654796,,0.07417470344409502,0.0,185.00625,,0.002507263249108805,0.0,216.69715964327577,,0.0,0.08745390727303427,,230.00071913146863,0.0001807312765458717,0.0,365.50445681491505,,0.08040630133635575,0.0,185.0000099397656,,0.0003688214078752505,0.0,194.9999999999815,,0.08076798094959564,0.08746509379027084,185.04476039319528,229.99987548261842,1.0829179182384636,0.0,0.0
target_zero_flux_Tkk,access_mean,0.003731761543859413,0.03291030568420238,10.12885938186061,79.07274673384596,0.0048137185306091,0.0,152.76089471945124,,0.07127950597549193,0.0,185.0061374748603,,0.004800233381393847,0.0,217.24543667162183,,0.0,0.08728657683731515,,230.0010408967284,0.0037279416538292336,0.032910305684202376,380.0141016626284,310.92725326615397,0.08204172358569958,0.0,185.0006524448463,,0.008450979980556793,0.06582061136840475,191.27577085833002,194.99999999999994,0.08956083885953417,0.15311328662643087,185.82990773701584,214.9544685708574,1.7096008543036791,0.0,7.788518197861151
target_zero_flux_Tkk,support_mean,0.2131810007345518,0.7572113965584133,12.083671857560672,80.8856332492648,0.008536442338144363,0.0,152.0081976611956,,0.055352704535585016,0.0,185.00428760913167,,0.008542064569920276,0.0,217.99559527920533,,0.0001169403962094877,0.0768715711933509,230.01264434170673,230.0004167422483,0.2131498849736336,0.7572113965584133,377.9364099173688,309.1143667507352,0.0729268552420754,0.0,185.00514601122077,,0.4462454709454472,1.5144227931168266,194.4259678532694,194.99999999999997,0.49997808593672227,1.5912943643101776,193.5426785834077,196.69078524234266,3.182728221635581,0.0,3.3936989655227863
target_zero_flux_Tkk,support_ring_mean,0.7622354271517632,1.0013542639614312,14.255112240127994,83.38699256963388,0.011601198857358103,0.0004089714161104299,151.6645063717559,154.20481097398562,0.04040704920557477,0.0,185.00082471081242,,0.011627118139816038,0.0004063129603680973,218.33775366135166,215.8032620248802,0.0007941645791457459,0.05592366119975019,230.34259940784884,229.9988961803017,0.7621732683532818,1.0013542639614312,375.7559297031239,306.61300743036605,0.06369432498461558,0.001077876615112926,185.01251906018686,185.0090484213795,1.5794164316339725,2.002708527922862,194.67604831826046,195.00000000000003,1.590328783469816,2.0597100657377254,194.61455460222376,195.9450346588397,1.2951473224573031,0.01692264758866825,1.2680053770562356
target_zero_flux_Tkk,shoulder_mean,0.2696035976787231,0.30771560731339287,15.520853702780283,84.91678737372051,0.002515332777984938,0.0004836622383932026,151.41822125195768,153.98821581968346,0.0024417210280534445,6.7247087814653e-05,184.9945708059483,185.64658045843797,0.0025241231093365976,0.00048099257557386094,218.58364201164318,216.01972362515733,0.0003893262703869647,0.008081620845840399,230.32282474967946,230.00047967301114,0.2695841682840267,0.30771560731339287,374.4888130841016,305.08321262627953,0.007481176915374981,0.001287230631573905,185.03831502653233,185.03816320360687,0.5568929591110565,0.6154312146267857,194.71285142657098,195.0,0.5475054701721187,0.6248000661042001,194.886584996687,195.43219813716172,1.1411759336537242,0.17206258402026633,1.1051158118593565
target_zero_flux_Tkk,matching_mean,0.03520159792752949,0.0,50.17884860524155,,0.0001572051689440077,0.0,152.3437487808999,,0.002148469448297054,0.0,185.00625000000002,,0.00015720508158271102,0.0,217.66875,,0.000698689338816731,0.0,230.10000121910406,,0.03520159792752948,0.0,339.82115139475854,,0.0024978141613977095,0.0,185.0062487808992,,0.07365257378962686,0.0,194.9999999999994,,0.07365210376641171,0.0,194.99999999998894,,0.0,0.0,0.0
combined_flux_completed_Tkk_min,core_line,0.0001807312765459258,0.0,24.49554318509837,,0.0025225399675085284,0.0,153.31033208654796,,0.07417470344409502,0.0,185.00625,,0.002507263249108805,0.0,216.69715964327577,,0.0,0.08745390727303427,,230.00071913146863,0.0001807312765458717,0.0,365.50445681491505,,0.08040630133635575,0.0,185.0000099397656,,0.0003688214078752505,0.0,194.9999999999815,,0.08076798094959564,0.08746509379027084,185.04476039319528,229.99987548261842,1.0829179182384636,0.0,0.0
combined_flux_completed_Tkk_min,access_mean,0.0037650586634113644,0.03271552727205734,10.951733242523,78.96174062831605,0.006192802553009474,0.0,152.54814575255833,,0.07130336717121036,0.0,185.0063397035325,,0.006191995223998811,0.0,217.4621748310486,,0.0005917119580679659,0.07180409418345896,230.2790793034694,230.0012228968637,0.003742651061744468,0.03271552727205733,379.8781739795114,311.038259371684,0.08489358305259753,0.0,185.00631883366722,,0.011840247350619504,0.06543105454411467,182.01348856773527,194.99999999999997,0.09327971458390488,0.13723514872757364,186.1245980029647,213.31331935531816,1.4712217907154532,0.0,5.526156051177084
combined_flux_completed_Tkk_min,support_mean,0.21605257168214312,0.7344414056730145,12.652345723776948,80.3018182662124,0.017730695242528613,0.0,151.97936347463315,,0.05611764556492985,0.0,185.00780341824378,,0.017787351458931105,0.0,218.03015103822347,,0.01204661805923411,0.04112620584239711,229.79485357439836,229.9996488610971,0.21564463652417346,0.7344414056730146,377.6066072599841,309.6981817337876,0.09257604451927452,0.0,185.02571695552206,,0.5046680751852751,1.4688828113460288,189.81699919811,195.00000000000003,0.5391206915502453,1.510009017188426,194.00521797719674,195.95324117080654,2.80087379478305,0.0,2.9105918990551154
combined_flux_completed_Tkk_min,support_ring_mean,0.7743007609478004,0.9512207062718478,14.870471047676393,82.49083609425999,0.0309757615977691,0.0,151.84828654981266,,0.04249018424522194,0.0,185.01523584206336,,0.031105308090686075,0.0,218.16076601083918,,0.03662563887432657,0.019129633485558996,229.81369136491645,230.0052608489911,0.7732743453780434,0.9512207062718478,375.3082782722991,307.50916390574,0.1057090472727077,0.0,185.04504474265948,,1.7349079003879329,1.9024414125436957,191.26515954316181,195.0,1.6963833609925463,1.9215710460292548,195.08217036125515,195.34848454419176,1.132745752059806,0.0,1.0965662281659394
