component,zone,max_abs_source_Tkk,max_abs_required_flux,flux_over_source_scale,max_flux_completed_residual,flux_completed_residual_over_source_scale,max_zero_flux_exchange,zero_flux_exchange_over_source_scale
NMC_like_support_component,access,0.0026190734593314804,0.0007023698583117403,0.2681749363727356,0.00016009620158280793,0.06112703750725364,0.0011515443754902398,0.4396762417592411
NMC_like_support_component,support,0.014429981358540019,0.012880278739533502,0.892605362370107,0.0010474518368441786,0.07258857865566616,0.009338881746696732,0.6471859883013468
NMC_like_support_component,support_ring,0.041359220497389076,0.02532488699272402,0.6123153842883168,0.006201804737961603,0.14994974913400774,0.024657165457308814,0.5961709423141901
NMC_like_support_component,shoulder,0.21185207302879858,0.414631467288369,1.9571744631075911,0.0034927824081046055,0.016486892755728694,0.14052268480406813,0.6633056868174515
NMC_like_support_component,global,0.21185207302879858,0.414631467288369,1.9571744631075911,0.006201804737961603,0.02927422257094717,0.14052268480406813,0.6633056868174515
infrastructure_residual_component,access,0.008198278923910068,0.0010860110053730325,0.13246816989913696,0.00015525282746205616,0.018937246329746762,0.0011792462458749403,0.14384070813152006
infrastructure_residual_component,support,0.03846304588731669,0.0101591756681398,0.26412821537593884,0.0010476762192526763,0.027238514139571846,0.007474124637402832,0.19431962458977928
infrastructure_residual_component,support_ring,0.08406507629318784,0.02119670320255838,0.2521463625231497,0.006193757845834067,0.07367813269130376,0.02421497115787656,0.28805030847082935
infrastructure_residual_component,shoulder,0.2145150547541539,0.4154139249595373,1.9365257391171198,0.003471788091528316,0.016184356363739494,0.1401719462163391,0.6534364050904674
infrastructure_residual_component,global,0.2145150547541539,0.4154139249595373,1.9365257391171198,0.006193757845834067,0.02887330147029753,0.1401719462163391,0.6534364050904674
combined_hybrid_source,access,0.008198278923910068,0.0010860110053730325,0.13246816989913696,7.285839341539209e-05,0.008887035204779684,0.0006289795265625989,0.07672092306205835
combined_hybrid_source,support,0.03846304588731669,0.005297177785843935,0.1377212247143094,7.285839341539209e-05,0.0018942439875625496,0.0019100188289786484,0.04965854328267027
combined_hybrid_source,support_ring,0.08406507629318784,0.008429446226331669,0.10027286714084317,1.2346164688604002e-05,0.00014686437261467715,0.002626473099829888,0.031243332137946597
combined_hybrid_source,shoulder,0.12893270165927467,0.012558739953625551,0.0974053889510051,7.350828717196575e-05,0.0005701291156236157,0.0028511506244620097,0.0221134792629773
combined_hybrid_source,global,0.12893270165927467,0.012558739953625551,0.0974053889510051,7.350828717196575e-05,0.0005701291156236157,0.002906411560202987,0.022542082208776213
open_interval_repayment_overlay,access,0.008198360082011335,0.0010860110053738169,0.13246685855586152,6.929067875941766e-07,8.451773045618449e-05,0.0006289795265626025,0.0767201635779204
open_interval_repayment_overlay,support,0.008198360082011335,0.003300348172241269,0.4025619927920489,2.988473444651314e-06,0.0003645208815856427,0.0006289795265626025,0.0767201635779204
open_interval_repayment_overlay,support_ring,0.008112843329289137,0.0036245684821394238,0.4467691948461447,2.988473444651314e-06,0.0003683632634519481,0.0006224186673050949,0.0767201635779194
open_interval_repayment_overlay,shoulder,0.0018996200185236976,0.0031486521439841263,1.6575168261445898,3.3025414544214226e-06,0.0017385274013842066,0.0001457391585564407,0.07672016357761004
open_interval_repayment_overlay,global,0.008198360082011335,0.0036245684821394238,0.44210896397346267,3.911169358495906e-06,0.00047706728167230784,0.0006289795265626025,0.0767201635779204
setup_reset_repayment_overlay,access,0.0015467719005221763,5.222243066676365e-06,0.003376220543516069,8.261350563536497e-06,0.005341027051724652,1.619665175077613e-05,0.010471260659253174
setup_reset_repayment_overlay,support,0.022009267277869612,0.0006325334863714552,0.028739415919014695,8.261350563536497e-06,0.00037535781901487067,0.00023046477458713022,0.010471260659316145
setup_reset_repayment_overlay,support_ring,0.022009267277869612,0.0009063978273279038,0.04118255350732596,7.624934924188923e-06,0.0003464420158982675,0.00023046477458713022,0.010471260659316145
setup_reset_repayment_overlay,shoulder,0.015999960517528874,0.00119307123781721,0.07456713636950116,1.9324949287877533e-06,0.00012078123109557641,0.00016753975711778207,0.010471260659314294
setup_reset_repayment_overlay,global,0.022009267277869612,0.00119307123781721,0.05420767637352684,8.800405672521261e-06,0.00039985000688187825,0.00023046477458713022,0.010471260659316145
