t,phase,core_line_target_Tkk,core_line_flux_completed_min_Tkk,core_line_radial_flux_f,access_mean_target_Tkk,access_mean_flux_completed_min_Tkk,access_mean_radial_flux_f,support_mean_target_Tkk,support_mean_flux_completed_min_Tkk,support_mean_radial_flux_f,support_ring_mean_target_Tkk,support_ring_mean_flux_completed_min_Tkk,support_ring_mean_radial_flux_f,shoulder_mean_target_Tkk,shoulder_mean_flux_completed_min_Tkk,shoulder_mean_radial_flux_f
0.0,B_setup,-5.194118481204046e-06,-5.194118481204046e-06,0.0,-0.00021394411384835634,-0.00021394434064760286,1.7563821367985776e-20,-0.010128224378848829,-0.010128247016320322,6.4546387395868984e-18,-0.030957397942615,-0.030957482669770674,4.167147990606981e-18,-0.009795495285035974,-0.00979626838771517,-3.5843879418640436e-19
0.975,B_setup,-5.193906232578388e-06,-5.193906232578388e-06,0.0,-0.00021373253105864718,-0.00021375212401410893,4.915816211743708e-22,-0.010122955869309282,-0.010125314300866311,-1.2475585265988337e-19,-0.03094934932659617,-0.03095494703401855,-1.5657404029995741e-19,-0.009796204974727184,-0.00979896778446252,1.5074033104773995e-18
1.95,B_setup,-5.192494262232904e-06,-5.192494262232904e-06,0.0,-0.00021306637593584003,-0.00021310821482204215,8.186724691096251e-22,-0.010105677984379932,-0.010110697842985846,3.170323316866096e-20,-0.030920723729247403,-0.03093313693628231,-4.0208654006161636e-19,-0.009797668981732541,-0.009806480880450958,-6.41447923387834e-19
2.925,B_setup,-5.188756682277386e-06,-5.188756682277386e-06,0.0,-0.00021190013923797036,-0.00021196686126197673,1.3178168844559092e-21,-0.010074194781857868,-0.010082177252303051,2.4200941350122867e-21,-0.030864742172894127,-0.030885185483993015,2.6274962023828396e-19,-0.009797165955297737,-0.009815447898573925,-1.5535136665435555e-18
3.9,B_setup,-5.181621217613667e-06,-5.181621217613667e-06,0.0,-0.00021019126669677356,-0.00021028536941014518,-1.658142622192012e-20,-0.010026443104353792,-0.010037673459747756,-5.114465605325966e-20,-0.03077501789343461,-0.030804644720883262,-1.5720931501039814e-19,-0.00979237332909379,-0.009823526982837198,1.0032736985032729e-19
4.875,B_setup,-5.1700770783813596e-06,-5.1700770783813596e-06,0.0,-0.00020790040158379385,-0.0002080242356314054,2.0759870001902273e-20,-0.009960494665107452,-0.00997524152965026,1.6763185375185105e-19,-0.030645548498379742,-0.030685446708753034,2.6393546636444e-19,-0.009781051903748648,-0.009828436371543217,1.6218241116756566e-18
5.85,B_setup,-5.153185221703915e-06,-5.153185221703915e-06,0.0,-0.00020499180119978158,-0.00020514755903902542,2.7112617106309525e-21,-0.009874575585829135,-0.00989308972712807,2.9363808838149076e-20,-0.030470775427356496,-0.03052196120984335,4.8111471404044257e-20,-0.00976105533390408,-0.009827970255626402,-1.3548844404124222e-19
6.825,B_setup,-5.130090324486364e-06,-5.130090324486364e-06,0.0,-0.0002014338234010652,-0.00020162352499097382,2.654540754341602e-21,-0.009767089356305325,-0.00978960212044019,4.936992035425065e-20,-0.03024565403633272,-0.03030906445367877,1.1384122811097797e-19,-0.009730345546061135,-0.00982001973353679,-5.181252202235283e-19
7.8,B_setup,-5.100033725643295e-06,-5.100033725643295e-06,0.0,-0.00019719945265674337,-0.00019742492918782914,3.9477785577387925e-21,-0.009636641776651697,-0.009663363287382478,9.906251992650293e-20,-0.029965729914791607,-0.030042214629253484,1.450120405699362e-19,-0.009687012910289495,-0.009802572618721622,6.118708218328944e-19
8.775,B_setup,-5.062366541651563e-06,-5.062366541651563e-06,0.0,-0.00019226683290258657,-0.00019252970969384477,2.3482475903791093e-20,-0.009482066336373404,-0.009513183586370055,2.3587850835919755e-19,-0.029627216716970373,-0.029717529408629907,-2.866359493508552e-19,-0.009629299848985015,-0.00977348826912649,5.406786233041566e-19
