basis,rank1_phi_coefficient,abs_rank1_phi_coefficient
phi_setup_reset__matching_ring,135837.77396099508,135837.77396099508
phi_comp__core_bowl,135535.29568669872,135535.29568669872
phi_open__core_bowl,-9058.05259130229,9058.05259130229
phi_comp__shoulder_ring,190.56488280125686,190.56488280125686
phi_B_reset__shoulder_ring,-11.115860174560408,11.115860174560408
phi_setup_reset__shoulder_ring,-11.113471026583978,11.113471026583978
phi_open__support_broad,8.418942053916602,8.418942053916602
phi_setup_reset__inner_ring,0.00722526254630471,0.00722526254630471
phi_B_setup__shoulder_ring,0.0023499081985606,0.0023499081985606
