observer_family,B_setup_neg_total,B_setup_pos_total,B_setup_neg_geo,B_setup_pos_geo,B_setup_neg_overlay,B_setup_pos_overlay,B_setup_neg_centroid,B_setup_pos_centroid,R_open_neg_total,R_open_pos_total,R_open_neg_geo,R_open_pos_geo,R_open_neg_overlay,R_open_pos_overlay,R_open_neg_centroid,R_open_pos_centroid,hold_neg_total,hold_pos_total,hold_neg_geo,hold_pos_geo,hold_neg_overlay,hold_pos_overlay,hold_neg_centroid,hold_pos_centroid,R_close_neg_total,R_close_pos_total,R_close_neg_geo,R_close_pos_geo,R_close_neg_overlay,R_close_pos_overlay,R_close_neg_centroid,R_close_pos_centroid,comp_neg_total,comp_pos_total,comp_neg_geo,comp_pos_geo,comp_neg_overlay,comp_pos_overlay,comp_neg_centroid,comp_pos_centroid,B_reset_neg_total,B_reset_pos_total,B_reset_neg_geo,B_reset_pos_geo,B_reset_neg_overlay,B_reset_pos_overlay,B_reset_neg_centroid,B_reset_pos_centroid,open_interval_neg_total,open_interval_pos_total,open_interval_neg_geo,open_interval_pos_geo,open_interval_neg_overlay,open_interval_pos_overlay,open_interval_neg_centroid,open_interval_pos_centroid,full_cycle_neg_total,full_cycle_pos_total,full_cycle_neg_geo,full_cycle_pos_geo,full_cycle_neg_overlay,full_cycle_pos_overlay,full_cycle_neg_centroid,full_cycle_pos_centroid,comp_overlay_to_open_total_neg,comp_total_to_open_total_neg,open_neg_centroid_to_comp_pos_centroid_delay
core_line,2.2742071806918124e-06,0.0,2.2742071806918124e-06,0.0,0.0,0.0,25.23225362797515,,0.0029358343466642763,0.0,0.0029358343466642763,0.0,0.0,0.0,153.49325365587353,,0.07451435657383343,0.0,0.07451435657383343,0.0,0.0,0.0,185.00625,,0.002920312241364661,0.0,0.002920312241364661,0.0,0.0,0.0,216.51400020145013,,0.0,0.08746603213021695,1.995529949989568e-08,0.0,0.0,0.08746605208551643,,229.99993940374551,2.2742071806743343e-06,0.0,2.2742071806743343e-06,0.0,0.0,0.0,364.7677463720204,,0.08077432882240415,0.0,0.08077432882240415,0.0,0.0,0.0,185.00000238999834,,0.08077892375470846,0.08746663924563822,0.080778943873576,0.0,0.0,0.08746665936450576,185.00056293392686,230.00000402678307,1.0828446780142744,1.0828444309642553,44.99993701374717
access_mean,0.005354569840601192,0.0,0.005354569840601192,0.0,0.0,0.0,25.31444004276863,,0.005272518315283775,0.0,0.005272518315283775,0.0,0.0,0.0,152.8783170598515,,0.0715375095938924,0.0,0.0715375095938924,0.0,0.0,0.0,185.00616887093767,,0.005258964842732355,0.0,0.005258964842732355,0.0,0.0,0.0,217.12760506482618,,1.55966837178912e-06,0.08731256777723151,4.8510787883419607e-05,0.0,0.0,0.08735951889674315,220.025,229.99998156553022,0.005352660547937945,0.0,0.005352660547937945,0.0,0.0,0.0,364.73002077671214,,0.0824484983759303,0.0,0.0824484983759303,0.0,0.0,0.0,185.00039017213587,,0.09317235764143177,0.08731296562716252,0.0932195174503391,0.0,0.0,0.08736012543606986,186.14906803154568,230.00002644808714,1.0595647054530892,1.0589952454818772,44.999591393394354
support_mean,0.3473626629683196,0.0,0.3473626629683196,0.0,0.0,0.0,25.357721665050533,,0.008780563234948297,0.0,0.008780563234948297,0.0,0.0,0.0,151.9877674667966,,0.05560790572244123,0.0,0.05560790572244123,0.0,0.0,0.0,185.0053895865595,,0.008781196894534353,0.0,0.008781196894534353,0.0,0.0,0.0,218.01629363972643,,0.0001369646871190557,0.0769402930580408,0.003041600946851466,0.0,0.0,0.07984492931777323,227.71712853426695,229.99999062792276,0.34734782405346426,0.0,0.34734782405346426,0.0,0.0,0.0,364.6476013224686,,0.07339698189895219,0.0,0.07339698189895219,0.0,0.0,0.0,185.00378056231722,,0.7684182318927377,0.0769402930580408,0.7713234225178132,0.0,0.0,0.07984548368311635,194.04944432755448,229.99999062792276,1.0878503073559216,1.0482759790309326,44.99621006560554
inner_shoulder_mean,0.7735006753275054,0.0,0.7735006753275054,0.0,0.0,0.0,27.28715920741081,,0.0056881880441210925,0.0015016008806972196,0.0056881880441210925,0.0015016008806972196,0.0,0.0,151.41443809626247,154.07456116083878,0.004334520844897065,1.1786022664724391e-05,0.004334520844897065,1.1786022664724391e-05,0.0,0.0,185.0016584829995,188.5031465938058,0.005700833249246958,0.0014980823373350726,0.005700833249246958,0.0014980823373350726,0.0,0.0,218.5877040430674,215.92864480556958,0.000962948696965486,0.011332846488538918,0.0070934497909354265,0.0,0.0,0.017463347582508854,229.4323604572291,229.99989260339515,0.7734812372573497,0.0,0.7734812372573497,0.0,0.0,0.0,362.7159235665883,,0.015723542138265115,0.003084707373463777,0.015723542138265115,0.003084707373463777,0.0,0.0,185.0282440829098,185.0151836883197,1.5639443162402848,0.014417553862002696,1.5700749385827142,0.003084707373463777,0.0,0.01746346883096831,194.92025476469297,220.37519034033184,1.1106497142274707,0.7207565820018611,44.97164852048536
shoulder_mean,0.37915054668473386,0.0,0.37915054668473386,0.0,0.0,0.0,28.22661943670308,,0.002595324159107769,0.00066698735805612,0.002595324159107769,0.00066698735805612,0.0,0.0,151.41667129751846,154.0758107611605,0.0023995124461447686,4.14491315578567e-06,0.0023995124461447686,4.14491315578567e-06,0.0,0.0,185.00249601072633,189.50656334551877,0.0026010352829375525,0.0006653935670509406,0.0026010352829375525,0.0006653935670509406,0.0,0.0,218.58555999694855,215.9272165157081,0.00037798040430804476,0.008297181148997551,0.0031177732242731538,0.0,0.0,0.011036973968962657,229.32449607111772,229.9999172487671,0.37914174904417314,0.0,0.37914174904417314,0.0,0.0,0.0,361.77620520985664,,0.00759587188819009,0.0013672938148866281,0.00759587188819009,0.0013672938148866281,0.0,0.0,185.02680290508744,185.01534167339062,0.766394150957708,0.009664474963884177,0.7691340204076598,0.0013672938148866281,0.0,0.01103705059894923,194.9174760265089,223.6356675425635,1.4530226590737096,1.0923276841855047,44.97311434367967
matching_mean,0.035182759650957546,0.0,0.035182759650957546,0.0,0.0,0.0,50.14584663174033,,0.00016738242346417504,0.0,0.00016738242346417504,0.0,0.0,0.0,152.50624999993747,,0.002129797043332177,0.0,0.002129797043332177,0.0,0.0,0.0,185.00625000000014,,0.00016738242345972043,0.0,0.00016738242345972043,0.0,0.0,0.0,217.5062500000002,,0.000704160540060677,0.0,0.0007041605400672371,0.0,0.0,6.560145197249929e-15,229.93750000006105,,0.035182759650957504,0.0,0.035182759650957504,0.0,0.0,0.0,339.8541533682596,,0.0024761055056670657,0.0,0.0024761055056670657,0.0,0.0,0.0,185.00624999993738,,0.0735631007951712,0.0,0.07356310079517775,0.0,0.0,6.560190744502264e-15,194.9999999999924,,2.6493803201168398e-12,0.0,
