observer_family,component,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,qi_proxy_status
core_line,geometry_only,0.5,-0.0012325191038912893,184.7625,-0.15198177546350666,0.15074925635961536,above_proxy_bound
core_line,geometry_only,1.0,-0.0012223279869307618,184.7625,-0.009498860966469166,0.008276532979538405,above_proxy_bound
core_line,geometry_only,2.0,-0.0012018855079409328,184.7625,-0.0005936788104043229,-0.0006082066975366099,below_proxy_bound
core_line,geometry_only,5.0,-0.0011404789837343838,184.7625,-1.5198177546350666e-05,-0.0011252808061880332,below_proxy_bound
core_line,geometry_only,10.0,-0.0010403822053282412,184.7625,-9.498860966469166e-07,-0.0010394323192315944,below_proxy_bound
core_line,geometry_only,20.0,-0.0008622890237897153,184.7625,-5.936788104043229e-08,-0.0008622296559086749,below_proxy_bound
core_line,geometry_only,40.0,-0.0006196771880232836,184.7625,-3.710492565027018e-09,-0.0006196734775307186,below_proxy_bound
core_line,total_with_overlay,0.5,-0.001226702895517624,177.45,-0.15198177546350666,0.15075507256798903,above_proxy_bound
core_line,total_with_overlay,1.0,-0.0012106812537815348,177.45,-0.009498860966469166,0.00828817971268763,above_proxy_bound
core_line,total_with_overlay,2.0,-0.001178554702521697,177.45,-0.0005936788104043229,-0.000584875892117374,below_proxy_bound
core_line,total_with_overlay,5.0,-0.0010822671538350708,176.9625,-1.5198177546350666e-05,-0.0010670689762887202,below_proxy_bound
core_line,total_with_overlay,10.0,-0.0009268525937623182,176.475,-9.498860966469166e-07,-0.0009259027076656713,below_proxy_bound
core_line,total_with_overlay,20.0,-0.0006601121429216553,174.525,-5.936788104043229e-08,-0.0006600527750406149,below_proxy_bound
core_line,total_with_overlay,40.0,-0.00033731995635974,167.7,-3.710492565027018e-09,-0.000337316245867175,below_proxy_bound
core_line,overlay_only,0.5,2.840967393578735e-07,4.3875,-0.15198177546350666,0.15198205956024602,above_proxy_bound
core_line,overlay_only,1.0,5.867047725115903e-07,5.85,-0.009498860966469166,0.009499447671241678,above_proxy_bound
core_line,overlay_only,2.0,1.2283060476032587e-06,8.2875,-0.0005936788104043229,0.0005949071164519262,above_proxy_bound
core_line,overlay_only,5.0,3.4501484627032115e-06,20.474999999999998,-1.5198177546350666e-05,1.8648326009053878e-05,above_proxy_bound
core_line,overlay_only,10.0,8.467826072885584e-06,40.4625,-9.498860966469166e-07,9.4177121695325e-06,above_proxy_bound
core_line,overlay_only,20.0,2.716594632080224e-05,80.4375,-5.936788104043229e-08,2.7225314201842673e-05,above_proxy_bound
core_line,overlay_only,40.0,0.0002000929307346414,160.3875,-3.710492565027018e-09,0.00020009664122720643,above_proxy_bound
access_mean,geometry_only,0.5,-0.001326056515502505,153.075,-0.15198177546350666,0.15065571894800417,above_proxy_bound
access_mean,geometry_only,1.0,-0.0011819154679449692,153.5625,-0.009498860966469166,0.008316945498524197,above_proxy_bound
access_mean,geometry_only,2.0,-0.0011571307895575727,184.7625,-0.0005936788104043229,-0.0005634519791532498,below_proxy_bound
access_mean,geometry_only,5.0,-0.0011029326108203494,184.7625,-1.5198177546350666e-05,-0.0010877344332739989,below_proxy_bound
access_mean,geometry_only,10.0,-0.0010141197550095594,184.7625,-9.498860966469166e-07,-0.0010131698689129125,below_proxy_bound
access_mean,geometry_only,20.0,-0.0008535755008034607,184.7625,-5.936788104043229e-08,-0.0008535161329224203,below_proxy_bound
access_mean,geometry_only,40.0,-0.0006277506473952783,184.7625,-3.710492565027018e-09,-0.0006277469369027133,below_proxy_bound
access_mean,total_with_overlay,0.5,-0.0013236857573689885,153.075,-0.15198177546350666,0.15065808970613767,above_proxy_bound
access_mean,total_with_overlay,1.0,-0.0011771052296935581,153.5625,-0.009498860966469166,0.008321755736775608,above_proxy_bound
access_mean,total_with_overlay,2.0,-0.001134587236640605,175.98749999999998,-0.0005936788104043229,-0.000540908426236282,below_proxy_bound
access_mean,total_with_overlay,5.0,-0.0010466570642957862,175.98749999999998,-1.5198177546350666e-05,-0.0010314588867494357,below_proxy_bound
access_mean,total_with_overlay,10.0,-0.000904142008174579,175.5,-9.498860966469166e-07,-0.0009031921220779321,below_proxy_bound
access_mean,total_with_overlay,20.0,-0.0006565356015223728,173.54999999999998,-5.936788104043229e-08,-0.0006564762336413323,below_proxy_bound
access_mean,total_with_overlay,40.0,-0.0003495624548089303,166.725,-3.710492565027018e-09,-0.0003495587443163653,below_proxy_bound
access_mean,overlay_only,0.5,2.837507110321146e-07,4.3875,-0.15198177546350666,0.1519820592142177,above_proxy_bound
access_mean,overlay_only,1.0,5.859901692021478e-07,5.85,-0.009498860966469166,0.00949944695663837,above_proxy_bound
access_mean,overlay_only,2.0,1.226809977334616e-06,8.2875,-0.0005936788104043229,0.0005949056203816576,above_proxy_bound
access_mean,overlay_only,5.0,3.445946200125798e-06,20.474999999999998,-1.5198177546350666e-05,1.8644123746476465e-05,above_proxy_bound
access_mean,overlay_only,10.0,8.457512305520845e-06,40.4625,-9.498860966469166e-07,9.40739840216776e-06,above_proxy_bound
access_mean,overlay_only,20.0,2.7132858341882485e-05,80.4375,-5.936788104043229e-08,2.719222622292292e-05,above_proxy_bound
access_mean,overlay_only,40.0,0.0001998492186034329,160.3875,-3.710492565027018e-09,0.00019985292909599793,above_proxy_bound
support_mean,geometry_only,0.5,-0.009696120554880968,2.4375,-0.15198177546350666,0.14228565490862569,above_proxy_bound
support_mean,geometry_only,1.0,-0.009576006353383298,4.3875,-0.009498860966469166,-7.714538691413163e-05,below_proxy_bound
support_mean,geometry_only,2.0,-0.00918080382573896,8.2875,-0.0005936788104043229,-0.008587125015334637,below_proxy_bound
support_mean,geometry_only,5.0,-0.006849618383538026,20.474999999999998,-1.5198177546350666e-05,-0.006834420205991675,below_proxy_bound
support_mean,geometry_only,10.0,-0.003193961429269284,40.4625,-9.498860966469166e-07,-0.003193011543172637,below_proxy_bound
support_mean,geometry_only,20.0,-0.0010284765508124314,80.4375,-5.936788104043229e-08,-0.001028417182931391,below_proxy_bound
support_mean,geometry_only,40.0,-0.0009233538811795202,178.9125,-3.710492565027018e-09,-0.0009233501706869552,below_proxy_bound
support_mean,total_with_overlay,0.5,-0.009695857922539018,2.4375,-0.15198177546350666,0.14228591754096764,above_proxy_bound
support_mean,total_with_overlay,1.0,-0.00957546775670582,4.3875,-0.009498860966469166,-7.660679023665379e-05,below_proxy_bound
support_mean,total_with_overlay,2.0,-0.009179682544885267,8.2875,-0.0005936788104043229,-0.008586003734480943,below_proxy_bound
support_mean,total_with_overlay,5.0,-0.006846468854622842,20.474999999999998,-1.5198177546350666e-05,-0.006831270677076491,below_proxy_bound
support_mean,total_with_overlay,10.0,-0.003186231424791619,40.4625,-9.498860966469166e-07,-0.0031852815386949718,below_proxy_bound
support_mean,total_with_overlay,20.0,-0.001003677637266932,80.4375,-5.936788104043229e-08,-0.0010036182693858916,below_proxy_bound
support_mean,total_with_overlay,40.0,-0.0007236364079536708,160.3875,-3.710492565027018e-09,-0.0007236326974611058,below_proxy_bound
support_mean,overlay_only,0.5,2.59342722491478e-07,4.3875,-0.15198177546350666,0.15198203480622915,above_proxy_bound
support_mean,overlay_only,1.0,5.355838062267509e-07,5.85,-0.009498860966469166,0.009499396550275393,above_proxy_bound
support_mean,overlay_only,2.0,1.1212808536915284e-06,8.2875,-0.0005936788104043229,0.0005948000912580144,above_proxy_bound
support_mean,overlay_only,5.0,3.1495289151844347e-06,20.474999999999998,-1.5198177546350666e-05,1.83477064615351e-05,above_proxy_bound
support_mean,overlay_only,10.0,7.730004477665279e-06,40.4625,-9.498860966469166e-07,8.679890574312195e-06,above_proxy_bound
support_mean,overlay_only,20.0,2.479891354549947e-05,80.4375,-5.936788104043229e-08,2.4858281426539904e-05,above_proxy_bound
support_mean,overlay_only,40.0,0.00018265836322271914,160.3875,-3.710492565027018e-09,0.00018266207371528417,above_proxy_bound
shoulder_mean,geometry_only,0.5,-0.00902737032197283,383.66249999999997,-0.15198177546350666,0.14295440514153385,above_proxy_bound
shoulder_mean,geometry_only,1.0,-0.008963630750342929,384.6375,-0.009498860966469166,0.0005352302161262378,above_proxy_bound
shoulder_mean,geometry_only,2.0,-0.008786320758138294,381.7125,-0.0005936788104043229,-0.008192641947733972,below_proxy_bound
shoulder_mean,geometry_only,5.0,-0.007182045719551696,369.525,-1.5198177546350666e-05,-0.007166847542005345,below_proxy_bound
shoulder_mean,geometry_only,10.0,-0.003771912858257435,349.53749999999997,-9.498860966469166e-07,-0.0037709629721607877,below_proxy_bound
shoulder_mean,geometry_only,20.0,-0.0012154742951575356,309.5625,-5.936788104043229e-08,-0.0012154149272764951,below_proxy_bound
shoulder_mean,geometry_only,40.0,-0.0005462382286395644,229.61249999999998,-3.710492565027018e-09,-0.0005462345181469994,below_proxy_bound
shoulder_mean,total_with_overlay,0.5,-0.009027329920694799,6.3374999999999995,-0.15198177546350666,0.14295444554281186,above_proxy_bound
shoulder_mean,total_with_overlay,1.0,-0.008963547806044001,5.3625,-0.009498860966469166,0.0005353131604251653,above_proxy_bound
shoulder_mean,total_with_overlay,2.0,-0.008786146884654539,8.2875,-0.0005936788104043229,-0.008192468074250215,below_proxy_bound
shoulder_mean,total_with_overlay,5.0,-0.007181552846609383,20.474999999999998,-1.5198177546350666e-05,-0.007166354669063032,below_proxy_bound
shoulder_mean,total_with_overlay,10.0,-0.0037706815066567523,40.4625,-9.498860966469166e-07,-0.003769731620560105,below_proxy_bound
shoulder_mean,total_with_overlay,20.0,-0.0012113302821970206,80.4375,-5.936788104043229e-08,-0.00121127091431598,below_proxy_bound
shoulder_mean,total_with_overlay,40.0,-0.0005070721448703294,160.3875,-3.710492565027018e-09,-0.0005070684343777644,below_proxy_bound
shoulder_mean,overlay_only,0.5,3.584897502741226e-08,4.3875,-0.15198177546350666,0.1519818113124817,above_proxy_bound
shoulder_mean,overlay_only,1.0,7.403381251671758e-08,5.85,-0.009498860966469166,0.009498935000281683,above_proxy_bound
shoulder_mean,overlay_only,2.0,1.5499478426283573e-07,8.2875,-0.0005936788104043229,0.0005938338051885857,above_proxy_bound
shoulder_mean,overlay_only,5.0,4.3535975231489197e-07,20.474999999999998,-1.5198177546350666e-05,1.563353729866556e-05,above_proxy_bound
shoulder_mean,overlay_only,10.0,1.0685194279577807e-06,40.4625,-9.498860966469166e-07,2.0184055246046974e-06,above_proxy_bound
shoulder_mean,overlay_only,20.0,3.4279567356233768e-06,80.4375,-5.936788104043229e-08,3.487324616663809e-06,above_proxy_bound
shoulder_mean,overlay_only,40.0,2.524888702799219e-05,160.3875,-3.710492565027018e-09,2.5252597520557214e-05,above_proxy_bound
matching_mean,geometry_only,0.5,-0.0006171065955568851,356.84999999999997,-0.15198177546350666,0.15136466886794978,above_proxy_bound
matching_mean,geometry_only,1.0,-0.0006075362151484158,356.84999999999997,-0.009498860966469166,0.008891324751320751,above_proxy_bound
matching_mean,geometry_only,2.0,-0.0005894832250341709,33.637499999999996,-0.0005936788104043229,4.195585370152005e-06,above_proxy_bound
matching_mean,geometry_only,5.0,-0.0005424673717676899,34.125,-1.5198177546350666e-05,-0.0005272691942213392,below_proxy_bound
matching_mean,geometry_only,10.0,-0.00046834573405850376,40.4625,-9.498860966469166e-07,-0.0004673958479618568,below_proxy_bound
matching_mean,geometry_only,20.0,-0.0002041569223548073,80.4375,-5.936788104043229e-08,-0.00020409755447376685,below_proxy_bound
matching_mean,geometry_only,40.0,-8.260517829510375e-05,160.3875,-3.710492565027018e-09,-8.260146780253872e-05,below_proxy_bound
matching_mean,total_with_overlay,0.5,-0.000617106595556885,356.84999999999997,-0.15198177546350666,0.15136466886794978,above_proxy_bound
matching_mean,total_with_overlay,1.0,-0.0006075362151484157,356.84999999999997,-0.009498860966469166,0.008891324751320751,above_proxy_bound
matching_mean,total_with_overlay,2.0,-0.0005894832250341707,33.637499999999996,-0.0005936788104043229,4.195585370152222e-06,above_proxy_bound
matching_mean,total_with_overlay,5.0,-0.0005424673717676896,34.125,-1.5198177546350666e-05,-0.0005272691942213389,below_proxy_bound
