observer_family,open_interval_negative_exposure,compensation_positive_exposure,overlay_positive_exposure,positive_to_negative_ratio,overlay_to_negative_ratio,negative_centroid_time,positive_centroid_time,centroid_delay,open_interval_duration,compensation_duration,source_interest_reading
core_line,0.08077432882240415,0.08746603213021695,0.08746605208551643,1.0828444309642553,1.0828446780142744,185.00000238999834,229.99993940374551,44.99993701374717,70.0,20.0,structured_post_closure_repayment_target; quantum-interest model still required
access_mean,0.0824484983759303,0.08731256777723151,0.08735951889674315,1.0589952454818772,1.0595647054530892,185.00039017213587,229.99998156553022,44.999591393394354,70.0,20.0,structured_post_closure_repayment_target; quantum-interest model still required
support_mean,0.07339698189895219,0.0769402930580408,0.07984492931777323,1.0482759790309326,1.0878503073559216,185.00378056231722,229.99999062792276,44.99621006560554,70.0,20.0,structured_post_closure_repayment_target; quantum-interest model still required
shoulder_mean,0.00759587188819009,0.008297181148997551,0.011036973968962657,1.0923276841855047,1.4530226590737096,185.02680290508744,229.9999172487671,44.97311434367967,70.0,20.0,structured_post_closure_repayment_target; quantum-interest model still required
