phase,zone,min_Tkk_geo,min_Tkk_total,max_Tkk_total,mean_Tkk_total,max_overlay,max_abs_flux_geo,max_abs_Kll,max_abs_Kth,min_N,min_R
B_setup,access,-0.000610938035777954,-0.000610938035777954,-1.0065724920238495e-09,-3.575514444013167e-05,0.0,1.8393909083476267e-06,0.028978246302069216,2.253059889931347e-05,1.0,1.0
B_setup,support,-0.042071885530179806,-0.042071885530179806,-1.0065724920238495e-09,-0.0023188904569294835,0.0,0.00012367443528388188,0.028978246302069216,0.00018459536452571757,1.0,1.0
B_setup,shoulder,-0.13084563653297204,-0.13084563653297204,0.03653992458558458,-0.002530156781011524,0.0,0.0012495211596262462,0.028974942171483973,0.00028006547484069294,1.0,1.1683621305347913
B_setup,matching,-0.0007809842140108587,-0.0007809842140108587,-1.1845048371518687e-05,-0.00023436530989734744,0.0,0.0002996280870252648,0.02837257445172333,1.5157766216375863e-15,1.0,4.621487206516967
R_open,access,-0.0022838043046890253,-0.0022838043046890253,-3.216132091893309e-07,-0.0011020635672336651,0.0,0.0008534805966369938,1.558175995881301e-11,0.01045423638057228,1.0,1.0
R_open,support,-0.006767485666087991,-0.006767485666087991,0.0018537448330048418,-0.0018217904234759082,0.0,0.0017022005177447128,1.558186407077112e-11,0.07821682757419017,1.0,1.0
R_open,shoulder,-0.008365134817873154,-0.008365134817873154,0.0044283668539159245,-0.0003999993016443762,0.0,0.0011656656060088063,1.558120298014892e-11,0.11313729237076008,1.0,1.1684684763506255
R_open,matching,-9.362493020702275e-05,-9.362493020702275e-05,-1.1961302296629572e-05,-3.5518816651102754e-05,0.0,3.3769092494088277e-14,1.5499068031123297e-11,6.789775496327679e-16,1.0,4.621487206516967
hold,access,-0.0012426826195344326,-0.0012426826195344326,-0.0010686633797616048,-0.001192998429604694,0.0,1.7886262214781398e-06,0.0,2.1908783149627665e-05,1.0,1.0
hold,support,-0.0012426826195344326,-0.0012426826195344326,-0.000206617308480343,-0.0009270688868938075,0.0,3.301131453462694e-06,0.0,0.0001497686548739336,1.0,1.0
hold,shoulder,-0.00019979569251883357,-0.00019979569251883357,0.00024986110776166037,-3.97708543839201e-05,0.0,2.305410407651635e-06,4.600953754372963e-16,0.00020702630477223102,1.0,1.5805619253923588
hold,matching,-9.362493015437007e-05,-9.362493015437007e-05,-1.1961302296629572e-05,-3.5518816649275216e-05,0.0,1.5000726412931038e-16,6.823998039275743e-16,6.789775496327679e-16,1.0,4.621487206516967
R_close,access,-0.0022843726465786255,-0.0022843726465786255,-2.489021744198072e-07,-0.0010991701186037677,0.0,0.0008530379668170901,0.0,0.010448814632513868,1.0,1.0
R_close,support,-0.0067717094846366024,-0.0067717094846366024,0.0018503558060704985,-0.001821050059810452,0.0,0.001702610445437531,0.0,0.07824271151757997,1.0,1.0
R_close,shoulder,-0.008356644178410248,-0.008356644178410248,0.0044229406500788295,-0.0004009938967389432,0.0,0.0011657101023765757,4.600953754372963e-16,0.11307530837109762,1.0,1.1684443579655612
R_close,matching,-9.362493015437007e-05,-9.362493015437007e-05,-1.1961302296629572e-05,-3.551881664927521e-05,0.0,1.5000726412931038e-16,6.823998039275743e-16,6.789775496327679e-16,1.0,4.621487206516967
comp,access,-5.452039571164611e-05,-5.431693933251734e-05,0.008199358380941065,0.004368222453554419,0.008199359387513544,1.4222318037644855e-06,1.5574213110734853e-11,1.7420838296828397e-05,0.999999997281043,1.0
comp,support,-0.0010087599333880694,-0.001008631609870394,0.008199358380941065,0.003840817922606802,0.008199359387513544,3.083658866933976e-06,1.5574416131487574e-11,0.0001427306061066786,0.9994877901149133,1.0
comp,shoulder,-0.002564694451923328,-0.0025646753683779703,0.0024576534734752973,0.00039471595722126744,0.001899851564912808,2.06225300621912e-06,1.5575565970589877e-11,0.0002165491074411701,0.8200140622714182,1.1683621305347913
comp,matching,-9.362493020700106e-05,-9.362493020700106e-05,-1.1961302117427034e-05,-3.55188166489372e-05,7.608840503720235e-14,3.367145655997514e-14,1.5492161343251177e-11,6.789775496327679e-16,0.9999999999927917,4.621487206516967
