case,tmin,tmax,Nt,min_a,max_a,mean_a,min_rho,max_rho,mean_rho,min_Gkp,min_Gkm,max_abs_tidal_angular,max_abs_theta_product,max_abs_adot_over_a,fraction_open_a_gt_0p9max,fraction_quasistatic_open,strict_tau0,strict_t0,strict_avg_rho,strict_L0max_planck_units,strict_log10_L0max
static_a1,-2.0,2.0,2001,1.0,1.0,1.0,-0.039788735772973836,-0.039788735772973836,-0.03978873577297383,-2.0,-2.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.47,-0.03978873577297385,0.4886025119029198,-0.311044304651217
sin_eps0.05_om1,-18.84955592153876,18.84955592153876,2001,0.95,1.05,1.0000249875062468,-0.04408724185371061,-0.03608955625666561,-0.0398866832374089,-2.3213296398891963,-2.3213296398891963,0.052631578947368404,0.010025062055213816,0.050059651393874735,1.0,1.0,1.0,-15.739379194484863,-0.04161226201020646,0.4777768505864781,-0.3207748966667389
sin_eps0.05_om5,-3.7699111843077517,3.7699111843077517,2001,0.95,1.05,1.0000249875062468,-0.044087241853710615,-0.03595367693075981,-0.03869137602847169,-4.847645429362881,-4.847645429362881,1.3157894736842104,0.2506265513803454,0.25029825696936187,1.0,0.2623688155922039,1.0,3.2044245066615886,-0.038787594914589205,0.4948679637814903,-0.3055106601578422
sin_eps0.05_om20,-0.9424777960769379,0.9424777960769379,2001,0.95,1.05,1.0000249875062468,-0.04408724185371062,0.0,-0.02001470088882792,-44.3213296398892,-44.3213296398892,21.052631578947366,4.010024822085526,1.0011930278774475,1.0,0.06446776611694154,1.0,-0.9424777960769379,-0.02000586065230179,0.6890601681206845,-0.16174285422893067
sin_eps0.1_om1,-18.84955592153876,18.84955592153876,2001,0.9,1.1,1.0000499750124936,-0.049121896016017075,-0.03288325270493705,-0.040189014044558526,-2.691358024691358,-2.691358024691358,0.11111111111111115,0.040404035009942524,0.10049782332784733,0.5312343828085957,0.5012493753123438,1.0,15.739379194484862,-0.04373483918905112,0.4660387175731539,-0.3315780014862171
sin_eps0.1_om5,-3.7699111843077517,3.7699111843077517,2001,0.9,1.1,1.0000499750124936,-0.04912189601601709,-0.02897246013535959,-0.035380659016748146,-8.024691358024691,-8.024691358024691,2.7777777777777777,1.010100875248563,0.5024891166391833,0.5312343828085957,0.07146426786606697,1.0,3.2044245066615886,-0.03555539775755801,0.5168719864158902,-0.2866170052180384
sin_eps0.1_om20,-0.9424777960769379,0.9424777960769379,2001,0.9,1.1,1.0000499750124936,-0.04912189601601772,0.12026820157367685,0.039749888292788936,-91.35802469135803,-91.35802469135803,44.44444444444444,16.161614003977007,2.009956466556733,0.5312343828085957,0.017491254372813594,0.01,0.7869689597242431,-0.019828925718447677,6921.276073529172,3.8401861725782904
sin_eps0.3_om1,-18.84955592153876,18.84955592153876,2001,0.7,1.3,1.0001499250374812,-0.08120150157749764,-0.023543630634895757,-0.043903713483728436,-4.938775510204083,-4.938775510204083,0.42857142857142855,0.39560022258122596,0.31446516968834953,0.30934532733633185,0.13943028485757122,1.0,-15.739379194484863,-0.056637454582333054,0.4095282844124041,-0.38771609795722084
sin_eps0.3_om5,-3.7699111843077517,3.7699111843077517,2001,0.7,1.3,1.0001499250374812,-0.08120150157749768,0.052353108798799786,0.0021818663704146783,-25.51020408163266,-25.51020408163266,10.714285714285715,9.89000556453065,1.572325848441609,0.30934532733633185,0.027486256871564217,0.2,3.1478758388969723,-0.01167716245328891,22.54795259521709,1.35310711308902
sin_eps0.3_om20,-0.9424777960769379,0.9424777960769379,2001,0.7,1.3,1.0001499250374812,-0.08120150157749725,1.5261425407978688,0.7222690515914009,-346.93877551020415,-346.93877551020415,171.42857142857144,158.2400890324904,6.289303393766436,0.30934532733633185,0.0074962518740629685,,,,,
sin_eps0.6_om1,-18.84955592153876,18.84955592153876,2001,0.4,1.6,1.0002998500749625,-0.2486795985810864,-0.0155424749113179,-0.06773909230464939,-15.499999999999998,-15.499999999999998,1.5,2.2499759844053084,0.7499515851964994,0.23738130934532733,0.08545727136431784,1.0,15.739379194484862,-0.1137920240430714,0.2889214955996513,-0.5392201456842555
sin_eps0.6_om5,-3.7699111843077517,3.7699111843077517,2001,0.4,1.6,1.0002998500749625,-0.24867959858108646,0.4680956617563344,0.17087401577915168,-87.49999999999999,-87.49999999999999,37.5,56.249399610132706,3.7497579259823133,0.23738130934532733,0.017491254372813594,0.05,3.1478758388969723,-0.01646383016418525,303.82976528972097,2.4826303181372102
sin_eps0.6_om20,-0.9424777960769379,0.9424777960769379,2001,0.4,1.6,1.0002998500749625,-0.24867959858108646,8.855609987444156,3.8992038295885436,-1212.4999999999998,-1212.4999999999998,600.0,899.9903937621233,14.999031703929253,0.23738130934532733,0.005497251374312844,,,,,
pulse_ac0.5_w0.5,-1.5,1.5,2001,0.5,0.9999546021312975,0.5832916874895885,-0.15915494309189535,1.7945363679574229,-0.05298146054040577,-262.25311938528614,-262.25311938528614,128.29461022603397,188.33385946185092,6.859836718881389,0.14342828585707146,0.07846076961519241,1.0,-1.5,-0.07810297989494862,0.3487401608310152,-0.45749803649849075
pulse_ac0.5_w0.1,-1.0,1.0,2001,0.5,0.9999546021312975,0.5249875062468765,-0.15915494309189535,46.704946176931344,0.4792824090205297,-6410.835362516019,-6410.835362516019,3202.6297652150442,4703.441288023195,34.190203612686126,0.043478260869565216,0.015492253873063468,0.1,-0.9,-0.09086532725959964,32.33230507415722,1.509636667967599
pulse_ac0.5_w0.02,-1.0,1.0,2001,0.5,0.9999546021312975,0.5049975012493753,-0.15915494309189535,1105.171909642765,3.0014498432370287,-143207.39739848164,-143207.39739848164,71601.2145548034,111111.10958433106,154.0390510168222,0.00849575212393803,0.0014992503748125937,0.05,-0.92,-0.013416444065932615,336.5712724419685,2.5270770446393254
pulse_ac0.1_w0.5,-1.5,1.5,2001,0.1,0.9999182838363356,0.24992503748125938,-3.978873577297383,16.78696935361856,-2.254370950237103,-1157.553165873093,-1157.553165873093,555.8598771511386,1727.1449149573432,20.77834044543619,0.13243378310844578,0.06846576711644178,1.0,-1.5,-2.6632513514848823,0.05972135977495942,-1.223870312533775
pulse_ac0.1_w0.1,-1.0,1.0,2001,0.1,0.9999182838363356,0.14497751124437785,-3.978873577297383,428.72722525318835,2.755937920543284,-27821.66904097869,-27821.66904097869,13887.5603516175,43142.43768594389,103.80640451013232,0.03948025987006497,0.01249375312343828,0.2,0.905,-2.31915019168002,1.5999681471402365,0.2041113366190941
pulse_ac0.1_w0.02,-1.0,1.0,2001,0.1,0.9999182838363356,0.10899550224887554,-3.978873577297383,10648.262624043085,28.45538814132591,-694424.5659186176,-694424.5659186176,347189.00879043696,1070514.3053655035,500.97952836871394,0.0074962518740629685,0.0004997501249375312,0.1,0.9000000000000001,-0.5415100502331768,13.244406593741338,1.1220325048124191
pulse_ac0.02_w0.5,-1.5,1.5,2001,0.02,0.9999110201773432,0.18325170747959355,-99.47183943243459,34.25439829059229,-72.63988737297086,-5000.0,-5000.0,990.9307017741903,3620.9620828730035,30.093365387989145,0.13043478260869565,0.06746626686656672,1.0,-1.5,-79.07770436617034,0.010959954189884557,-1.960191261100001
pulse_ac0.02_w0.1,-1.0,1.0,2001,0.02,0.9999110201773432,0.06897551224387811,-99.47183943243459,898.0057537723848,-75.60356104233948,-49806.23978508004,-49806.23978508004,24773.267544354738,90491.0669728154,150.77805485833466,0.03948025987006497,0.01249375312343828,1.0,-1.0,-77.8694378557201,0.01104465732224301,-1.9568477542486478
pulse_ac0.02_w0.02,-1.0,1.0,2001,0.02,0.9999110201773432,0.02979510244877558,-99.47183943243459,22501.15667534734,-15.604736158209558,-1206088.461657602,-1206088.461657602,602817.9475155114,2262276.674320383,793.3308000698568,0.0074962518740629685,0.0004997501249375312,1.0,-1.0,-23.677982171313435,0.02002919159302984,-1.6983365791023979
