t,a,rho,Gtt,Gkp,Gkm,theta_product,tidal_ang,adot_over_a
-2.0,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.998,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.996,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.994,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.992,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.99,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.988,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.986,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.984,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.982,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.98,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.978,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.976,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.974,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.972,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.97,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.968,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.966,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.964,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.962,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.96,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.958,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.956,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.954,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.952,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.95,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.948,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.946,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.944,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.942,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.94,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.938,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.936,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.934,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.932,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
-1.93,1.0,-0.039788735772973836,-1.0,-2.0,-2.0,0.0,-0.0,0.0
