tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-18.84955592153876,-0.03609182456346026,128254.12891292121
0.002,-18.755308141931064,-0.03610536553594054,128230.07641453638
0.002,-18.661060362323372,-0.03614880588201602,128153.00563370853
0.002,-18.566812582715677,-0.03622090966799911,128025.38708190506
0.002,-18.472564803107982,-0.03632141313062205,127848.13753594467
0.002,-18.37831702350029,-0.03644992737218997,127622.55664189515
0.002,-18.284069243892596,-0.03660593188095422,127350.31999913332
0.002,-18.1898214642849,-0.03678876348220679,127033.4751064958
0.002,-18.09557368467721,-0.03699760269062433,126674.43678852168
0.002,-18.001325905069514,-0.03723145831630778,126275.98081887762
0.002,-17.907078125461823,-0.037489151014452694,125841.23490784275
0.002,-17.812830345854128,-0.037769296498018336,125373.6663748597
0.002,-17.718582566246432,-0.038070289213438406,124877.06592957949
0.002,-17.62433478663874,-0.038390287372698284,124355.5270935581
0.002,-17.530087007031046,-0.038727200324084596,123813.42092422406
0.002,-17.43583922742335,-0.03907867931665906,123255.36585366399
0.002,-17.34159144781566,-0.03944211275887626,122686.19262235235
0.002,-17.247343668207964,-0.03981462707850476,122110.90446464585
0.002,-17.15309588860027,-0.04019309424802749,121534.63287980644
0.002,-17.058848108992578,-0.04057414693678959,120962.58949036505
0.002,-16.964600329384883,-0.04095420208017547,120400.01464014374
0.002,-16.870352549777188,-0.041329493412208186,119852.12350982438
0.002,-16.776104770169496,-0.04169611319103373,119324.05062304407
0.002,-16.6818569905618,-0.04205006296259189,118820.79367726088
0.002,-16.587609210954106,-0.04238731276901549,118347.15766014569
0.002,-16.493361431346415,-0.0427038677347995,117907.70020540096
0.002,-16.39911365173872,-0.042995840482206595,117506.67910514901
0.002,-16.304865872131025,-0.043259527369981586,117148.00283439226
0.002,-16.210618092523333,-0.043491486151852755,116835.18486258085
0.002,-16.116370312915638,-0.043688612349509666,116571.30243442119
0.002,-16.022122533307943,-0.04384821146154101,116358.96040286387
0.002,-15.927874753700252,-0.04396806411095125,116200.26059704954
0.002,-15.833626974092557,-0.04404648138458934,116096.77711097503
0.002,-15.739379194484863,-0.04408234794014449,116049.53780739233
0.002,-15.64513141487717,-0.044075150937691446,116059.01224704956
0.002,-15.550883635269475,-0.04402499346609639,116125.10617542556
0.002,-15.456635855661782,-0.04393259184040372,116247.16262599971
0.002,-15.362388076054089,-0.04379925689610621,116423.96962835909
0.002,-15.268140296446395,-0.04362686014707813,116653.77443822678
0.002,-15.173892516838702,-0.043417786353951174,116934.30413199302
0.002,-15.079644737231007,-0.0431748746228392,117262.79232833981
0.002,-14.985396957623314,-0.04290135058492459,117636.01171281365
0.002,-14.89114917801562,-0.04260075247316069,118050.31194781027
0.002,-14.796901398407925,-0.04227685400557304,118501.66245197254
0.002,-14.702653618800232,-0.04193358691201539,118985.69943260515
0.002,-14.608405839192539,-0.04157496572184918,119497.77645693668
0.002,-14.514158059584844,-0.041205017092389495,120033.01775855458
0.002,-14.41991027997715,-0.04082771553636643,120586.37340039999
