tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-0.9424777960769379,-0.02759100026251673,146687.14351683864
0.002,-0.9377654070965532,-0.0279242976922671,145809.10512050678
0.002,-0.9330530181161686,-0.024508387151296062,155638.99153150088
0.002,-0.9283406291357839,-0.019050627364657142,176531.06166480258
0.002,-0.9236282401553991,-0.011751482484941697,224765.39372320395
0.002,-0.9189158511750145,-0.0028057051089279,459996.7493738721
0.002,-0.9142034621946298,0.007547255408142484,inf
0.002,-0.9094910732142452,0.01902232085892579,inf
0.002,-0.9047786842338604,0.031293648705320413,inf
0.002,-0.9000662952534757,0.04400134315174141,inf
0.002,-0.8953539062730911,0.05675950456067313,inf
0.002,-0.8906415172927064,0.06916557342145552,inf
0.002,-0.8859291283123216,0.08081096454563788,inf
0.002,-0.881216739331937,0.0912929361097817,inf
0.002,-0.8765043503515523,0.10022755397789443,inf
0.002,-0.8717919613711675,0.10726350664906961,inf
0.002,-0.8670795723907829,0.11209640536041598,inf
0.002,-0.8623671834103982,0.11448307331578111,inf
0.002,-0.8576547944300135,0.11425519655042564,inf
0.002,-0.8529424054496288,0.11133158882004067,inf
0.002,-0.8482300164692441,0.10572822956432584,inf
0.002,-0.8435176274888594,0.09756518521089598,inf
0.002,-0.8388052385084748,0.08706953831338808,inf
0.002,-0.83409284952809,0.07457354297807477,inf
0.002,-0.8293804605477054,0.06050741063697267,inf
0.002,-0.8246680715673207,0.04538641118587553,inf
0.002,-0.819955682586936,0.02979234319356151,inf
0.002,-0.8152432936065513,0.014349862156595663,inf
0.002,-0.8105309046261666,-0.0003013774631674729,1403525.7591549184
0.002,-0.805818515645782,-0.013537359467287024,209415.48577844893
0.002,-0.8011061266653973,-0.024781334116532494,154779.49758495545
0.002,-0.7963937376850125,-0.033534391987161564,133054.80288140866
0.002,-0.7916813487046279,-0.03940285150428052,122747.30005977655
0.002,-0.7869689597242432,-0.04212044067014243,118721.48523049957
0.002,-0.7822565707438585,-0.04156357003097777,119514.15698430709
0.002,-0.7775441817634738,-0.03775849198408065,125391.60279875206
0.002,-0.7728317927830891,-0.030879772600772442,138656.0191758749
0.002,-0.7681194038027044,-0.02124019782319032,167184.68664723105
0.002,-0.7634070148223198,-0.00927291788987338,253027.40826553525
0.002,-0.758694625841935,0.004492774043026033,inf
0.002,-0.7539822368615503,0.019460193436812517,inf
0.002,-0.7492698478811657,0.034996463200246686,inf
0.002,-0.744557458900781,0.05046403520238105,inf
0.002,-0.7398450699203962,0.06525055987200482,inf
0.002,-0.7351326809400116,0.07879543539719494,inf
0.002,-0.7304202919596269,0.09061178028068982,inf
0.002,-0.7257079029792421,0.10030303598904988,inf
0.002,-0.7209955139988575,0.10757386760078282,inf
0.002,-0.7162831250184728,0.11223544635240096,inf
0.002,-0.7115707360380881,0.11420553839870785,inf
0.002,-0.7068583470577035,0.1135040725993991,inf
0.002,-0.7021459580773187,0.11024501332227814,inf
0.002,-0.6974335690969341,0.10462542906892351,inf
0.002,-0.6927211801165494,0.09691263817932218,inf
0.002,-0.6880087911361648,0.08743024666706352,inf
0.002,-0.68329640215578,0.07654378892379723,inf
0.002,-0.6785840131753953,0.0646465568393489,inf
0.002,-0.6738716241950107,0.052146071358998326,inf
0.002,-0.669159235214626,0.039451523858973575,inf
0.002,-0.6644468462342412,0.02696240077211846,inf
0.002,-0.6597344572538566,0.015058408344869637,inf
0.002,-0.6550220682734719,0.004090737390847706,inf
0.002,-0.6503096792930871,-0.005625349395964439,324863.5779130923
0.002,-0.6455972903127025,-0.013816663777646142,207288.00868201273
0.002,-0.6408849013323178,-0.020257050435888477,171193.6570575138
0.002,-0.6361725123519331,-0.0247712442627923,154811.0168635145
0.002,-0.6314601233715484,-0.02723770994967098,147635.39106123478
0.002,-0.6267477343911637,-0.027590535201750234,146688.3797767994
0.002,-0.622035345410779,-0.02582043023566571,151633.10807436053
0.002,-0.6173229564303944,-0.021974863222668704,164366.2640037385
0.002,-0.6126105674500096,-0.01615733607442672,191686.2207300646
0.002,-0.6078981784696249,-0.008525779388155411,263881.369190537
0.002,-0.6031857894892403,0.0007099785828790833,inf
0.002,-0.5984734005088556,0.011291734377781252,inf
0.002,-0.5937610115284708,0.022917503163037492,inf
0.002,-0.5890486225480862,0.035247270336244106,inf
0.002,-0.5843362335677016,0.04790998309638086,inf
0.002,-0.5796238445873167,0.06051184681026396,inf
0.002,-0.5749114556069321,0.0726459579304673,inf
0.002,-0.5701990666265475,0.08390325423924827,inf
0.002,-0.5654866776461628,0.09388469280096286,inf
0.002,-0.560774288665778,0.1022144758776901,inf
