V,configs,clean,timelike_fail,gtt_fail,median_tidal,worst_tidal,median_nec,worst_nec,worst_norm,worst_vrel
1.5,72,65,0,0,241.1180908810315,2122.2568915870984,537.946202637129,6086.676175128025,-0.17325026490071038,0.9195239517239117
2.0,72,56,0,0,303.09639586666844,2655.168019828319,496.29046989896835,6032.81368547955,-0.1690859927118522,0.9314496855675293
3.0,72,62,0,0,306.1315605928876,1751.4825373029253,599.5041889524815,5116.122749158161,-0.1585041148486731,0.9212212696002587
5.0,72,54,0,0,354.0669494268103,3201.0395017680135,664.1875508738766,5204.6415392249055,-0.3074817714415191,0.8430628131329798
10.0,72,51,0,0,437.4159868635995,3748.557222563555,501.8175725296346,5732.6403795772,-0.35997688138671813,0.8000150229185005
