V,lambda,lambda_over_V,clean_timelike,clean_gtt,all_reduced_checks_clean,timelike_fail_points,max_worldline_norm,max_abs_v_rel,max_abs_tidal_radial_pass,max_abs_tidal_angular_pass,min_rho_world,max_abs_j_l_adm,max_abs_p_th_adm,max_neg_nec_sum,post_A_departure,post_T_departure,post_gtt_departure
1.5,1.7999999999999998,1.2,True,True,True,0,-0.7498782197006999,0.5014391341651457,234.14608565332583,155.42061476392334,-535.6730376256115,3.1928835930116093,586.2441694733636,373.8506659729137,0.0,0.0,0.0
2.0,2.4,1.2,True,True,True,0,-0.7499992314159978,0.5000218162886689,303.1646275606499,61.10011940392981,-635.8736600615688,14.06232718410095,629.8143720823207,602.329700403906,0.0,0.0,0.0
3.0,3.5999999999999996,1.2,True,True,True,0,-0.749999999999999,0.5000000000000223,214.71103439383683,200.96913966458578,-422.4149740392065,9.625486725797469,515.1804508976401,554.3352490628731,0.0,0.0,0.0
5.0,6.0,1.2,True,True,True,0,-0.75,0.5,355.95901476314134,197.97349081507537,-534.2937338612142,4.1299794186768155,751.3532100888827,434.5355886579938,0.0,0.0,0.0
10.0,12.0,1.2,True,True,True,0,-0.75,0.5,414.9951758673435,231.53522202993955,-504.9736186170952,3.496229886280602,827.1444026442857,464.2876272289625,0.0,0.0,0.0
