V,C0,Delta,v_exit,L_catch_design,w_catch_L_design,Nt,Nl,gtt_positive_points,max_gtt,min_margin,theta_product_max,maxabs_R,maxabs_Kretsch,maxabs_tidal_radial_adm,maxabs_tidal_angular_adm,min_rho_adm,max_abs_j_l_adm,mean_throat_burden_share,min_throat_burden_share,mean_passenger_region_burden_share,max_passenger_region_burden_share,mean_neg_rho_throat_share,min_neg_rho_throat_share,mean_neg_nec_throat_share,min_neg_nec_throat_share
2.0,100.0,0.3,0.5,0.65,0.25,21,91,0,-1.0,1.0,2.795034433029026,2351.106019091346,1119073.4114571053,351.9092758932868,173.43329843558473,-578.1937887501293,26.778502821200494,0.9636588484784229,0.8862199349080369,0.19172776108448972,0.5099640185797779,0.9606853994466776,0.8856623050818517,0.9560202964619926,0.8864254319490155
5.0,100.0,0.3,0.5,0.65,0.25,21,91,0,-1.0,1.0,2.2666440592862522,3019.6606717257973,2152442.3597329897,597.0066042721988,202.42948124303848,-577.3501798454963,53.86242494030637,0.9620943286699324,0.8862345562162862,0.19571563174362194,0.5396994584641356,0.9584344373285079,0.8857150300704013,0.9532861583580367,0.8864284405048527
10.0,100.0,0.3,0.5,0.65,0.25,21,91,0,-1.0,1.0,1.8694301763015508,4571.097241694069,6662597.6664230265,1184.4780209998817,262.99183552106024,-576.3134369510425,96.78037156801803,0.9617498542508832,0.8862457256651974,0.19581828369314508,0.608282552792987,0.9576140082995709,0.8857314122380978,0.952031955822319,0.8864307162859166
