V,C0,Delta,v_exit,L_catch_design,w_catch_L_design,max_abs_tidal_radial_pass,max_abs_tidal_angular_pass,min_rho_world,max_abs_p_th_adm,max_abs_j_l_adm,max_abs_v_rel,max_neg_nec_sum
1.5,100.0,0.1,0.3,0.65,0.4,69.11907739332811,73.63268747801526,-136.73189712838663,130.535499250795,25.292819996352417,0.3244587650692252,245.6861966697561
2.0,100.0,0.1,0.5,0.65,0.4,35.85844498701605,201.61240712414872,-87.51383248121452,176.79592478238783,74.20142759235988,0.5554951161838362,121.87423244225786
3.0,100.0,0.1,0.5,0.44999999999999996,0.25,93.76498675242223,308.3088453572254,-194.89896740584928,374.8898342250953,68.64469796621042,0.5000000002985316,293.2175630498937
5.0,10000.0,0.1,0.8,0.44999999999999996,0.25,97.41411630388032,159.18493475661163,-450.4498077958596,195.37135126922644,32.85717851170622,0.8000000000245886,325.7315364481723
10.0,10000.0,0.1,0.8,0.44999999999999996,0.15,112.01281089843377,275.7380593959931,-453.5097586497531,392.0224509584733,44.338776231910124,0.8,328.37086011128196
