V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode,variant,timelike,spacelike_points,max_ds2_dt2,min_margin,final_x,lag_final,maxabs_rho_src,min_rho_src,maxabs_j_l,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,max_E,min_E,max_q,min_q
1.01,1.1615,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_stop,True,0,-1.0025766648650258,1.0000405130966632,0.7133515110350983,1.7866484889649017,70.95049506539914,-0.0001015947673266815,8.836617883888449,-0.7173547420595306,1.0138066460313593,0.14559275957263715,7.629719755341725e-05,38.0469448883162,6.126635256841155,99.90597546492138,1.0012469399856896,0.9999996936823392,0.8069205181072331,0.999088948800398,0.0,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_stop,True,0,-1.00319415336147,1.0000502066921948,0.3706121852197913,2.1293878147802086,8.19309729569161,-0.7704145964834024,0.02930589425668379,-7.08625164899498,14.171370238202883,8.157747136089315,0.4631188134436378,4.368714430821702,4.367759751649962,99.9061553526993,1.0015455190989142,0.9999996936477364,0.9766454835230232,0.999088948800398,0.0,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_stop,True,0,-1.0000003688835648,1.0000000058073346,-0.9499602566017393,3.4499602566017393,2.896707727595319,-2.896707727595319,0.07767110775279092,-3.2264564504498345,6.4521718509862325,14.624988295204373,6.262270883613868,1.4435484652866053,0.013680405909716895,1.0005327721598243,1.0000001786344297,0.00011567006114665546,0.00011543740641112299,0.999088948800398,0.0,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_stop,True,0,-1.002121316463436,1.0000333610797767,0.7327186716265002,1.0872813283735,80.41389862966942,-0.014820268443922946,30.17632408262505,-26.220932788470105,26.220932788470105,5.564275804339483,0.00024352371739711748,48.11952456273664,20.798550210269234,99.99935626846398,1.0010267009979732,0.9999996932970829,0.6644724362661437,0.999088948800398,0.0,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_stop,True,0,-1.0031941262640125,1.000050206266936,0.3968423297057863,1.4231576702942137,31.486730981694844,-0.7431656739579526,0.0010231371800931898,-23.87194302848247,47.73979350824456,11.81531281221902,0.18720426930139733,16.499666375408196,16.49790682349399,99.99935583767126,1.0015455059983456,0.9999996934723656,0.9997596882871811,0.999088948800398,0.0,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_stop,True,0,-1.0031941902391057,1.0000502072709399,0.09723739581027915,1.7227626041897208,31.436382381072054,-0.977430497270616,0.0001559051566503679,-24.156279806530982,48.312540254601885,12.251067264991354,0.258192086320722,16.49799301437644,16.49798753239514,99.99934386868992,1.001545536927819,0.9999996940675397,0.9997596882871811,0.999088948800398,0.0,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_stop,True,0,-1.0030533588375876,1.000047996957186,0.7238955440630045,1.7761044559369954,206.82905384742426,-0.00010160970107009364,6.208527343315163,-0.0006659477839726718,0.0006659477839726718,0.00047464484232838714,8.20919746479039e-05,107.305237454405,3.483094152565028,99.95075071719046,1.0014774479493438,1.0,0.9559769020803726,0.9999999992417439,0.0,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_stop,True,0,-1.003194191498429,1.0000502072907034,0.3747137635608975,2.1252862364391025,8.192198046705352,-0.7663051226389496,0.0001625014455289235,-7.081961061735215,14.163922123469789,8.144436742968663,0.46049009620303216,4.367756628465477,4.36775662846396,99.97471407747759,1.001545537536653,1.0,0.9999863259909154,0.9999999992417439,0.0,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.35,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_stop,True,0,-1.0000000000000049,1.0,-0.9499999999994662,3.4499999999994664,0.27628110029919245,-0.27628110029919245,3.1030341180838716e-09,-0.5525618797302773,1.1051237594576246,3.7749267914376867,0.9437320234629206,1.7268345394840991e-07,5.762056807310215e-10,1.000000000007087,1.0000000000000024,1.5389356455841607e-12,1.5386580898280044e-12,0.9999999992417439,0.0,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_stop,True,0,-1.002152949688321,1.0000338580364578,0.7439084351956725,1.0760915648043277,521.1380776311735,-9.997629117714853e-05,89.26622668346573,-0.0006983550403426909,0.000701403662283635,0.0005976915670596645,9.091958678497929e-05,322.1475325534864,203.16708015140074,99.99999123459745,1.0010420027513607,1.0,0.674370450025252,0.9999999992417441,0.0,0.9999990707516636,6.866227321766782e-06,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.40000000000000013,1.1,0.7,shift_first,blend_EWS_stop,True,0,-1.003194191498429,1.0000502072907034,0.39810513834996597,1.421894861650034,31.483825883362627,-0.7419089668936676,0.00017210148957780765,-23.871489946557418,47.742979893109236,11.81445591279264,0.1869041359042422,16.49798959458728,16.497989594580485,99.99999123459745,1.001545537536653,1.0,0.999999999986112,0.999999999241744,0.0,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304664275
1.01,1.1615,100.0,0.1,0.18,0.10000000000000009,1.1,1.0,shift_first,blend_EWS_stop,True,0,-1.003194191498429,1.0000502072907034,0.09821776508881176,1.7217822349111882,31.436451270080152,-0.9770592803153373,0.00015613314618610798,-24.15583137995915,48.3116627599183,12.250403849032383,0.25808401340346576,16.4979895945805,16.497989594580492,99.99999123459745,1.001545537536653,1.0,0.999999999986112,0.9999999992417439,0.0,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304664275
1.01,1.1615,10000.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,blend_EWS_stop,True,0,-1.0050785295949847,1.0000405130966632,0.7133515110350983,1.7866484889649017,72.00159474026684,-1.0188506161480446e-08,9.285768547901597,-0.5556946479882237,0.5556946479882237,0.056007245563747254,6.498158248322336e-09,38.74882540253472,4.923366268839498,9981.203933597473,1.0024954348307074,0.9999996936823392,0.8069205181072331,0.999088948800398,0.0,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
