variant,cases,timelike_cases,spacelike_cases,worst_margin,worst_max_ds2,worst_rho,max_abs_rho,worst_nec,max_neg_nec,max_tidal_r,max_tidal_a,med_int_neg_nec,max_int_neg_nec,median_final_x,median_lag
blend_EWS_stop,120,120,0,1.0,-1.0000000000000049,-5.961211240420296,593.5233687605079,-146.04544252289304,192.01745783241168,382.00968197233806,229.44757635215663,9.317566528998118,25.439068384615982,0.3857780466333418,1.749433530063358
blend_EWS_v05,120,120,0,0.5,-0.75,-5749.305144855824,5749.305144855824,-3335.118928129797,6320.120387017427,2602.006311793471,1783.9541953859396,70.1076495529868,307.3774263847756,1.059715870260086,1.064481656810597
blend_EWS_v09,120,120,0,0.0999999999999999,-0.1899999999999999,-5772.17176622723,5772.17176622723,-3410.8395759342857,6209.596722900511,2552.637050055509,1628.4249989975344,79.45335742701064,402.23674273101255,1.5881024696714814,0.48098645848962424
blend_EW_v05,120,120,0,0.3205388954451023,-0.75,-5749.305191724312,5749.305191724312,-3335.118928465636,6320.120386790991,2639.0927282634,1704.0349379455076,70.1158016036347,311.10001322063863,1.0640999691433943,1.06364564891095
clip_eta09,120,120,0,0.0999999999999999,-0.1899999999999999,-5863.55116583224,5863.55116583224,-3412.555701678587,6223.687060267281,2696.7042963909103,1724.6199931924575,84.9520369605203,310.45138456563745,1.6692419476670113,0.380954379996882
fixed_V_baseline,120,0,120,-1.0,288242.75241663493,-5570.978914505527,5570.978914505527,-3374.189487369792,6176.765714120156,2661.2078534906464,1721.7384336712364,45.11176913731532,424.6409875895641,2.1599999999999997,0.0
