label,scenario,V,lambda_factor,X,r_mode,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,packet_tkk_floor_min,packet_tkk_floor_mean,packet_tkk_floor_p05,packet_neg_fraction,packet_neg_volume_proxy,packet_rho_p95_abs,packet_j_p95_abs,packet_R3_p95_abs,packet_K_p95_abs,packet_gtt_max,packet_packet_norm_max,support_edge_tkk_floor_min,support_edge_tkk_floor_mean,support_edge_tkk_floor_p05,support_edge_neg_fraction,support_edge_neg_volume_proxy,support_edge_rho_p95_abs,support_edge_j_p95_abs,support_edge_R3_p95_abs,support_edge_K_p95_abs,support_edge_gtt_max,support_edge_packet_norm_max,service_union_tkk_floor_min,service_union_tkk_floor_mean,service_union_tkk_floor_p05,service_union_neg_fraction,service_union_neg_volume_proxy,service_union_rho_p95_abs,service_union_j_p95_abs,service_union_R3_p95_abs,service_union_K_p95_abs,service_union_gtt_max,service_union_packet_norm_max,release_edge_tkk_floor_min,release_edge_tkk_floor_mean,release_edge_tkk_floor_p05,release_edge_neg_fraction,release_edge_neg_volume_proxy,release_edge_rho_p95_abs,release_edge_j_p95_abs,release_edge_R3_p95_abs,release_edge_K_p95_abs,release_edge_gtt_max,release_edge_packet_norm_max
v01_geometry_baseline,V5_lam575,5.0,5.75,-0.15,always_open,0.5305103873593333,0.999911580829981,0.997697440126013,-311605.5402908325,0,-151448.73066374598,-16506.575705014733,0,,0.3152774381808685,8.780154613564845e-08,0.21180325284493914,2.010372990668454e-07,15.847572565953055,0.0032171549116314447,-0.3198176102300938,0.019452490052832488,-0.31527757021273034,0.11764705882352941,0.03521228643182923,0.3152774381808685,8.780154613564845e-08,15.847572565953055,0.0032171549116314447,-151448.73066374598,-311605.5402908325,-0.21180365491954004,0.012513776955445992,-0.2118036549195373,0.11764705882352941,0.02491805353868932,0.21180325284493914,2.010372990668454e-07,10.646392690268959,0.0014434396916934258,-16506.575705014733,4013.944573003104,-0.3198176102300938,0.019452490052832488,-0.31527757021273034,0.11764705882352941,0.03521228643182923,0.3152774381808685,8.780154613564845e-08,15.847572565953055,0.0032171549116314447,-151448.73066374598,-311605.5402908325,,,,,,,,,,,
v01_geometry_baseline,V5_lam575,5.0,5.75,-0.05,always_open,0.45061064904089854,0.999827797402881,0.9953077643977377,-325420.2703527078,0,-201640.3154017261,-16493.149175817623,0,,0.3152774386044842,7.640327224674527e-08,0.2118032724401926,1.9819307575125207e-09,15.847572570649891,0.002728028340694705,-0.31981758752892947,0.019912544210285377,-0.31527758301344444,0.11764705882352941,0.03604502151987475,0.3152774386044842,7.640327224674527e-08,15.847572570649891,0.002728028340694705,-201640.3154017261,-325420.2703527078,-0.21180327640405425,0.012513956202430525,-0.2118032764040515,0.11764705882352941,0.02491803245080874,0.2118032724401926,1.9819307575125207e-09,10.646393675270184,1.4178316778441205e-05,-16493.149175817623,-1697.0454382323987,-0.31981758752892947,0.019912544210285377,-0.31527758301344444,0.11764705882352941,0.03604502151987475,0.3152774386044842,7.640327224674527e-08,15.847572570649891,0.002728028340694705,-201640.3154017261,-325420.2703527078,,,,,,,,,,,
v01_geometry_baseline,V5_lam575,5.0,5.75,0.05,always_open,0.34375000259875,0.9996646498695335,0.9904617115004255,-326485.76515840506,0,-255412.95776324125,-16467.03565617713,0,,0.315277438933195,5.810453709410395e-08,0.21180331059950885,3.3813404239559876e-09,15.847572579806155,0.0020824200689748577,-0.3198175511174065,0.01991257953596238,-0.3152775480153253,0.11764705882352941,0.03604501736391273,0.315277438933195,5.810453709410395e-08,15.847572579806155,0.0020824200689748577,-255412.95776324125,-326485.76515840506,-0.2118033173621897,0.01251391510692124,-0.21180331736218688,0.11764705882352941,0.02491803728557452,0.21180331059950885,3.3813404239559876e-09,10.646395593366627,2.418516412530062e-05,-16467.03565617713,-7866.3879583256,-0.3198175511174065,0.01991257953596238,-0.3152775480153253,0.11764705882352941,0.03604501736391273,0.315277438933195,5.810453709410395e-08,15.847572579806155,0.0020824200689748577,-255412.95776324125,-326485.76515840506,,,,,,,,,,,
v01_geometry_baseline,V5_lam575,5.0,5.75,0.15,always_open,0.23688937478178904,0.9993470346624473,0.9807077572756677,-323451.67237237276,0,-293621.8154595766,-16416.316458122456,0,,0.31527743929421276,3.884619791020766e-08,0.21180338489186767,9.304237717068774e-08,15.84757259767111,0.0014265809107945457,-0.319817512826466,0.019452580120894666,-0.3152774907318511,0.11764705882352941,0.03521227583558661,0.31527743929421276,3.884619791020766e-08,15.84757259767111,0.0014265809107945457,-293621.8154595766,-323451.67237237276,-0.2118035709766247,0.012513750136525134,-0.211803570976622,0.11764705882352941,0.024918056693856466,0.21180338489186767,9.304237717068774e-08,10.646399327700603,0.0006666129241778374,-16416.316458122456,-12340.956444095029,-0.319817512826466,0.019452580120894666,-0.3152774907318511,0.11764705882352941,0.03521227583558661,0.31527743929421276,3.884619791020766e-08,15.84757259767111,0.0014265809107945457,-293621.8154595766,-323451.67237237276,,,,,,,,,,,
v01_geometry_baseline,V5_lam575,5.0,5.75,0.25,always_open,0.1569897193658375,0.9987289837369187,0.9613683488409502,-324689.0863340343,0,-310890.24655136396,-16318.066249015732,0,,0.30239923681394937,2.510950223494756e-08,0.2118035305838021,2.8332226297651067e-06,15.20024353796785,0.0007527210682908618,-0.31981746998201205,0.019244973533853207,-0.3023992841526328,0.11764705882352941,0.034836434304875444,0.30239923681394937,2.510950223494756e-08,15.20024353796785,0.0007527210682908618,-310890.24655136396,-324689.0863340343,-0.21180919702906448,0.012510863647414572,-0.21180919702906165,0.11764705882352941,0.024918396280810624,0.2118035305838021,2.8332226297651067e-06,10.646406595096524,0.020300470453096475,-16318.066249015732,-14535.985781157795,-0.31981746998201205,0.019244973533853207,-0.3023992841526328,0.11764705882352941,0.034836434304875444,0.30239923681394937,2.510950223494756e-08,15.20024353796785,0.0007527210682908618,-310890.24655136396,-324689.0863340343,,,,,,,,,,,
v01_geometry_baseline,V5_lam575,5.0,5.75,0.35,always_open,0.10928479164912197,0.9975273768433652,0.9241418199787563,-302540.1560697248,0,-297104.3336198754,-16120.812490290731,0,-15429.247414280771,0.3023992381314991,1.0621186116963044e-07,0.21180388862967078,3.109671083698146e-06,15.200243602435407,0.0007124613506189798,-0.3198174548051636,0.018584559992134986,-0.3023992703170409,0.11764705882352941,0.033641363875967036,0.3023992381314991,1.0621186116963044e-07,15.200243602435407,0.0007124613506189798,-297104.3336198754,-302540.1560697248,-0.21181010797184094,0.012510265722187483,-0.2118101079718382,0.11764705882352941,0.024918466624954977,0.21180388862967078,3.109671083698146e-06,10.646420726978558,0.02491672814622669,-16120.812490290731,-15272.424976403296,-0.3198174548051636,0.017716354859325014,-0.28794321151716273,0.11764705882352941,0.03239528849825476,0.28794318169597066,3.109671083697968e-06,14.473602951149374,0.02491672814622669,-16120.812490290731,-15429.247414280771,-0.21181010797184094,0.012507124062465215,-0.21181010797183997,0.11764705882352941,0.02491883623198112,0.21180388862967256,3.1096710836982036e-06,10.64642072697851,0.02491672814622669,-16120.812490290731,-15429.247414280771
v01_geometry_baseline,V5_lam575,5.0,5.75,0.45,always_open,0.08453104460683503,0.9951952471128405,0.8564010312515399,-15503.278829449926,0,-15729.15161594486,-15729.15161594486,0,-15503.278829449926,0.2831244985676333,1.425194473906846e-06,0.21180447140242914,1.4251944739071192e-06,14.231389516565468,0.016265210454051104,-0.31527745641809496,0.017205180130382247,-0.2831245205851193,0.11764705882352941,0.031523525171730356,0.2831244985676333,1.425194473906846e-06,14.231389516565468,0.016265210454051104,-15729.15161594486,-15503.278829449926,-0.21180732179137962,0.012511382169040507,-0.21180732179137696,0.11764705882352941,0.02491833527826642,0.21180447140242914,1.4251944739071192e-06,10.646448164921235,0.016265210454051104,-15729.15161594486,-15263.53585764937,-0.31527745641809496,0.017205180130382247,-0.2831245205851193,0.11764705882352941,0.031523525171730356,0.2831244985676333,1.425194473906846e-06,14.231389516565468,0.016265210454051104,-15729.15161594486,-15503.278829449926,-0.21180732179137962,0.012509910242926763,-0.21180732179137868,0.11764705882352941,0.024918508446044506,0.21180447140243086,1.425194473907296e-06,10.646448164921187,0.016265210454051104,-15729.15161594486,-15503.278829449926
v01_geometry_baseline,V5_lam575,5.0,5.75,0.55,always_open,0.07261786400907042,0.9906840406549333,0.7448684956686833,-0.9007922891907518,0,-1.311555922431694,-15068.547230742304,0,-14890.46468436064,0.25992964995709994,0.2602432405044039,0.21180548293309376,1.0581370834047609e-06,13.065489255185348,58.60572751620381,-0.7096308970227361,-0.0711989566880633,-0.4993040912107436,0.2647058823529412,0.11033059312542273,0.25992964995709994,0.2602432405044039,13.065489255185348,58.60572751620381,-1.311555922431694,-0.9007922891907518,-0.2118075992072633,0.012510707385558205,-0.21180759920726056,0.11764705882352941,0.02491841466455845,0.21180548293309376,1.0581370834047609e-06,10.6465012782842,0.01226812033974363,-15068.547230742304,-14731.275386373063,-0.7096308970227361,-0.0711989566880633,-0.4993040912107436,0.2647058823529412,0.11033059312542273,0.25992964995709994,0.2602432405044039,13.065489255185348,58.60572751620381,-1.311555922431694,-0.9007922891907518,-0.2118075992072633,0.012509632827043085,-0.21180759920726233,0.11764705882352941,0.02491854108320728,0.21180548293309553,1.0581370834052098e-06,10.646501278284152,0.01226812033974363,-15068.547230742304,-14890.46468436064
v01_geometry_baseline,V5_lam575,5.0,5.75,0.65,always_open,0.06709254743582259,0.9820137900379085,0.5883486248147177,-0.7126379102332578,0,-1.0008661118960887,-13861.15596747968,0,-13687.799952411915,0.23516108717340495,0.17998577128983442,0.2118074871872765,8.330062811187528e-07,11.820485469844392,40.49722482497707,-0.5491161992910363,-0.04603538735162328,-0.3387893934790439,0.2647058823529412,0.08092579227385496,0.23516108717340495,0.17998577128983442,11.820485469844392,40.49722482497707,-1.0008661118960887,-0.7126379102332578,-0.2118091531998415,0.012508896913516516,-0.21180915319983873,0.11764705882352941,0.024918627661269215,0.2118074871872765,8.330062811187528e-07,10.64660350022848,0.009298310208619114,-13861.15596747968,-13583.423154199607,-0.5491161992910363,-0.04603538735162328,-0.3387893934790439,0.2647058823529412,0.08092579227385496,0.23516108717340495,0.17998577128983442,11.820485469844392,40.49722482497707,-1.0008661118960887,-0.7126379102332578,-0.2118091531998415,0.012508078834464762,-0.21180915319984053,0.11764705882352941,0.024918723905863537,0.2118074871872783,8.330062811187531e-07,10.646603500228432,0.009298310208619114,-13861.15596747968,-13687.799952411915
v01_geometry_baseline,V5_lam575,5.0,5.75,0.75,always_open,0.06457422701339871,0.9655548043337888,0.4116513751852821,-0.733195362632164,0,-1.0000012445183843,-11818.612103992135,0,-11646.866880141224,0.211811339136285,0.10875062031586666,0.211811339136285,6.650569928644943e-07,10.646798063736401,24.429227591918146,-0.4066463551041139,-0.02382863682699428,-0.2351615374658319,0.2647058823529412,0.05453228170159651,0.211811339136285,0.10875062031586666,10.646798063736401,24.429227591918146,-1.0000012445183843,-0.733195362632164,-0.21181266925027348,0.01250516557875109,-0.21181266925027073,0.11764705882352941,0.02491906664182989,0.211811339136285,6.650569928644943e-07,10.646798063736536,0.006825533215534402,-11818.612103992135,-11584.587459762866,-0.4066463551041139,-0.02382863682699428,-0.2351615374658319,0.2647058823529412,0.05453228170159651,0.211811339136285,0.10875062031586666,10.646798063736401,24.429227591918146,-1.0000012445183843,-0.733195362632164,-0.21181266925027348,0.012504562784033132,-0.2118126692502725,0.11764705882352941,0.024919137558855543,0.21181133913628677,6.650569928645508e-07,10.646798063736492,0.006825533215534402,-11818.612103992135,-11646.866880141224
