t,phase,core_line_target_Tkk,core_line_nmc_fit_Tkk,core_line_residual_Tkk,access_mean_target_Tkk,access_mean_nmc_fit_Tkk,access_mean_residual_Tkk,support_mean_target_Tkk,support_mean_nmc_fit_Tkk,support_mean_residual_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_fit_Tkk,support_ring_mean_residual_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_fit_Tkk,shoulder_mean_residual_Tkk
0.0,B_setup,-4.965644104168443e-07,-7.552011418661998e-17,-4.965644103413242e-07,-0.000184993074749748,-7.159346933577316e-09,-0.0001849859154028144,-0.009137617693910877,-7.549452538224465e-08,-0.009137542199385494,-0.02821232451784591,-5.388761936781078e-07,-0.028211785641652234,-0.008711668821368538,-7.592023400969062e-05,-0.008635748587358848
0.73125,B_setup,-4.965539689548502e-07,-1.728542940850699e-07,-3.236996748697803e-07,-0.00018494684085075243,-2.918110382455519e-07,-0.00018465502981250691,-0.009136712149242948,-2.7604923964162612e-06,-0.009133951656846533,-0.028210883819047322,-2.281805335898509e-05,-0.02818806576568833,-0.008712677702925362,-0.00022237789414552195,-0.008490299808779845
1.4625,B_setup,-4.964911382903136e-07,-6.911777585303927e-07,1.9468662024007907e-07,-0.000184796479277102,-9.063443167655895e-07,-0.00018389013496033637,-0.009133422197796618,-9.04877338279222e-06,-0.009124373424413825,-0.028204796164762916,-7.34650286431506e-05,-0.028131331136119764,-0.008715320761671816,-0.00036969775407903895,-0.008345623007592777
2.4375,B_setup,-4.962462961487768e-07,-1.91799181978159e-06,1.4217455236328132e-06,-0.0001844045131595701,-2.2369178267155025e-06,-0.0001821675953328546,-0.009123853696834836,-2.3018155852872023e-05,-0.00910083554098196,-0.028184884342450065,-0.00018496045725718526,-0.027999923885192887,-0.008719662790973977,-0.0005670385381915238,-0.008152624252782452
3.1687499999999997,B_setup,-4.958843582052255e-07,-3.237222894504817e-06,2.7413385362995917e-06,-0.00018394573740408964,-3.615365019803455e-06,-0.00018033037238428617,-0.009111731375432648,-3.765367625360099e-05,-0.009074077699179044,-0.02815781835912202,-0.0003013151224241019,-0.02785650323669792,-0.008722363938797852,-0.0007153225922274728,-0.008007041346570385
3.9,B_setup,-4.953223491938117e-07,-4.894695970705049e-06,4.399373621511237e-06,-0.0001833284005734777,-5.315938185322375e-06,-0.00017801246238815534,-0.009094500628447183,-5.581079741506275e-05,-0.00903868983103212,-0.0281176543861139,-0.0004453863870890304,-0.027672267999024863,-0.00872361245458075,-0.0008634243111559215,-0.007860188143424826
4.63125,B_setup,-4.945198311949718e-07,-6.88521348590052e-06,6.3906936547055485e-06,-0.00018253778628011432,-7.3333162217000135e-06,-0.0001752044700584143,-0.009071418594778387,-7.743266803226151e-05,-0.008993985926746127,-0.028062081477314312,-0.0006167232726590487,-0.027445358204655265,-0.008722552945607288,-0.0010109053505887563,-0.00771164759501853
5.3625,B_setup,-4.93438535870837e-07,-9.201739053022855e-06,8.708300517152018e-06,-0.00018156006212510323,-9.660382691192613e-06,-0.00017189967943391065,-0.009041783249659754,-0.00010244296676195123,-0.008939340282897805,-0.0279889118466056,-0.0008147211464138615,-0.02717419070019174,-0.008718353767713813,-0.0011572781958568228,-0.007561075571856983
6.3374999999999995,B_setup,-4.915016145984001e-07,-1.2781567191871028e-05,1.2290065577272627e-05,-0.00017994331699775328,-1.3228850579138894e-05,-0.0001667144664186144,-0.008990948307360707,-0.0001408885444032478,-0.008850059762957458,-0.027860459090479323,-0.0011188267740574458,-0.026741632316421876,-0.00870648396855977,-0.0013497957053443946,-0.007356688263215375
7.06875,B_setup,-4.89635259057445e-07,-1.5819678717877177e-05,1.533004345881973e-05,-0.00017848093549337516,-1.6239460897144944e-05,-0.00016224147459623022,-0.008943558538889873,-0.0001733846301060923,-0.00877017390878378,-0.02773852920323195,-0.0013757064006747555,-0.026362822802557192,-0.008691881875172395,-0.0014914577919410902,-0.007200424083231311
7.8,B_setup,-4.873818188161339e-07,-1.914481731847801e-05,1.8657435499661877e-05,-0.00017679304583360415,-1.9520999293315403e-05,-0.00015727204654028868,-0.008887635548393955,-0.00020885122855584355,-0.00867878431983811,-0.027592800463280734,-0.001655942303335831,-0.0259368581599449,-0.008671583420313036,-0.0016301151996909451,-0.0070414682206220835
8.53125,B_setup,-4.847157167656117e-07,-2.274021843581252e-05,2.225550271904691e-05,-0.00017487086306586287,-2.305695749280006e-05,-0.00015181390557306276,-0.008822714267448644,-0.0002471097971887515,-0.008575604470259896,-0.02742180376272818,-0.0019581241348091455,-0.02546367962791904,-0.008644903792540596,-0.0017651468550320762,-0.006879756937508516
9.2625,B_setup,-4.816150797056449e-07,-2.6586724808689995e-05,2.610510972898435e-05,-0.00017270705407578261,-2.6828537717727808e-05,-0.00014587851635805487,-0.00874839855155513,-0.0002879568024667777,-0.008460441749088351,-0.02722427987667671,-0.002280644760382606,-0.024943635116294105,-0.00861120557247359,-0.001895922788150002,-0.00671528278432359
10.237499999999999,B_setup,-4.7677459081268796e-07,-3.2068532367698846e-05,3.159175777688616e-05,-0.00016943634440474493,-3.218718394440157e-05,-0.00013724916046034335,-0.008634151130208035,-0.0003460486767876138,-0.008288102453420421,-0.02691789591694838,-0.0027391747229362994,-0.02417872119401208,-0.008554355133198306,-0.002062583551180613,-0.006491771582017699
10.96875,B_setup,-4.7259762786802973e-07,-3.641353136635687e-05,3.594093373848884e-05,-0.0001666890625679173,-3.6423143215932664e-05,-0.0001302659193519846,-0.008536795910696086,-0.00039200934476153694,-0.00814478656593455,-0.026654863543444877,-0.0031018439947656374,-0.023553019548679246,-0.0085021098264846,-0.002180998721536153,-0.006321111104948453
11.7,B_setup,-4.679429736262712e-07,-4.092961481197926e-05,4.046167183835299e-05,-0.00016368730929415562,-4.0816699763347504e-05,-0.0001228706095308081,-0.008429279379358137,-0.0004397119259749267,-0.00798956745338321,-0.026362795802145785,-0.00347817238915904,-0.02288462341298674,-0.008441135325545503,-0.0022931129153251207,-0.006148022410220379
12.43125,B_setup,-4.6280724271539487e-07,-4.558859358340045e-05,4.512578634068505e-05,-0.00016043094559205223,-4.5340503473647914e-05,-0.00011509044211840434,-0.008311549503277033,-0.0004888592151001909,-0.007822690288176838,-0.026041484342023757,-0.0038658160162389154,-0.022175668325784843,-0.008371062764749687,-0.0023983646801864025,-0.005972698084563276
13.1625,B_setup,-4.571916005996119e-07,-5.036079772747233e-05,4.990360612687272e-05,-0.00015692159758695198,-4.996582752914132e-05,-0.00010695577005781071,-0.008183639112798999,-0.0005391388365999985,-0.007644500276199002,-0.02569098051153194,-0.0042623119097280684,-0.021428668601803872,-0.008291597695522067,-0.002496232336020048,-0.005795365359502019
14.1375,B_setup,-4.4896803099700095e-07,-5.6846457539020015e-05,5.639748950802301e-05,-0.00015185503069261127,-5.62392488184733e-05,-9.561578187413797e-05,-0.007997470436316262,-0.0006073782694906178,-0.007390092166825643,-0.02517880466191243,-0.004800317367665046,-0.02037848729424739,-0.008170670362264052,-0.0026144247264393533,-0.005556245635824705
14.86875,B_setup,-4.4226238269014085e-07,-6.176162972518439e-05,6.131936734249425e-05,-0.00014777150706153495,-6.09844195295684e-05,-8.678708753196657e-05,-0.007846404995641681,-0.0006590261889803434,-0.007187378806661334,-0.02476182993190931,-0.005207428171805308,-0.019554401760103996,-0.008068584243096418,-0.0026933152464029605,-0.0053752689966934586
15.6,B_setup,-4.351127684717234e-07,-6.668479895641799e-05,6.624968618794628e-05,-0.00014345286217895897,-6.572966240568646e-05,-7.772319977327254e-05,-0.007685867910136005,-0.0007107017671040529,-0.00697516614303195,-0.024317670176045664,-0.0056146853655651575,-0.01870298481048051,-0.007956694909677089,-0.0027634653419490304,-0.005193229567728064
16.33125,B_setup,-4.2753893579485024e-07,-7.158396132076974e-05,7.115642238497489e-05,-0.0001389079422809872,-7.044425134921025e-05,-6.846369093177697e-05,-0.007516240057925696,-0.0007620699745975411,-0.006754170083328156,-0.023847443275149233,-0.006019449798494126,-0.017827993476655108,-0.007835053929375571,-0.0028246055265248402,-0.00501044840285073
17.0625,B_setup,-4.1956428678786337e-07,-7.642761866582521e-05,7.600805437903735e-05,-0.00013414702236532743,-7.509800615717887e-05,-5.904901620814855e-05,-0.007337971264481923,-0.0008128015209315451,-0.006525169743550379,-0.023352478593595734,-0.006419128090258624,-0.016933350503337108,-0.007703791935403618,-0.0028765368852064657,-0.0048272550501971545
