observer_family,target_rms,fit_rms,residual_rms,relative_rms_error,correlation,target_min,fit_min,target_max,fit_max
core_line,0.0012855793554971786,0.0009868455518965043,0.0007115423115473761,0.5534798832131704,0.8519832854314213,-0.0012414148969633748,-0.003596345906629149,0.00819835232318242,0.006260020962496628
access_mean,0.0012884169356735754,0.0009266301353452682,0.0008532080461993244,0.662214243362651,0.778917943958229,-0.0015769976367293445,-0.003659961951183403,0.008184294057451273,0.005960565036096556
support_mean,0.003536877586018213,0.0009267256967241143,0.0033980105755988857,0.9607373998529393,0.28084850624772084,-0.009137617693911235,-0.0034639856862724674,0.007393608100012001,0.004406546106959416
support_ring_mean,0.009773457621757506,0.004509064714644423,0.008741622138815417,0.8944247243008473,0.3376141091418937,-0.02821232451784591,-0.010742124582230549,0.005764864022024687,0.0027998273462560017
shoulder_mean,0.0034642111973230763,0.0012657216829121182,0.00319014453599806,0.9208862723075295,0.46472747439033574,-0.00872361245458075,-0.0035065629288764315,0.003414113636716996,0.002625910996049853
