t,phase,access_mean_Tkk_total,access_max_abs_flux,access_max_abs_Kll,access_max_abs_Kth,access_max_abs_theta,access_min_N,access_min_R,support_mean_Tkk_total,support_max_abs_flux,support_max_abs_Kll,support_max_abs_Kth,support_max_abs_theta,support_min_N,support_min_R,shoulder_mean_Tkk_total,shoulder_max_abs_flux,shoulder_max_abs_Kll,shoulder_max_abs_Kth,shoulder_max_abs_theta,shoulder_min_N,shoulder_min_R,matching_mean_Tkk_total,matching_max_abs_flux,matching_max_abs_Kll,matching_max_abs_Kth,matching_max_abs_theta,matching_min_N,matching_min_R,coreline_Tkk_total,coreline_Tkk_geo,coreline_src,proper_half_length_R2,proper_half_length_R3
0.0,B_setup,-0.00016271275703445514,7.3185631215418e-11,2.446588401205929e-06,8.881784165414351e-16,0.0007517984381721581,1.0,1.0,-0.010216960440508356,1.7315504514631604e-08,2.446588401205929e-06,1.3279462307731021e-15,0.17788028197216835,1.0,1.0,-0.008871412705817256,1.6840661288205602e-07,2.4460284735461357e-06,1.355443728334147e-15,1.7310740989307438,1.0,1.1725122955710758,-5.2586461737503404e-05,3.929161992384158e-08,2.345699922301492e-06,1.3485123941297553e-15,0.42098570212592856,1.0,4.639062405271132,-1.5722603208950803e-07,-1.5722603208950803e-07,0.0,1.8900000000000006,2.8200000000000003
0.24375,B_setup,-0.00016271269282105538,1.4672869696151298e-10,4.905166748046754e-06,0.0,0.000751798212903856,1.0,1.0,-0.010216961054356336,3.471585402636188e-08,4.905166748046754e-06,0.0,0.17788022867392708,1.0,1.0,-0.008871570050479546,3.376384314500061e-07,4.904044149372611e-06,0.0,1.731073580564276,1.0,1.1725122955710758,-5.2634161263930626e-05,7.877577480065438e-08,4.702895423613982e-06,0.0,0.42098558118377283,1.0,4.639062405271132,-1.5722593800504558e-07,-1.5722593800504558e-07,0.0,1.8900005661739623,2.820000843916079
0.4875,B_setup,-0.00016271216105619434,4.756124018064376e-10,1.589984145045347e-05,0.0,0.0007517966404243735,1.0,1.0,-0.010216948440727527,1.1252938967037295e-07,1.589984145045347e-05,0.0,0.17787985662694986,1.0,1.0,-0.008872260554413553,1.094435029248296e-06,1.589620261374745e-05,4.0716153214102053e-16,1.731069962120729,1.0,1.1725122955710758,-5.284822113757218e-05,2.5534706363834765e-07,1.5244190847459823e-05,3.8291290011142435e-16,0.42098473695014477,1.0,4.639062405271132,-1.5722528035749805e-07,-1.5722528035749805e-07,0.0,1.890004518345925,2.8200067348642532
0.73125,B_setup,-0.00016271056640574128,1.0213570558466645e-09,3.4144414859368704e-05,0.0,0.0007517923856209801,1.0,1.0,-0.010216882788010345,2.4165199590177873e-07,3.4144414859368704e-05,0.0,0.1778788499449809,1.0,1.0,-0.008873368122825987,2.3502518926922696e-06,3.413660061691353e-05,4.2286540129881417e-16,1.7310601713628029,1.0,1.1725122955710758,-5.320561291556654e-05,5.483470276814969e-07,3.273643322712211e-05,4.1558574427271703e-16,0.4209824526282847,1.0,4.639062405271132,-1.5722350073937852e-07,-1.5722350073937852e-07,0.0,1.89001521218658,2.820022674671952
0.975,B_setup,-0.00016270733572535987,1.7817985333002435e-09,5.956696175270773e-05,0.0,0.0007517841266085149,1.0,1.0,-0.01021672797190766,4.2157164304047527e-07,5.956696175270773e-05,0.0,0.17787689587139255,1.0,1.0,-0.008874857249987714,4.100109172787919e-06,5.95533294910006e-05,0.0,1.7310411664910974,1.0,1.1725122955710758,-5.370669799040289e-05,9.566143488028685e-07,5.711067995573933e-05,0.0,0.4209780185207771,1.0,4.639062405271132,-1.5722004630819297e-07,-1.5722004630819297e-07,0.0,1.890035970380378,2.8200536159986456
1.21875,B_setup,-0.00016270190166871898,2.7547570610627367e-09,9.209541247845099e-05,0.0,0.0007517705548030507,1.0,1.0,-0.010216448231192287,6.517725994327306e-07,9.209541247845099e-05,0.0,0.17787368479661345,1.0,1.0,-0.008876692707514391,6.3389910502941484e-06,9.20743362622247e-05,4.2286540129881417e-16,1.7310099363134566,1.0,1.1725122955710758,-5.4351812121326095e-05,1.4789798096013873e-06,8.829786492457949e-05,4.467069749795189e-16,0.4209707320665185,1.0,4.639062405271132,-1.5721436984195147e-07,-1.5721436984195147e-07,0.0,1.890070082733434,2.8201044624966833
1.4625,B_setup,-0.00016269370276997491,3.9380301822131576e-09,0.00013165743528934708,0.0,0.0007517503750394781,1.0,1.0,-0.01021600817243872,9.317337661066889e-07,0.00013165743528934708,4.3891735595393283e-16,0.17786891028594815,1.0,1.0,-0.008878839533432879,9.061829548963728e-06,0.00013162730603542367,5.151566251493832e-16,1.7309635005152952,1.0,1.1725122955710758,-5.514126122684727e-05,2.11426267118829e-06,0.00012622869035639232,5.139391316739409e-16,0.4209598979002898,1.0,4.639062405271132,-1.5720592973916814e-07,-1.5720592973916814e-07,0.0,1.8901208062814383,2.8201800689721375
1.70625,B_setup,-0.00016268218355380032,5.329385984328625e-09,0.0001781803230593162,0.0,0.0007517223057313824,1.0,1.0,-0.010215372776502973,1.2609270781288054e-06,0.0001781803230593162,4.3891735595393283e-16,0.17786226911739916,1.0,1.0,-0.008881263023282262,1.2263488966613172e-05,0.00017813954875959845,5.151566251493832e-16,1.7308989100272074,1.0,1.1725122955710758,-5.6075317186364455e-05,2.8612671872241123e-06,0.00017083352266293592,5.139391316739409e-16,0.4209448279341047,1.0,4.639062405271132,-1.5719419026172243e-07,-1.5719419026172243e-07,0.0,1.8901913653975588,2.820285241545646
1.95,B_setup,-0.00016266679467186496,6.926556593588705e-09,0.00023159088435818648,0.0,0.0007516850790715926,1.0,1.0,-0.01021450740668067,1.6388159560410107e-06,0.00023159088435818648,4.3891735595393283e-16,0.1778534613291199,1.0,1.0,-0.008883928723191378,1.593875091593114e-05,0.00023153789035464033,5.151566251493832e-16,1.7308132474860833,1.0,1.1725122955710758,-5.715421365380619e-05,3.718779254408072e-06,0.00022204229230970044,5.139391316739409e-16,0.42092484145949893,1.0,4.639062405271132,-1.5717862155567586e-07,-1.5717862155567586e-07,0.0,1.8902849519003484,2.820424737813247
2.19375,B_setup,-0.0001626469930647583,8.727231935996365e-09,0.0002918153388889829,0.0,0.0007516374412717663,1.0,1.0,-0.0102133778184817,2.0648538449551095e-06,0.0002918153388889829,4.3891735595393283e-16,0.1778421902760947,1.0,1.0,-0.008886802424882103,2.0082299969052617e-05,0.0002917485681981235,5.151566251493832e-16,1.7307036277860113,1.0,1.1725122955710758,-5.8378141891696894e-05,4.685563199917498e-06,0.00027978439767248044,5.139391316739409e-16,0.42089926526991306,1.0,4.639062405271132,-1.5715869988719433e-07,-1.5715869988719433e-07,0.0,1.890404725161655,2.8206032670072276
