name,r_mode,x_catch,x_beta,x_q,w_catch,w_beta,w_q,p_beta,X,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,release_fail_points,release_rho_H_p95_abs,release_j_p95_abs
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,-0.25,1.245427355964557,0.9999996940977731,0.9999251537724894,-93154.94054409949,0,630684.3572496716,-4.211260775724955,0,,0.19767467514124362,2.003315628397046e-07,0.14666645793379068,0.0006665076962487575,9.936211226510167,0.012513509004509166,0,0.0,0.0
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,-0.007142857142857145,1.1855029966870267,0.9999965302639777,0.9991517008647757,-210487.1624293377,0,536285.5831890616,-4.211241619410182,0,,0.22089150740663105,1.9528203727388833e-07,0.14666645852130025,3.001102430156372e-08,11.103209803673357,0.01203403997343055,0,0.0,0.0
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,0.2357142857142857,0.7032745372025957,0.9999606453530878,0.9904617115004255,-351218.045395242,0,-49999.077297953365,-4.211024350300462,0,,0.2039647962620742,1.1271361756989867e-07,0.14666646552126852,0.0001677211974924945,10.252388951715108,0.005656843090065722,0,0.0,0.0
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,0.47857142857142854,0.14933388820126195,0.9995537949770634,0.901525057645576,-0.19354070539552293,0,-4.208561767496783,-4.208561767496783,0,-0.19354070539552293,0.175590866821382,0.03970345866097432,0.14667072756693075,0.039703458660974335,8.826159523509203,13.734392390112687,0,0.14667072756694877,0.03970345866097434
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,0.7214285714285714,0.06877438637822665,0.9949620948286829,0.4466326272003471,-0.6973560978675755,0,-1.000002769552239,-4.180869344696862,0,-3.333266685896675,0.14742099072218545,0.009224697848273546,0.14666773506719785,0.009224697848273549,7.410177557597297,3.184069305063391,0,0.14666773506721592,0.009224697848273549
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,0.9642857142857142,0.06292911792045526,0.9456867338673594,0.06643062279321432,-0.7466148332059813,0,-1.0000000000103708,-3.894919206564144,0,-3.220477063182332,0.11693977398677334,0.0010473303820137038,0.1466769067048764,0.0010473303820137043,5.87803434782118,0.3523999625814416,0,0.14667690670489444,0.0010473303820137045
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,1.207142857142857,0.06254021126786928,0.6055324872205858,0.006234340826643592,-0.7497362903062955,0,-1.0,-2.388371878315527,0,-1.9199207697783325,0.09295844740661048,2.107870283483406e-05,0.14671549233537703,0.00017751592130719262,4.6726012073875305,0.004359689480789288,0,0.14671549233537703,0.0001775159213071927
baseline_p4_open,always_open,0.25,0.7,1.25,0.18,0.2,0.2,4.0,1.45,0.0625261592702368,0.11920292202211763,0.000552778636923601,-0.74986291539178,0,-1.0,-1.1869482209325597,0,,0.0739143025143535,6.498919795766294e-12,0.14590839273904543,0.0003982325059797313,3.7153380763889046,1.316743778374057e-09,0,0.0,0.0
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,-0.25,1.1512328452452687,0.9999546021312975,0.9988714745934306,-128526.85745024451,0,484571.27951791644,-4.210987762057371,0,,0.19767467009841855,1.850592043132722e-07,0.14666646672331196,0.0006150920015624307,9.936211228516747,0.011555516349988564,0,0.0,0.0
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,-0.007142857142857145,0.789649194859658,0.9997708609529357,0.9936379383412923,-291675.5339573779,0,33512.0225236236,-4.209875466329787,0,,0.22089141414348348,1.2967876108390561e-07,0.14666650252990718,8.798315136019136e-07,11.103209815399547,0.00799207059297037,0,0.0,0.0
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,0.2357142857142857,0.2816720453020051,0.9988443139357006,0.9649846794949563,-350743.9317058988,0,-308016.01421401324,-4.204270995331376,0,,0.20396479855827343,4.463152938850571e-08,0.1466666831761364,6.667477450874625e-05,10.252389003654674,0.0022072665947389363,0,0.0,0.0
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,0.47857142857142854,0.09980503199005114,0.9941929415536207,0.8294356172021027,-2.392746213862817,0,-4.176248431833423,-4.176248431833423,0,-2.392746213862817,0.17559085942906408,0.02392370000497349,0.14666914036565926,0.0239237000049735,8.826159221018834,8.252861188256096,0,0.14666914036567735,0.023923700004973503
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,0.7214285714285714,0.0679949840652062,0.9713576829277691,0.46180922507129263,-0.704176809666216,0,-1.0000027038474848,-4.041361594170733,0,-3.232861744607622,0.1474239434727039,0.00862840398261231,0.14667229069369336,0.008628403982612314,7.4103263602886615,2.9420853078275706,0,0.14667229069371163,0.008628403982612314
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,0.9642857142857142,0.0632951200088771,0.8704295306002942,0.13150064322195543,-0.7436586330986755,0,-1.0000000000095453,-3.495480856692712,0,-2.864314937651375,0.11686587320293414,0.0015697568439601685,0.14669061541310283,0.001569756843960169,5.874320625774324,0.5080075237119107,0,0.14669061541311973,0.001569756843960169
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,1.207142857142857,0.06262496480458492,0.5709465968834664,0.02602193416543308,-0.7490574401438665,0,-1.0,-2.2725115162010177,0,-1.81930783058226,0.09295995056292332,1.4467620299555087e-05,0.1467125998527954,0.00012706593147691688,4.672676764264804,0.0029892774871609234,0,0.1467125998527954,0.0001270659314769169
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,1.45,0.06254047943864369,0.208608527326045,0.00469223560226234,-0.7497483301426191,0,-1.0,-1.3497636739084864,0,,0.07391430250659145,6.813814584540143e-12,0.1463007553648757,0.00021834581193974205,3.7153380759987416,1.3805444995831682e-09,0,0.0,0.0
