label,clear,pkt_Rth,pkt_wth,pkt_Rpass,pkt_wpass,pkt_C0,pkt_C_perp,v1_B0,v1_wB,max_packet_norm,max_edge_gtt,max_release_packet_norm,rhoH_packet_p95_max,rhoH_edge_p95_max,R3_packet_p95_max,K_packet_p95_max,j_packet_p95_max,j_edge_p95_max,packet_fail_total,edge_fail_total,J_geom,J_dyn,J_total,rel_J_geom,rel_J_dyn,rel_J_total,rel_rhoH_packet_p95_max,rel_rhoH_edge_p95_max,rel_R3_packet_p95_max,rel_K_packet_p95_max,rel_j_packet_p95_max,rel_j_edge_p95_max
C20_Cp3_B4_wB6,True,1.25,0.12,0.35,0.08,20.0,3.0,4.0,6.0,-0.7557624960061744,-1.3676765774468096,-1.063128113722415,0.08451979000910437,0.09732375596575094,4.248429149192798,0.14713338906094653,0.0031978115307094482,0.005702867890772453,0,0,0.30974521342539085,0.011843347202700832,0.3215885606280917,0.3467983898656963,0.0027218681781543104,0.061321077672470733,0.3324626902956095,0.6168381283961937,0.3324627785039067,0.0012599453634474604,0.009348851190524428,0.003407591379794436
C20_Cp3_B4_wB8,True,1.25,0.12,0.35,0.08,20.0,3.0,4.0,8.0,-0.7549619518905046,-1.3676765774468096,-1.0628086227869948,0.08444810983975604,0.09725062510879305,4.244826108657271,0.14698550917942999,0.0031838668041844274,0.005682875117651097,0,0,0.30949193054165663,0.011806452105424123,0.32129838264708077,0.3465148080944457,0.0027133888530540143,0.0612657460198844,0.3321807328754618,0.6163746249022493,0.33218082090841966,0.0012586790256552498,0.009308083568066686,0.0033956452497680414
C20_Cp3_B4_wB10,True,1.25,0.12,0.35,0.08,20.0,3.0,4.0,10.0,-0.7547425849810745,-1.3676765774468096,-1.0627212231908807,0.08442858445885443,0.09723067557554291,4.243844655354394,0.14694511234784274,0.003180064160253916,0.005677421232499167,0,0,0.3094229083432626,0.011796387639709936,0.3212192959829725,0.34643752913667475,0.0027110758119442066,0.06125066563436581,0.33210392884337775,0.6162481847270804,0.33210401682846735,0.0012583330960128948,0.009296966480053365,0.003392386431155011
C20_Cp3_B4_wB12,True,1.25,0.12,0.35,0.08,20.0,3.0,4.0,12.0,-0.7546637261789875,-1.3676765774468096,-1.0626898199848123,0.08442157758757879,0.09722351345329366,4.243492451369551,0.14693060349256215,0.003178699108868202,0.00567546322101298,0,0,0.30939813602177124,0.011792774399732425,0.32119091042150366,0.3464097934338,0.002710245407942154,0.061245253025110656,0.3320763669756234,0.6162027911842632,0.3320764549435238,0.0012582088525284188,0.009292975731333529,0.0033912164754082426
C20_Cp3_B5_wB6,True,1.25,0.12,0.35,0.08,20.0,3.0,5.0,6.0,-0.7558406701119993,-1.3676765774468096,-1.0631593192897062,0.07976866200258798,0.0890389427128741,4.009611002082153,0.11771826443026707,0.00204747309384543,0.0036510875054895334,0,0,0.28951949281698175,0.008052925887940305,0.29757241870492207,0.3241531736142456,0.0018507439105070913,0.05674163709352894,0.3137738980161314,0.5643289681166118,0.31377395448040957,0.0010080552239611611,0.005985819078811362,0.002181606614228638
C20_Cp3_B5_wB8,True,1.25,0.12,0.35,0.08,20.0,3.0,5.0,8.0,-0.7549867348561008,-1.3676765774468096,-1.0628184968766345,0.07971969976369922,0.08898900280558843,4.007149889992334,0.11759205728920386,0.002037949915208778,0.0036374345865976205,0,0,0.2893464973052051,0.008027225647590477,0.29737372295279557,0.3239594835672723,0.0018448374159002994,0.05670374943475917,0.3135813026764826,0.5640124489005509,0.31358135902103934,0.0010069744760545748,0.00595797791960612,0.0021734486891957974
C20_Cp3_B5_wB10,True,1.25,0.12,0.35,0.08,20.0,3.0,5.0,10.0,-0.7547527414866273,-1.3676765774468096,-1.0627252676683572,0.07970636780430725,0.08897538245511721,4.006479752203784,0.1175575838179194,0.0020353536465194232,0.0036337109836149673,0,0,0.2892993700653064,0.00802021630649278,0.2973195863717992,0.3239067187457116,0.001843226511300686,0.05669342657538347,0.31352886076807407,0.5639261230964407,0.31352891707995056,0.0010066792698435034,0.005950387688163678,0.0021712237529587165
C20_Cp3_B5_wB12,True,1.25,0.12,0.35,0.08,20.0,3.0,5.0,12.0,-0.7546686251214841,-1.3676765774468096,-1.0626917704552639,0.07970158404011725,0.08897049288587797,4.006239293838856,0.1175452026948206,0.002034421720340651,0.0036323742499274926,0,0,0.2892824575778208,0.008017700024164557,0.29730015760198536,0.32388778310708205,0.0018426482128957485,0.056689721863062516,0.3135100435997851,0.563895132998409,0.31351009989992684,0.0010065732467392837,0.005947663187647551,0.0021704250246210163
C20_Cp3_B6_wB6,True,1.25,0.12,0.35,0.08,20.0,3.0,6.0,6.0,-0.7558927878364614,-1.3676765774468096,-1.0631801254797593,0.07765582463539261,0.08453678449884418,3.9022682341180186,0.09810497326832845,0.0014222610012376293,0.002536057334744029,0,0,0.2796501962047451,0.005920417801348227,0.28557061400609335,0.3131032654126616,0.0013606454779264744,0.054453111666165184,0.3054629498325262,0.5357942818118306,0.30537379676648446,0.0008401009926398572,0.004158001910671386,0.0015153510966861392
C20_Cp3_B6_wB8,True,1.25,0.12,0.35,0.08,20.0,3.0,6.0,8.0,-0.7550032569997671,-1.3676765774468096,-1.0628250798511827,0.07767210741728683,0.08450065131196241,3.903089487815759,0.09799540901845386,0.0014153704012757696,0.002526178911160152,0,0,0.27965512570275036,0.005901457492804999,0.2855565831955554,0.3131087846003583,0.0013562879715907628,0.05445043624630222,0.30552699894426044,0.5355652696128257,0.30543806435260135,0.0008391627625786173,0.004137857135709439,0.001509448517195416
C20_Cp3_B6_wB10,True,1.25,0.12,0.35,0.08,20.0,3.0,6.0,10.0,-0.7547595125183277,-1.3676765774468096,-1.0627279640283025,0.07767654611686148,0.08449079791930793,3.9033133630331753,0.09796548325701704,0.0014134921540418096,0.002523485131356642,0,0,0.2796564660709667,0.005896286950538792,0.2855527530215055,0.3131102853097127,0.0013550996644156612,0.054449705901914495,0.30554445878416114,0.5355028187936703,0.3054555838107838,0.0008389064997098653,0.0041323660510345995,0.0015078389233887004
C20_Cp3_B6_wB12,True,1.25,0.12,0.35,0.08,20.0,3.0,6.0,12.0,-0.7546718910896641,-1.3676765774468096,-1.0626930707785796,0.07767813933721306,0.08448726079498836,3.903393720560207,0.09795473561944035,0.0014128179929691286,0.002522518134307301,0,0,0.2796569468229987,0.0058944308396652375,0.2855513776626639,0.31311082357155945,0.0013546730882936081,0.05444944364604883,0.30555072579363035,0.5354804004938057,0.30546187222604804,0.0008388144646101562,0.004130395130770408,0.0015072611209789772
C35_Cp3_B4_wB6,True,1.25,0.12,0.35,0.08,35.0,3.0,4.0,6.0,-0.7563092757554937,-1.4191269559709327,-1.103121738511081,0.08440636900304642,0.09558535942433087,4.2427281645756025,0.1343222961369293,0.004458023176255473,0.00999466670470179,0,0,0.307721767653111,0.01713913580369585,0.32486090345680685,0.34453289001164855,0.003938959784486135,0.061945053812600466,0.33201654327127356,0.6058201682036449,0.33201664532868336,0.001150240304430408,0.013033099317605863,0.005972037360705398
C35_Cp3_B4_wB8,True,1.25,0.12,0.35,0.08,35.0,3.0,4.0,8.0,-0.7555081524614271,-1.4191269559709327,-1.1027902287037779,0.08433504389459172,0.09551713937916774,4.239142970995452,0.13418719806332177,0.004438933324143678,0.009960435904638265,0,0,0.3074742879289404,0.01708311319004838,0.3245574011189888,0.3442558056011498,0.0039260845249219035,0.06188718144800277,0.3317359825003592,0.6053877894430848,0.33173608435490376,0.001149083420921241,0.012977289841366124,0.00595158369047245
C35_Cp3_B4_wB10,True,1.25,0.12,0.35,0.08,35.0,3.0,4.0,10.0,-0.7552886268442225,-1.4191269559709327,-1.1026995412380187,0.08431561537690184,0.09549852974974815,4.238166386472617,0.134150292906489,0.004433727718376599,0.009951097994858927,0,0,0.307406849073379,0.017067831571365308,0.32447468064474433,0.3441802993931138,0.0039225724644467485,0.06187140816111613,0.331659559484413,0.6052698415806392,0.3316596612835746,0.0011487673914901545,0.012962071172846857,0.005946004080094159
