B0,N0,r_amp,omega,access_rho_log10_L0max,access_nec_log10_L0max,access_quiet_open_fraction,access_rho_min,access_nec_min,access_tidal_max_abs,access_accel_max_abs,max_B,max_N,failure_mode
1.0,1.0,0.0,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.07954566599680271,2.1449290420071274e-11,0.0,1.0,1.0,rho-QI-static-obstruction-preserved
1.0,1.0,0.025,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.07954566599680271,2.1449290420071274e-11,0.0,1.0,1.0,rho-QI-static-obstruction-preserved
1.0,1.0,0.025,16.0,-0.3195911580706695,-0.4930501928700136,0.0,-0.3296721971087658,-0.7950121309809541,6.547110149556054,0.0,1.0,1.0,quiet-window-lost
1.0,1.0,0.05,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.07954566599680271,2.1449290420071274e-11,0.0,1.0,1.0,rho-QI-static-obstruction-preserved
1.0,1.0,0.05,16.0,-0.3545498477114678,-0.5505517478745405,0.0,-0.6371079421409133,-1.5476756186602967,13.438801491537088,0.0,1.0,1.0,quiet-window-lost
1.0,2.0,0.0,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.0795456659967256,0.027548751179138832,0.12141986900009286,1.0,2.0,rho-QI-static-obstruction-preserved
1.0,2.0,0.025,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.0795456659967256,0.027548751179138832,0.12141986900009286,1.0,2.0,rho-QI-static-obstruction-preserved
1.0,2.0,0.025,16.0,-0.3278697186454418,-0.47070192997882954,0.0,-0.3296722639053157,-0.47413492093532084,1.6367775373890134,0.12141986900009286,1.0,2.0,quiet-window-lost
1.0,2.0,0.05,0.0,-0.31087065628087235,-0.4614724956559323,1.0,-0.039756930223726075,-0.0795456659967256,0.027548751179138832,0.12141986900009286,1.0,2.0,rho-QI-static-obstruction-preserved
1.0,2.0,0.05,16.0,-0.381561091061927,-0.5111055072860933,0.0,-0.6371082210075466,-0.8912528315352005,3.359700372884272,0.12141986900009286,1.0,2.0,quiet-window-lost
1.0,3.0,0.0,0.0,-0.31087065628087224,-0.4614724956559323,1.0,-0.03975693022372608,-0.07954566599671133,0.04365118632968339,0.19239062023549247,1.0,3.0000000000000004,rho-QI-static-obstruction-preserved
1.0,3.0,0.025,0.0,-0.31087065628087224,-0.4614724956559323,1.0,-0.03975693022372608,-0.07954566599671133,0.04365118632968339,0.19239062023549247,1.0,3.0000000000000004,rho-QI-static-obstruction-preserved
1.0,3.0,0.025,16.0,-0.3293728878639539,-0.46846039709698056,0.685785536159601,-0.32967227630936174,-0.4150860586173077,0.7274566832840057,0.19239062023549247,1.0,3.0000000000000004,lapse-radial-gradient-burden
1.0,3.0,0.05,0.0,-0.31087065628087224,-0.4614724956559323,1.0,-0.03975693022372608,-0.07954566599671133,0.04365118632968339,0.19239062023549247,1.0,3.0000000000000004,rho-QI-static-obstruction-preserved
1.0,3.0,0.05,16.0,-0.38622712871898685,-0.5036356264122279,0.0,-0.6371082727927744,-0.7701389006015905,1.4932001657263427,0.19239062023549247,1.0,3.0000000000000004,lapse-radial-gradient-burden
1.2,1.0,0.0,0.0,-0.1056468882474825,-0.38229124960830746,1.0,-0.015451310058067767,-0.055240045831144405,2.1449290420071274e-11,0.0,1.2,1.0,rho-QI-static-obstruction-preserved
1.2,1.0,0.025,0.0,-0.1056468882474825,-0.38229124960830746,1.0,-0.015451310058067767,-0.055240045831144405,2.1449290420071274e-11,0.0,1.2,1.0,rho-QI-static-obstruction-preserved
1.2,1.0,0.025,16.0,-0.12082323430438463,-0.426382222239393,0.0,-0.21721140698392147,-0.6839688116655489,6.547110149556054,0.0,1.2,1.0,quiet-window-lost
1.2,1.0,0.05,0.0,-0.1056468882474825,-0.38229124960830746,1.0,-0.015451310058067767,-0.055240045831144405,2.1449290420071274e-11,0.0,1.2,1.0,rho-QI-static-obstruction-preserved
1.2,1.0,0.05,16.0,-0.15733149609378308,-0.4957028878698284,0.0,-0.43046877599119976,-1.3440428840815508,13.438801491537088,0.0,1.2,1.0,quiet-window-lost
