case,t,N0,B0,R0,rho0,nec0,Gkk0,tidal0,rho_repay,nec_repay
static_reference,-1.2,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.01233178024869441,-0.024660311029910016
static_reference,-1.176,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.152,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.128,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.1039999999999999,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.08,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.056,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.01233178024869441,-0.02466031102822261
static_reference,-1.032,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-1.008,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-0.984,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-0.96,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-0.9359999999999999,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-0.9119999999999999,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694418,-0.024660311028785083
static_reference,-0.8879999999999999,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
static_reference,-0.8639999999999999,1.0,1.0,1.0,-0.03976438008790365,-0.07955311586087749,-1.999387874869683,-0.0,-0.012331780248694415,-0.024660311028503846
