core_amp,repay_amp,buffer_amp,omega,access_qi_log10_L0max,access_qi_min_sampled_avg,access_positive_sample_fraction,repay_positive_sample_fraction,repay_qi_log10_L0max,access_max_abs_tidal,access_max_abs_rate,access_max_abs_flux,access_min_rho,access_max_rho,access_min_Gkk,repay_min_Gkk,access_quiet_open_fraction,access_open_fraction,failure_mode
0.0,0.0,0.0,4.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,8.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,16.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,32.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.0,0.0,64.0,-0.31079429492475685,-0.039742951877238517,0.0,0.0,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-0.9493824233766613,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,4.0,-0.31079429492475685,-0.039742951877238517,0.0,0.17012750455373407,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-7.6750523516022096,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,8.0,-0.31079429492475685,-0.039742951877238517,0.0,0.1180327868852459,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-12.76816845585619,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,16.0,-0.31079429492475685,-0.039742951877238517,0.0,0.11256830601092896,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-29.75176145199896,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,32.0,-0.31079429492475685,-0.039742951877238517,0.0,0.3005464480874317,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-101.26369865553745,1.0,1.0,static-QI-preserved
0.0,0.06,0.020999999999999998,64.0,-0.31079429492475685,-0.039742951877238517,0.0,0.5238615664845173,-0.31079429492475685,4.1455364026057137e-11,1.1054763740281913e-13,9.356738005233401e-14,-0.039742951877238496,-0.035543496641889785,-1.9988493252386736,-388.4917707161198,1.0,1.0,static-QI-preserved
