case,comp_kind,amp,TC,TR,TB,TH,comp_center,comp_width,core_negative_full,core_positive_full,core_signed_min_full,core_max_abs_flux_full,core_max_abs_Rt_over_NR_full,core_max_abs_Bt_over_NB_full,core_negative_B_setup,core_positive_B_setup,core_min_Tkk_B_setup,core_max_Tkk_B_setup,core_max_abs_flux_B_setup,core_max_abs_Rt_over_NR_B_setup,core_negative_R_open,core_positive_R_open,core_min_Tkk_R_open,core_max_Tkk_R_open,core_max_abs_flux_R_open,core_max_abs_Rt_over_NR_R_open,core_negative_hold,core_positive_hold,core_min_Tkk_hold,core_max_Tkk_hold,core_max_abs_flux_hold,core_max_abs_Rt_over_NR_hold,core_negative_R_close,core_positive_R_close,core_min_Tkk_R_close,core_max_Tkk_R_close,core_max_abs_flux_R_close,core_max_abs_Rt_over_NR_R_close,core_negative_compensation,core_positive_compensation,core_min_Tkk_compensation,core_max_Tkk_compensation,core_max_abs_flux_compensation,core_max_abs_Rt_over_NR_compensation,core_negative_B_reset,core_positive_B_reset,core_min_Tkk_B_reset,core_max_Tkk_B_reset,core_max_abs_flux_B_reset,core_max_abs_Rt_over_NR_B_reset,support_negative_full,support_positive_full,support_signed_min_full,support_max_abs_flux_full,support_max_abs_Rt_over_NR_full,support_max_abs_Bt_over_NB_full,support_negative_B_setup,support_positive_B_setup,support_min_Tkk_B_setup,support_max_Tkk_B_setup,support_max_abs_flux_B_setup,support_max_abs_Rt_over_NR_B_setup,support_negative_R_open,support_positive_R_open,support_min_Tkk_R_open,support_max_Tkk_R_open,support_max_abs_flux_R_open,support_max_abs_Rt_over_NR_R_open,support_negative_hold,support_positive_hold,support_min_Tkk_hold,support_max_Tkk_hold,support_max_abs_flux_hold,support_max_abs_Rt_over_NR_hold,support_negative_R_close,support_positive_R_close,support_min_Tkk_R_close,support_max_Tkk_R_close,support_max_abs_flux_R_close,support_max_abs_Rt_over_NR_R_close,support_negative_compensation,support_positive_compensation,support_min_Tkk_compensation,support_max_Tkk_compensation,support_max_abs_flux_compensation,support_max_abs_Rt_over_NR_compensation,support_negative_B_reset,support_positive_B_reset,support_min_Tkk_B_reset,support_max_Tkk_B_reset,support_max_abs_flux_B_reset,support_max_abs_Rt_over_NR_B_reset,shoulder_negative_full,shoulder_positive_full,shoulder_signed_min_full,shoulder_max_abs_flux_full,shoulder_max_abs_Rt_over_NR_full,shoulder_max_abs_Bt_over_NB_full,shoulder_negative_B_setup,shoulder_positive_B_setup,shoulder_min_Tkk_B_setup,shoulder_max_Tkk_B_setup,shoulder_max_abs_flux_B_setup,shoulder_max_abs_Rt_over_NR_B_setup,shoulder_negative_R_open,shoulder_positive_R_open,shoulder_min_Tkk_R_open,shoulder_max_Tkk_R_open,shoulder_max_abs_flux_R_open,shoulder_max_abs_Rt_over_NR_R_open,shoulder_negative_hold,shoulder_positive_hold,shoulder_min_Tkk_hold,shoulder_max_Tkk_hold,shoulder_max_abs_flux_hold,shoulder_max_abs_Rt_over_NR_hold,shoulder_negative_R_close,shoulder_positive_R_close,shoulder_min_Tkk_R_close,shoulder_max_Tkk_R_close,shoulder_max_abs_flux_R_close,shoulder_max_abs_Rt_over_NR_R_close,shoulder_negative_compensation,shoulder_positive_compensation,shoulder_min_Tkk_compensation,shoulder_max_Tkk_compensation,shoulder_max_abs_flux_compensation,shoulder_max_abs_Rt_over_NR_compensation,shoulder_negative_B_reset,shoulder_positive_B_reset,shoulder_min_Tkk_B_reset,shoulder_max_Tkk_B_reset,shoulder_max_abs_flux_B_reset,shoulder_max_abs_Rt_over_NR_B_reset,access_negative_full,access_positive_full,access_signed_min_full,access_max_abs_flux_full,access_max_abs_Rt_over_NR_full,access_max_abs_Bt_over_NB_full,access_negative_B_setup,access_positive_B_setup,access_min_Tkk_B_setup,access_max_Tkk_B_setup,access_max_abs_flux_B_setup,access_max_abs_Rt_over_NR_B_setup,access_negative_R_open,access_positive_R_open,access_min_Tkk_R_open,access_max_Tkk_R_open,access_max_abs_flux_R_open,access_max_abs_Rt_over_NR_R_open,access_negative_hold,access_positive_hold,access_min_Tkk_hold,access_max_Tkk_hold,access_max_abs_flux_hold,access_max_abs_Rt_over_NR_hold,access_negative_R_close,access_positive_R_close,access_min_Tkk_R_close,access_max_Tkk_R_close,access_max_abs_flux_R_close,access_max_abs_Rt_over_NR_R_close,access_negative_compensation,access_positive_compensation,access_min_Tkk_compensation,access_max_Tkk_compensation,access_max_abs_flux_compensation,access_max_abs_Rt_over_NR_compensation,access_negative_B_reset,access_positive_B_reset,access_min_Tkk_B_reset,access_max_Tkk_B_reset,access_max_abs_flux_B_reset,access_max_abs_Rt_over_NR_B_reset,access_hold_max_abs_flux,access_hold_max_abs_Rt_over_NR,access_hold_min_Tkk,access_comp_positive,access_comp_negative,access_comp_max_abs_flux,access_comp_max_abs_Rt_over_NR,core_open_negative,core_comp_positive,core_comp_to_open_neg_ratio,support_open_negative,support_comp_positive,support_comp_to_open_neg_ratio,shoulder_open_negative,shoulder_comp_positive,shoulder_comp_to_open_neg_ratio,access_open_negative,access_comp_to_open_neg_ratio
baseline_flare_gated_with_idle_comp,none,0.0,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.1156572566228938,0.013210393807046392,-0.1156572566228938,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.00011924085806402106,0.0,-6.799038269053278e-05,-3.151884976021849e-09,1.5346770057268354e-06,4.9994334413883794e-05,0.0055798679550413234,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.0734922654475807,0.029813676726379378,-2.0703228860914304,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.027787474490917785,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.019708453136751007,0.0,-0.0011720288471384578,-4.205510415961953e-05,2.4264889578279692e-06,0.0004549237718359427,0.9922248741584704,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,0.0,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,0.09266416617562187,0.0
shoulder_R_amp_-0.25,shoulder_R,-0.25,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.1156572564607298,0.013210393807046392,-0.1156572564607298,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.00011924069590071978,0.0,-6.799038269079782e-05,-3.151884976021849e-09,1.5346770058593575e-06,4.9994334413883794e-05,0.005579867955041356,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.10569915551448,0.06373144236658046,-2.1025297761583297,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.027783683681559895,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.051928771457777016,0.03390243336645651,-0.00259186925476676,0.0016081748164537258,0.0004977480659038252,0.027921846009604564,0.9922236989053944,0.0,-0.038412182788399724,-2.4224015666648118e-05,0.0012087983984098048,0.0003201415660160839,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861135219083866,0.03390243336645651,0.49412279869020465,0.09266416617562187,0.0
shoulder_R_amp_-0.15,shoulder_R,-0.15,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.11565725652559541,0.013210393807046392,-0.11565725652559541,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.0001192407607660562,0.0,-6.799038269066531e-05,-3.151884976021849e-09,1.5346770057930962e-06,4.9994334413883794e-05,0.00557986795504134,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.091052713013532,0.048554191289518225,-2.087883333657382,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.027785200005303053,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.03727773454113234,0.018740514563138844,-0.0016807509576792462,0.0009044692787544687,0.00028966887960272326,0.015817238112702088,0.992224037914025,0.0,-0.038412182788399724,-4.1805227561780045e-05,0.0012087983984098048,0.0001920849396099003,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861286851458182,0.018740514563138844,0.2731341068936078,0.09266416617562187,0.0
shoulder_R_amp_-0.08,shoulder_R,-0.08,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.11565725657100126,0.013210393807046392,-0.11565725657100126,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.00011924080617169254,0.0,-6.799038269062113e-05,-3.151884976021849e-09,1.5346770057710092e-06,4.9994334413883794e-05,0.005579867955041335,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.08184868439949,0.03826173401304145,-2.078679305043339,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.02778626143192326,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.028070428896184458,0.008448057286662066,-0.0011557853442220405,0.00043783346988670034,0.00015133571636937222,0.00813364767742427,0.9922243197465695,0.0,-0.038412182788399724,-4.1921814165671344e-05,0.0012087983984098048,0.00010244530112503021,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861392994120202,0.008448057286662066,0.12312452141863232,0.09266416617562187,0.0
shoulder_R_amp_+0.08,shoulder_R,0.08,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.1156572566750218,0.013210393807046392,-0.1156572566750218,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.00011924091019172069,0.0,-6.799038269044443e-05,-3.151884976021849e-09,1.5346770056826611e-06,4.9994334413883794e-05,0.005579867955041312,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.081327160809333,0.03561972106270213,-2.0781577814531826,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.02778868754991231,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.02753103355120371,0.0058060443363227455,-0.0012016934975809573,0.000350920080518042,0.00014485735788866662,0.007546438508471598,0.9922260659837576,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,0.00010244530112503021,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861635605919107,0.0058060443363227455,0.08461604010732122,0.09266416617562187,0.0
shoulder_R_amp_+0.15,shoulder_R,0.15,30,10,100,60,2.5,0.8,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,0.11565725672063382,0.013210393807046392,-0.11565725672063382,0.0008834307720932965,0.028779041639948138,0.04346674241831409,0.005579944812820994,0.0,-0.0002349248511840255,-3.1518858330152373e-09,7.900245023256044e-07,4.4408920949567504e-16,0.014939688641513175,0.006605196903523195,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.07356459701469517,0.0,-0.0012312066445974085,-0.000618748703122852,1.316020021096999e-06,4.2871265278759385e-05,0.015212684944247195,0.006605196903523196,-0.002270872532187569,0.0014562334000346633,0.0008834307720932965,0.028779041639948138,0.0001192409558034506,0.0,-6.799038269040026e-05,-3.151884976021849e-09,1.5346770056605741e-06,4.9994334413883794e-05,0.005579867955041307,0.0,-0.00023492485118402546,-3.1518849760324484e-09,7.900245023256044e-07,0.0,2.088352162509116,0.044072348327086355,-2.0851827831529652,0.0012087983984098048,0.17625009347134316,0.043455535621751536,0.9920678758053726,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,6.514585319757017e-16,0.028206344048591972,0.014773733418331318,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.012621324460686794,2.797986216869183e-05,-0.00021161383659142123,0.00020058817718280388,1.454365753552819e-06,0.00018110853377540485,0.027789829659887525,0.014879827281027944,-0.007490478213971278,0.0033790354649331678,0.0011274815366165863,0.17625009347134316,0.034535548529165114,0.01425867160070697,-0.001331589553463504,0.0007980458417351953,0.00026684440707368424,0.013738351882082401,0.9922290523155595,0.0,-0.038412182788399724,-4.203087739399804e-05,0.0012087983984098048,0.0001920849396099003,0.09357690088276889,0.0016006677803736204,-0.09357690088276889,0.00035992026261420253,0.0036706910939247844,0.04346674241831409,0.00014347590275914576,0.0,-6.075364836899118e-06,-3.1518858330152373e-09,6.1716011310213815e-09,4.4408920949567504e-16,0.009398371857845407,0.0008003338901868102,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,0.07356459701469517,0.0,-0.0012312066445974085,-0.0011324656035971894,5.729429691260389e-07,5.843229383333215e-06,0.009701197303081293,0.0008003338901868103,-0.0014069364169142248,0.0002630566985617641,0.00035992026261420253,0.0036706910939247844,4.1198357252685465e-06,0.0,-8.564050362355118e-06,-3.151884976021849e-09,5.84289446327629e-07,5.958947827496663e-06,0.00014338108518166447,0.0,-6.0753648363336855e-06,-3.1518849760324484e-09,6.1716011310213815e-09,0.0,5.729429691260389e-07,5.843229383333215e-06,-0.0012312066445974085,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861749816916629,0.01425867160070697,0.20779935120272566,0.09266416617562187,0.0
