label,clear,pkt_C0,pkt_C_perp,pkt_Rth,pkt_wth,pkt_Rpass,pkt_wpass,v1_B0,v1_wB,max_packet_norm,max_edge_gtt,max_release_packet_norm,rhoH_packet_p95_max,rhoH_edge_p95_max,R3_packet_p95_max,K_packet_p95_max,j_packet_p95_max,j_edge_p95_max,packet_fail_total,edge_fail_total,J_geom,J_dyn,J_total,rel_J_geom,rel_J_dyn,rel_J_total,rel_rhoH_packet_p95_max,rel_rhoH_edge_p95_max,rel_R3_packet_p95_max,rel_K_packet_p95_max,rel_j_packet_p95_max,rel_j_edge_p95_max
v01_geometry_baseline,True,100.0,1.0,0.75,0.05,0.35,0.05,8.0,10.0,-0.6958716950998312,-128.53309682569468,-3443.2650191365856,0.31527743894002724,0.21192329402068846,15.847572579806155,33.77343962875004,0.1502059444163521,2.6271044665833508e-05,0,0,1.107656067930335,0.8257010080360188,1.9333570759663539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C20_Cp3_B6_wB12,True,20.0,3.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7616150124545653,-3.0008543255067153,-2.49999853398111,0.09390808144828763,0.05970772105649179,4.7251672559329165,0.10000405999548637,0.0021853284540571906,0.00222373425421333,0,0,0.33016644424493347,0.006409143908180248,0.3365755881531137,0.2980766808435874,0.007762063804941689,0.17408868353244186,0.29785855202328965,0.281742133786685,0.298163471543521,0.002961026803747781,0.014548881287945124,84.6458251850708
C20_Cp3_B6_wB6,True,20.0,3.0,1.25,0.12,0.35,0.08,6.0,6.0,-0.7626632405005189,-3.0008543255077282,-2.500337332789956,0.09391958598471156,0.059696267044517026,4.725760255812338,0.10015738399246603,0.002196202127778782,0.0022347817880862533,0,0,0.33020759877532846,0.0064341315957143555,0.33664173037104284,0.2981138354546499,0.007792326196886132,0.1741228946043392,0.2978950422220892,0.2816880858726617,0.29820089051582327,0.0029655665840800493,0.01462127305488779,85.06634648574413
C35_Cp3_B6_wB6,True,35.0,3.0,1.25,0.12,0.35,0.08,6.0,6.0,-0.7639431841195131,-3.416103551730824,-2.8463265179071238,0.09328612739597512,0.06033011143043221,4.694031544842528,0.10460389948948728,0.0025761687421326502,0.0026204050047331944,0,0,0.32798770463810156,0.007288651736655591,0.33527635637475717,0.29610969879030175,0.008827228822200548,0.17341667534807315,0.2958858322041883,0.2846790000562309,0.29619877247471454,0.003097223754504471,0.017150910718898266,99.74498685014726
C35_Cp3_B6_wB12,True,35.0,3.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7628931968792947,-3.4161035517296705,-2.8459408371346906,0.09327661269084069,0.06033957432815182,4.693538191038697,0.10444307945945745,0.0025636014502845566,0.0026076391562724946,0,0,0.3279535222427756,0.007260102195746201,0.33521362443852176,0.2960788386737767,0.008792652697633017,0.1733842281933208,0.29585565337132785,0.2847236525224137,0.2961676412840324,0.003092462023635551,0.01706724364502229,99.25905838315704
C50_Cp3_B6_wB12,True,50.0,3.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7637089755265488,-3.7102687263418233,-3.0910085496950126,0.09294609083362915,0.06067018919558508,4.676951446203431,0.10690794899457447,0.0028525192804836437,0.002900465836527799,0,0,0.32679366314380076,0.007891144096902933,0.3346848072407037,0.2950317093955144,0.009556902583505996,0.17311070541556195,0.29480730097947017,0.28628372107911043,0.29512099866720654,0.003165444508162201,0.018990721649316467,110.4054244291231
C20_Cp4_B6_wB12,True,20.0,4.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7616150124545653,-3.0008543255067153,-2.49999853398111,0.08929411293529797,0.05442669441788933,4.494744386147554,0.11069802071511814,0.002762761729166961,0.0028185150253128674,0,0,0.31403133224267565,0.007795237168782191,0.3218265694114578,0.28350978370880586,0.009440750456782956,0.16645997442070992,0.28322392250935435,0.25682261437752124,0.2836235242661077,0.0032776649915422043,0.018393158405961157,107.2859896195317
C20_Cp5_B6_wB12_prior,True,20.0,5.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7616150124545653,-3.0008543255067153,-2.49999853398111,0.08635556774048125,0.05013191278957491,4.348268056380563,0.11899310302634428,0.0032375829792408543,0.0033080296443282653,0,0,0.30376897055950947,0.008925474684096005,0.31269444524360546,0.2742448485179198,0.01080957222678679,0.16173651992729318,0.273903416720243,0.23655687790829127,0.274380699913712,0.003523274630430298,0.02155429328593467,125.91922728640036
C100_Cp5_B4_wB6_prior_reserve,True,100.0,5.0,1.25,0.12,0.35,0.08,4.0,6.0,-0.7662376972520653,-4.356342895997958,-3.629689401236765,0.08748651344145185,0.049033737247610426,4.414662205302143,0.1904436047866655,0.011472316096643299,0.012898223104592418,0,0,0.30821962370655903,0.02817941129696903,0.3363990350035281,0.27826293073306596,0.03412786350351626,0.1739973640592931,0.2774905611247804,0.23137492966121806,0.2785702468356288,0.00563885724640697,0.07637724419776272,490.96727095009845
C20_Cp1_B6_wB12_noangular,True,20.0,1.0,1.25,0.12,0.35,0.08,6.0,12.0,-0.7616150124545653,-3.0008543255067153,-2.49999853398111,0.3152827410221349,0.1322171316074886,15.84783727317815,0.05916754722339302,0.00026653783114850924,0.00026653783114850924,0,0,1.1076746046810424,0.0017164266067648789,1.1093910312878072,1.0000167351141243,0.002078750770630045,0.5738159003728259,1.000016817194803,0.6238914519447836,1.0000167024552602,0.0017518958055141635,0.0017744825758007265,10.145688324878524
