X,r_mode,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,label,scenario,V,lambda_factor
1.0,always_open,0.08371191463535152,0.8411308951190848,0.10500058502026482,-6.891078888810037,0,-7.898395172263105,-7.898395172263105,0,-6.891078888810037,0.03477979214542498,0.0016105631302271875,0.05059084313123277,0.002424017924377476,1.7483780911534446,0.08057783871434879,C35_Cp3_B6_wB12,V5_lam575,5.0,5.75
1.25,always_open,0.08339241913488336,0.5,0.019292242724332276,-0.7631060956440936,0,-1.0160216902460875,-3.4161035517296705,0,-2.8459408371346906,0.0932596408234289,0.0025636014502845566,0.06033957432815182,0.0026076391562724946,4.693538191038697,0.10444307945945745,C35_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.05,always_open,0.8750000030381945,0.9996646498695335,0.9904617115004255,-41128.14742095543,0,-11789.64771174403,-11.892211636378022,0,,0.03506094184877163,1.5078754169183e-06,0.04647705793976759,7.997854143820861e-05,1.7623545575489556,0.012962095366005377,C35_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.35,always_open,0.2150235715503087,0.9975273768433652,0.9241418199787563,-42355.72155449516,0,-41249.84233274027,-11.829427547402808,0,,0.03378787326060224,3.1330913027839015e-07,0.04653055113273155,0.00014415047553376192,1.69836397847719,0.003474457708890747,C35_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.7,always_open,0.092020881319016,0.975075573352886,0.5,-29170.844611015156,0,-29219.356525937284,-11.189586677483682,0,-16721.114124320127,0.02762048000058358,3.5167455414771897e-07,0.047095373404550854,0.000588065066064937,1.3883567360722175,0.0011994880028700719,C35_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.0,always_open,0.08412876597360713,0.8411308951190848,0.10500058502026482,-7.013079238064781,0,-8.030452551301824,-8.030452551301824,0,-7.013079238064781,0.03477991227136235,0.0016036576148666117,0.05059059185151379,0.0024144181600160223,1.7483780911534446,0.08031049024341175,C35_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.25,always_open,0.08344886153896548,0.5,0.019292242724332276,-0.7628931968792947,0,-1.0161512685375866,-3.449941013935684,0,-2.879006232879509,0.09326061739562082,0.002550141163710653,0.06033859775595996,0.002593996051468989,4.693538191038697,0.10399996438445364,C35_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.05,always_open,0.8750000030381945,0.9996646498695335,0.9904617115004255,-158437.8973707523,0,-129159.5437432228,-16.07277397906602,0,,0.035060933164564434,7.869061292904813e-07,0.04647705632989867,6.809458844853063e-05,1.7623545575489556,0.006764620390741538,C35_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.35,always_open,0.2150235715503087,0.9975273768433652,0.9241418199787563,-156591.7548809443,0,-155288.51893528615,-15.97762512829136,0,,0.03378787655516926,1.6373811833548125e-07,0.04653054585187491,0.0001227706094641403,1.69836397847719,0.0018157142683860813,C35_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.7,always_open,0.092020881319016,0.975075573352886,0.5,-102191.23441381576,0,-102239.74632873789,-15.011504782747329,0,-54997.57048677327,0.027620479759474376,1.9629613343734146e-07,0.04709519796445926,0.0005025344449958707,1.3883567360722175,0.000641623966670515,C35_Cp3_B6_wB12,V10_lam115,10.0,11.5
1.0,always_open,0.08412876597360713,0.8411308951190848,0.10500058502026482,-9.329772856834122,0,-10.347146170071165,-10.347146170071165,0,-9.329772856834122,0.03478148913497397,0.0013906594759544434,0.050582155634052016,0.0021049684174606637,1.7483780911534446,0.07075090432786842,C35_Cp3_B6_wB12,V10_lam115,10.0,11.5
1.25,always_open,0.08344886153896548,0.5,0.019292242724332276,-0.7648760539008181,0,-1.01813412555911,-4.010954337351236,0,-3.4400195562950606,0.09327661269084069,0.0023289961933877874,0.0603226024607401,0.0023697212439201714,4.693538191038697,0.0964528726060512,C35_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.05,always_open,0.4583333349247685,0.9996646498695335,0.9904617115004255,-80720.27735640603,0,-64323.830435372955,-13.753994031373916,0,,0.03506003512429622,4.0394858617897464e-07,0.047144440587651416,5.121720877990133e-05,1.7623094917182955,0.0049613089691091065,C50_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.35,always_open,0.14571294748265748,0.9975273768433652,0.9241418199787563,-79804.77791914708,0,-78722.04771118095,-13.67712707771108,0,,0.033787021498760644,1.0892875166885108e-07,0.0471961972858185,0.00011938676611092845,1.6983209911702963,0.0017181440961715863,C50_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.7,always_open,0.08744892045338923,0.975075573352886,0.5,-53377.209662051224,0,-53464.20827191646,-12.895153829668358,0,-29627.07555284844,0.027619848010622658,1.846916868659566e-07,0.04774307609205469,0.0006806460732601372,1.3883249763490102,0.0008641541629091139,C50_Cp3_B6_wB12,V5_lam575,5.0,5.75
1.0,always_open,0.08371191463535152,0.8411308951190848,0.10500058502026482,-7.918396621369035,0,-9.075882986602352,-9.075882986602352,0,-7.918396621369035,0.03500471458285971,0.001931575111137926,0.05114308089158833,0.0028657671692022776,1.7596421317285893,0.09067777793314058,C50_Cp3_B6_wB12,V5_lam575,5.0,5.75
1.25,always_open,0.08339241913488336,0.5,0.019292242724332276,-0.7639221019487274,0,-1.0171081448159278,-3.7102687263418233,0,-3.0910085496950126,0.09292902595599577,0.0028525192804836437,0.06067018919558508,0.002900465836527799,4.676951446203431,0.10690794899457447,C50_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.05,always_open,0.8750000030381945,0.9996646498695335,0.9904617115004255,-83910.6690708396,0,-24054.23704042789,-14.027725088022253,0,,0.03506003927018437,7.390538835451058e-07,0.04714444469481397,9.676805332116785e-05,1.7623094917182955,0.009077097408258544,C50_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.35,always_open,0.2150235715503087,0.9975273768433652,0.9241418199787563,-86286.07758371459,0,-84030.75019919673,-13.948740629217571,0,,0.033787020409474997,1.5406158693604317e-07,0.04719620725375255,0.00017435762668957777,1.6983209911702963,0.0024300228564040766,C50_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.7,always_open,0.092020881319016,0.975075573352886,0.5,-57926.43091648796,0,-58022.76416037704,-13.145418827544116,0,-32006.5496134218,0.02761984801416465,1.870770761794176e-07,0.04774313274595208,0.0007089981162823405,1.3883249763490102,0.0008728674683542493,C50_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.0,always_open,0.08412876597360713,0.8411308951190848,0.10500058502026482,-8.058584706418142,0,-9.227627397148147,-9.227627397148147,0,-8.058584706418142,0.03500480233035968,0.0019235762678237692,0.05114281059221149,0.0028546714806206566,1.7596421317285893,0.09037691896636295,C50_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.25,always_open,0.08344886153896548,0.5,0.019292242724332276,-0.7637089755265488,0,-1.0172378616683735,-3.747019976970094,0,-3.1269212502025834,0.09293000788005543,0.002838125916459698,0.060669207271525416,0.0028858719417335994,4.676951446203431,0.10645437634947286,C50_Cp3_B6_wB12,V10_lam6,10.0,6.0
