xi_observer,side,s_frame,valid_fraction,energy_shift_max,energy_shift_p95,focusing_proxy_max,focusing_proxy_p95,risk_proxy_max,risk_proxy_p95,min_abs_dl_min
-0.28,-1,-0.1,0.0,,,,,,,0.0008276253627339862
-0.28,-1,-0.05,0.0,,,,,,,0.0008317183297858063
-0.28,-1,0.0,0.0,,,,,,,0.0008332147148970397
-0.28,-1,0.05000000000000002,0.0,,,,,,,0.0008225089403798284
-0.28,-1,0.1,0.0,,,,,,,0.0006865491109962528
-0.28,-1,0.15,0.0,,,,,,,1.0835486933967052e-05
-0.28,-1,0.20000000000000004,0.0,,,,,,,1.6270514454060574e-05
-0.28,-1,0.25,0.0,,,,,,,8.463709625821053e-06
-0.28,-1,0.30000000000000004,0.0,,,,,,,3.615720706199308e-06
-0.28,-1,0.35,0.0,,,,,,,4.444805188850721e-06
-0.28,-1,0.4,0.0,,,,,,,4.362741243434955e-06
-0.28,-1,0.45000000000000007,0.0,,,,,,,4.224111405877422e-06
-0.28,-1,0.5000000000000001,0.0,,,,,,,4.111033987133639e-06
-0.28,-1,0.55,0.0,,,,,,,4.048346679233212e-06
-0.28,-1,0.6000000000000001,0.0,,,,,,,4.06895801477053e-06
-0.28,-1,0.65,0.0,,,,,,,4.251318412774795e-06
-0.28,-1,0.7000000000000001,0.0,,,,,,,4.6564281938764785e-06
-0.28,-1,0.7500000000000001,0.0,,,,,,,5.042525355795725e-06
-0.28,-1,0.8,0.0,,,,,,,5.756696895228982e-06
-0.28,-1,0.8500000000000001,0.0,,,,,,,6.832245493769189e-06
-0.28,-1,0.9,0.0,,,,,,,8.249815749053759e-06
-0.28,-1,0.9500000000000001,0.0,,,,,,,9.984762386319195e-06
-0.28,-1,1.0,0.0,,,,,,,1.1964616490454246e-05
-0.28,-1,1.05,0.0,,,,,,,1.4054649746661227e-05
-0.28,-1,1.1,0.0,,,,,,,1.6006341166427292e-05
-0.28,-1,1.15,0.0,,,,,,,1.6883557621221036e-05
-0.28,-1,1.2,0.0,,,,,,,3.435463855676145e-09
-0.28,-1,1.25,0.0,,,,,,,4.3157020362116435e-07
-0.28,-1,1.3,0.0,,,,,,,2.7234665492551556e-05
-0.28,-1,1.35,0.0,,,,,,,2.6361115270409077e-05
-0.28,-1,1.4,0.0,,,,,,,0.0006510841967557798
-0.28,-1,1.45,0.0,,,,,,,0.00015402399009616406
-0.28,1,-0.1,0.0,,,,,,,0.0021827538666270617
-0.28,1,-0.05,0.0,,,,,,,0.0021868161907861706
-0.28,1,0.0,0.0,,,,,,,0.0021882903986873716
-0.28,1,0.05000000000000002,0.0,,,,,,,0.0021775598553682497
-0.28,1,0.1,0.0,,,,,,,0.002041479472921157
-0.28,1,0.15,0.0,,,,,,,0.0012024843224180863
-0.28,1,0.20000000000000004,0.0,,,,,,,0.00036295704227350464
-0.28,1,0.25,0.0,,,,,,,0.0002262482583349344
-0.28,1,0.30000000000000004,0.0,,,,,,,0.00021420227612759538
-0.28,1,0.35,0.0,,,,,,,0.00021319397813911658
-0.28,1,0.4,0.0,,,,,,,0.0002131027966099984
-0.28,1,0.45000000000000007,0.0,,,,,,,0.000213078443175907
-0.28,1,0.5000000000000001,0.0,,,,,,,0.0002130439779772857
-0.28,1,0.55,0.0,,,,,,,0.00021298192318795035
-0.28,1,0.6000000000000001,0.0,,,,,,,0.00021287857870908917
-0.28,1,0.65,0.0,,,,,,,0.00021275537513216043
-0.28,1,0.7000000000000001,0.0,,,,,,,0.00021274834825442277
-0.28,1,0.7500000000000001,0.0,,,,,,,0.00021256809649378866
-0.28,1,0.8,0.0,,,,,,,0.00021193826330633922
-0.28,1,0.8500000000000001,0.0,,,,,,,0.00021098525800171622
-0.28,1,0.9,0.0,,,,,,,0.00020972184113639267
-0.28,1,0.9500000000000001,0.0,,,,,,,0.00020814973392791256
-0.28,1,1.0,0.0,,,,,,,0.000206320292503265
-0.28,1,1.05,0.0,,,,,,,0.0002044462446958743
-0.28,1,1.1,0.0,,,,,,,0.00020382098966698599
-0.28,1,1.15,0.0,,,,,,,0.00021557860307016663
-0.28,1,1.2,0.0,,,,,,,0.0003731036396070687
-0.28,1,1.25,0.0,,,,,,,0.0062115684000785525
-0.28,1,1.3,1.0,0.46243588957990744,0.4500639795318321,1.6928403602940953,1.682802725539362,0.030310920413798487,0.029814997707121038,0.2075170440517258
-0.28,1,1.35,1.0,0.7753330418349685,0.7510291757460521,2.2654745982966875,2.2625231853361374,0.33161200107070393,0.31674342945759215,0.578657347585384
