screen,value
Phase A radial p99 focusing,2060.936924
Phase A2 all-angle p99 focusing,21.5274070331344
Phase A2 off-axis p99 focusing,17.65055466837654
Phase A radial max focusing,79682.224781
Phase A2 all-angle max focusing,23.473456284122605
Phase A2 off-axis max focusing,21.587419781465158
