label,closure,ns,nl,max_packet_norm_on_packet,positive_packet_points,max_gtt_support_edge,positive_gtt_support_edge_points,worst_service_edge_Tkk,worst_packet_support_Tkk,worst_packet_support_rho_pkt,worst_rho_overall,max_j_abs_overall,max_p_l_abs_overall,max_p_om_abs_overall,late_tail_edge_Tkk,late_tail_edge_max_p_om,angular_reset_edge_Tkk,par_a,par_R,par_w,par_x,par_wt
static_angular_closure,static,251,375,-0.7499999988643746,0,-1.0000042997657368,0,-1.2785606591224945,-1.316629803941928,-0.24029303794086912,-0.09691081260121784,0.28890818688375514,0.0779824740943034,1.2925464787933407,-0.014909202253865553,0.007435208657102866,-0.24992310342831772,,,,,
soft_angular_jacket_candidate,soft_jacket,251,375,-0.7499999988643746,0,-1.0000042997657368,0,-0.4185336215402369,-0.6146827458740916,-0.06196104885350683,-0.02822690905613672,0.19316788393548884,0.05127185947098548,1.2813871307182823,-0.03894982289160781,0.005280159371543268,-0.08582848749411984,0.35,1.25,0.7,2.0,0.6
