closure,region,phase,count,min_rho,max_rho,max_j_abs,max_p_l_abs,max_p_om_abs,min_rho_pkt,max_rho_pkt,min_rho_stat,max_rho_stat,min_Tkk_plus,max_Tkk_plus,min_Tkk_minus,max_Tkk_minus,min_Tkk_min,max_Tkk_min,min_packet_norm,max_packet_norm,min_gtt,max_gtt,label
static,core_throat,pre_catch,3672,0.013921758334405359,0.02546471130252531,0.0003718093033704406,0.025464999545282006,3.766693848763292e-05,0.01933617154976358,0.02546471011875022,0.013921758334405359,0.025464773112675528,-0.4491795536598602,0.652300668611133,-0.4491795536596328,0.03781842868443164,-0.4491795536598602,0.03781842868443164,-380443.0962697643,635362.152455267,-447599.0659853797,627774.1373636026,static_angular_closure
static,core_throat,catch,3672,0.013921757285661886,0.025464711301648707,0.00012087334637556069,0.025464953710985186,3.766850878254286e-05,0.008521761711447695,0.025464710167104797,0.013921757285661888,0.02546478759976718,-0.4493630549734462,0.14537795486103278,-0.4493630549554837,0.055841031729300994,-0.4493630549734462,0.019973936789028812,-433023.620099871,367732.13752305857,-447593.2134684855,376290.05126308237,static_angular_closure
static,core_throat,hold,2448,0.013921743472163454,0.025464711256261867,1.1021806378685994e-05,0.025464791278126397,3.7688689718043565e-05,0.013921516155143459,0.025464710252752487,0.013921743472238287,0.02546471163968501,-0.4517893676411404,-0.003147075196466176,-0.45177037491498595,0.007022556321317097,-0.4517893676411404,-0.003147075196466176,-444526.9482996157,-76777.32616286876,-447290.39287055767,-79549.88776875967,static_angular_closure
static,core_throat,shift_fade,3672,0.013920897128932663,0.02546471065773805,0.0004462877071260609,0.025464790894703257,3.860798314630558e-05,0.013920563302450055,0.025464710015843415,0.01392089947140181,0.02546471065773805,-0.5756997377845892,0.16300320153914072,-0.5718173645575462,0.1634452330545173,-0.5756997377845892,-0.01370486946143501,-443001.03822880244,-55718.57603434424,-443332.27821302746,-56237.96220177246,static_angular_closure
static,core_throat,throat_relax,4590,-0.004165915156688621,0.025464529608901002,0.28890818688375514,0.025464790894703257,1.1974268581716347,-0.16472832011113347,0.15191991392617554,-0.00416463593219497,0.025464529608901002,-1.316629803941928,1.2599577958464003,-1.3161881130468869,1.2596453215870351,-1.316629803941928,-0.014775617130914576,-109521.84287443789,-1.6817952900484334,-110379.1631145247,-2.101766494537966,static_angular_closure
static,core_throat,angular_reset,8262,-0.025453822798789695,-0.0019430156980109517,0.11885820723445384,0.025464790894703278,0.7475374702946419,-0.13199314709853255,0.11531395131724974,-0.025453822798789695,-0.0019430156977285245,-0.26476123724172956,0.22795388002160938,-0.2647612376092618,0.22795388018816334,-0.2647612376092618,-0.015276134469874237,-0.9766052806890657,-0.7500288823504642,-1.272888308132636,-1.0000349914403308,static_angular_closure
static,core_throat,late_tail,7803,-0.025457484419031458,-0.007615305602022521,2.067684032724398e-05,0.025464790894703274,0.025461097036046206,-0.042431576133002066,-0.012668521653045155,-0.025457484419031458,-0.007615305602022522,-0.05092227577381182,-0.015195173019973557,-0.05092227577381182,-0.015195173019950348,-0.05092227577381182,-0.01522965053961266,-0.7500281889018681,-0.750000006581772,-1.0000342087519904,-1.0000000079739322,static_angular_closure
static,support_edge,pre_catch,768,-0.06043274420776951,0.013754786618263536,2.658809994563005e-07,0.06262028237192815,0.7194775831564215,,,-0.06043274420776951,0.013754786618263532,-0.7086479985320437,-0.49279890203480425,-0.7086479985320189,-0.49279890203479504,-0.7086479985320437,-0.4927999848091917,185.46120503275387,146092.11245917963,-53794.92663240942,-4.004775126392133,static_angular_closure
static,support_edge,catch,768,-0.06043543913022959,0.013754786579850856,1.3762083857007079e-05,0.06262166403460413,0.719542621886054,-1.4166253679819967,0.013754226764888987,-0.060435439130229585,0.013754786579850856,-0.7087231189752998,-0.49274454849946175,-0.7087231189752714,-0.49274454849945326,-0.7087231189752998,-0.4928005919970623,-50747.019284294154,95003.41995410557,-53794.33777831692,-4.004529939693393,static_angular_closure
static,support_edge,hold,512,-0.06047083977830027,0.01375478459116582,0.00019103635975104108,0.06263980923618898,0.7203963283409801,-0.43593484306014907,0.013754664652614906,-0.06047083977830027,0.01375478459116582,-0.709708993623746,-0.4920308392558036,-0.7097089775820358,-0.49203083925579527,-0.709708993623746,-0.4928320180444019,-52921.13372721133,-0.9885044677824539,-53763.86761203734,-4.001310828219262,static_angular_closure
