family,center_s,center_l,start_span,min_span,final_span,compression_ratio,inverted,min_abs_null_speed,near_zero_samples,sample_count,near_zero_fraction,final_l_min,final_l_max,variant,width_factor,event
outgoing,0.9,1.25,0.040000000000000036,0.03906244900003264,0.05096417031422629,0.9765612250008151,False,0.7553631076798867,0,742,0.0,3.286796187992817,3.3377603583070434,active_rail,1.0,leading_packet_edge_positive_support_edge
ingoing,0.9,1.25,0.040000000000000036,0.040000000000000036,0.04967108868836012,1.0,False,0.7112040685755172,0,742,0.0,-0.6920144930114004,-0.6423434043230403,active_rail,1.0,leading_packet_edge_positive_support_edge
outgoing,1.6,1.25,0.040000000000000036,0.040000000000000036,0.04301165978623844,1.0,False,0.8829581617689176,0,497,0.0,2.622164835244702,2.6651764950309405,active_rail,1.0,trailing_packet_edge_positive_support_edge
ingoing,1.6,1.25,0.040000000000000036,0.03761841188488405,0.03761841194705011,0.9404602971221004,False,0.8829031339606325,0,497,0.0,-0.14016736462958004,-0.10254895268252993,active_rail,1.0,trailing_packet_edge_positive_support_edge
outgoing,0.7,1.25,0.040000000000000036,0.03855157803429443,0.050501115635126936,0.9637894508573599,False,0.7599429097773434,0,812,0.0,3.486634701884586,3.537135817519713,active_rail,1.0,shift_fade_positive_support_edge
ingoing,0.7,1.25,0.040000000000000036,0.040000000000000036,0.05179728304704989,1.0,False,0.6927047828779149,0,812,0.0,-0.8942275069505128,-0.8424302239034629,active_rail,1.0,shift_fade_positive_support_edge
outgoing,1.25,1.25,0.040000000000000036,0.040000000000000036,0.050413023677790214,1.0,False,0.7356317689123238,0,616,0.0,2.9477397298178554,2.9981527534956456,active_rail,1.0,throat_relax_positive_support_edge
ingoing,1.25,1.25,0.040000000000000036,0.037492830366664995,0.03749283341408538,0.937320759166624,False,0.7272981930348567,0,616,0.0,-0.3993734019959601,-0.36188056858187473,active_rail,1.0,throat_relax_positive_support_edge
outgoing,0.7,0.7,0.040000000000000036,0.03844900010864394,0.04867139308356183,0.9612250027160976,False,0.7338306844593238,0,812,0.0,2.9249914590388655,2.9736628521224273,active_rail,1.0,packet_center_shift_fade
ingoing,0.7,0.7,0.040000000000000036,0.037997837562744545,0.03801125863442878,0.9499459390686128,False,0.6807954556315989,0,812,0.0,-1.4127712000926125,-1.3747599414581837,active_rail,1.0,packet_center_shift_fade
