lcut,shoulder_weight,ring_weight,score,rank1_positive_eigen_fraction,negative_eigenvalue_abs_sum,shoulder_pos_ratio,core_line_open_activity_ratio,access_mean_open_activity_ratio,support_mean_open_activity_ratio,support_ring_mean_open_activity_ratio,shoulder_mean_open_activity_ratio,matching_mean_open_activity_ratio
1.1,20,1.4,1.2885357280592546,0.5977650617518031,2.7952860336960184,0.14548473447850635,0.611675042305445,0.731911731326912,0.7962011366891263,0.6759584424056311,0.4206846251970154,0.0028214709972857817
0.95,20,1.4,1.2912870859934527,0.6046304491924994,2.711081885911911,0.14647360532616643,0.6111674025632092,0.729706012864156,0.7680905277016419,0.6930022953152845,0.4111621021974535,0.002791220676747404
0.8,20,1.4,1.3546203063904851,0.6238513808369149,2.5229837534827806,0.14167475399576449,0.6114748716259626,0.7256261373244626,0.7043699378660915,0.744643143102379,0.4010108984230055,0.0027102644863049607
1.3,20,1.4,1.4001693663083596,0.6050685477229161,2.7586895182816393,0.11773894636857425,0.6170536053149691,0.7402843614772738,0.814834198148167,0.6557533664078646,0.47548605815636064,0.002850127927726063
1.1,20,0.8,1.8668976475102443,0.6771468174623906,3.3277692684934244,0.12285230918836455,0.733162628275923,0.8284549029150621,0.5829314884662973,1.220405634211169,0.35340528000091326,0.002647631047756544
0.95,20,0.8,1.8905446215652832,0.6792285536375683,3.254763735679177,0.12446404463757765,0.7332568200616988,0.8276936585115608,0.5636933619348987,1.2264247242984914,0.3449977283190156,0.0026131346144074833
1.3,20,0.8,1.9484782545916952,0.7004028319330337,3.2597063043056798,0.10055225229277666,0.7376315047351254,0.834427146309072,0.5993005059474174,1.198680142588733,0.4197936679804074,0.0026718744896836307
0.8,20,0.8,2.0014368447295454,0.6913306699080699,3.0615372134415697,0.1207199429019271,0.7347325420481629,0.8260677852025845,0.5146918497503892,1.248322686701382,0.33689392663612133,0.002521596920070025
0.95,10,0.8,2.0748682601195596,0.6169022811618184,2.249217452045009,0.21116606191080928,0.7812991529874442,0.9278881338605637,0.8352648608798082,0.8688323933401364,0.6354612355404579,0.003523614721781804
1.1,10,0.8,2.0882352696117565,0.6223952955959926,2.3014339144096545,0.20981080983844985,0.7813566065611864,0.929072751570934,0.8566746075600562,0.8508252544270117,0.6435945276156966,0.003543501713587802
0.8,10,0.8,2.1330222711288256,0.6084766865690667,2.129998071919862,0.20873918279849465,0.7816630456021255,0.9242736598979621,0.7787825259303927,0.9147089078282773,0.6308058103028815,0.00344465878000127
1.3,10,0.8,2.373274516959351,0.6286346147776605,2.3098085966977346,0.1875225084789911,0.7839824473157321,0.9334377513737688,0.8709547157601095,0.8326975746550647,0.7044525834205484,0.0035552863948091745
0.8,10,1.4,2.936595678665523,0.4920816458932049,2.0735573794648934,0.26487352655069407,0.6835994318352022,0.8563498889099126,0.937767096695272,0.5032756589142036,0.789753691972743,0.0036609660729497342
0.95,10,1.4,2.9582924596314104,0.4883650561133182,2.202777601526134,0.2656599847673045,0.685311128121202,0.8622360227122436,1.0097630084295393,0.45290013243481325,0.7900522936864359,0.003807508376614002
1.1,10,1.4,3.0097478437041545,0.48899505995602877,2.271376344164886,0.2633619579668525,0.6863921002175986,0.8649341786512857,1.040965412998914,0.4368051660541809,0.7954306399627482,0.0038571327591614196
1.3,10,1.4,3.384734340968099,0.499946893319319,2.3038840984388718,0.24013323463212405,0.6896577139479395,0.8708708650243632,1.0586520914539175,0.4278379474238807,0.8528438858892947,0.003865242775048441
0.8,4,0.8,8.214119359825153,0.495746973873039,2.07089891465599,0.4332736113727623,0.8284689638191725,1.0166361230336334,0.9379674780817564,0.6348026838603434,1.3069556979720165,0.003807655508986578
0.95,4,0.8,8.238296278669042,0.5086450164967974,2.1712531601266747,0.4362055512175713,0.8255689709596954,1.0200333510791912,0.9974965358868335,0.603805580641132,1.30699161957099,0.003915048616779195
1.1,4,0.8,8.31266727333366,0.5154791481515549,2.223878126483644,0.4351244771614839,0.824576280777435,1.0209042868779905,1.0196576545719607,0.595871861420546,1.3124003371815949,0.003944975169658292
1.3,4,0.8,8.669782692081226,0.5244042041847792,2.232124539848705,0.40629074694262934,0.8258307254626527,1.022567577007773,1.0309492430518237,0.592748900165181,1.3486729602563525,0.00395172198532593
0.95,4,1.4,11.619956733343098,0.4523845346323737,2.4327870206766113,0.5250479883629817,0.757574796285197,0.9917834415933947,1.1596985303981249,0.3213605679318088,1.527436106726805,0.004203621899059177
1.1,4,1.4,11.635995170496827,0.44376240131930783,2.485408292373976,0.5215240045532051,0.756300468316478,0.9931042338413345,1.1916398974765896,0.3643544149394676,1.525879705365397,0.004264495716450655
0.8,4,1.4,11.667466036698393,0.47460824905174187,2.3403330753228833,0.5264186200285693,0.7609012826236126,0.9876765480718336,1.0851647369217825,0.31685952125895595,1.5377600648753846,0.004053546853881894
1.3,4,1.4,11.996170974219488,0.44337087018214283,2.4879795351967777,0.4916045912343603,0.757733666756005,0.9951472185754346,1.206975166232456,0.3856788566822259,1.5573691399823189,0.004281899047443563
