t,phase,core_line_target_Tkk,core_line_nmc_Tkk,core_line_infra_Tkk,access_mean_target_Tkk,access_mean_nmc_Tkk,access_mean_infra_Tkk,support_mean_target_Tkk,support_mean_nmc_Tkk,support_mean_infra_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_Tkk,support_ring_mean_infra_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_Tkk,shoulder_mean_infra_Tkk
0.0,B_setup,-0.00019748363529688978,0.0,-0.00019748363529688978,-0.0007849901106114925,0.0,-0.0007849901106114925,-0.014950965494058006,0.0,-0.014950965494058006,-0.03588588456365037,0.0,-0.03588588456365037,-0.009568699304188157,0.0,-0.009568699304188157
1.21875,B_setup,-0.0001974689660777193,0.0,-0.0001974689660777193,-0.0007847093634832911,0.0,-0.0007847093634832911,-0.014942569642269941,0.0,-0.014942569642269941,-0.035873150414075204,0.0,-0.035873150414075204,-0.00956789334478697,0.0,-0.00956789334478697
2.4375,B_setup,-0.0001973678400947302,0.0,-0.0001973678400947302,-0.0007836445812823099,0.0,-0.0007836445812823099,-0.014913417806342755,0.0,-0.014913417806342755,-0.03582567835691129,0.0,-0.03582567835691129,-0.009568163832355897,0.0,-0.009568163832355897
3.65625,B_setup,-0.00019709811297237426,0.0,-0.00019709811297237426,-0.0007814691885749374,0.0,-0.0007814691885749374,-0.014857192410692863,0.0,-0.014857192410692863,-0.03572812649371182,0.0,-0.03572812649371182,-0.009563114911295106,0.0,-0.009563114911295106
4.875,B_setup,-0.00019658297003852425,0.0,-0.00019658297003852425,-0.0007778802599673236,0.0,-0.0007778802599673236,-0.014768131104067737,0.0,-0.014768131104067737,-0.03556653554483624,0.0,-0.03556653554483624,-0.009548416385616085,0.0,-0.009548416385616085
6.09375,B_setup,-0.00019575201298385812,0.0,-0.00019575201298385812,-0.0007726014552573796,0.0,-0.0007726014552573796,-0.014640989136431883,0.0,-0.014640989136431883,-0.03532814593621707,0.0,-0.03532814593621707,-0.009519954316535212,0.0,-0.009519954316535212
7.3125,B_setup,-0.00019454261886523233,0.0,-0.00019454261886523233,-0.0007653883957804514,0.0,-0.0007653883957804514,-0.014471140580979012,0.0,-0.014471140580979012,-0.035001640068475046,0.0,-0.035001640068475046,-0.009473874244495707,0.0,-0.009473874244495707
8.53125,B_setup,-0.00019290143859031155,0.0,-0.00019290143859031155,-0.0007560346003330848,0.0,-0.0007560346003330848,-0.014254690722788498,0.0,-0.014254690722788498,-0.034577412032420825,0.0,-0.034577412032420825,-0.009406642122557034,0.0,-0.009406642122557034
10.96875,B_setup,-0.0001881654988430811,0.0,-0.0001881654988430811,-0.0007303032853885981,0.0,-0.0007303032853885981,-0.013670729183395958,0.0,-0.013670729183395958,-0.03340752460639304,0.0,-0.03340752460639304,-0.009196626910647304,0.0,-0.009196626910647304
12.1875,B_setup,-0.000185022936219037,0.0,-0.000185022936219037,-0.0007137519742416937,0.0,-0.0007137519742416937,-0.013300031931800111,0.0,-0.013300031931800111,-0.03265349581436972,0.0,-0.03265349581436972,-0.009049045446630601,0.0,-0.009049045446630601
