A_open_ring_comp,A_support_setup_reset,A_shoulder_setup_reset,support_full_residual_ratio,support_ring_full_residual_ratio,shoulder_full_residual_ratio,access_full_residual_ratio,core_full_residual_ratio,support_ring_setup_reset_ratio,shoulder_setup_reset_ratio,support_setup_reset_ratio,support_ring_open_residual_neg_fraction,shoulder_open_neg_fraction_carried_by_nmc,score
0.006,0.02,0.011,2.0814657501026597,0.9878383853134115,1.1367553188199493,2.6415773640296956,2.7930334204436917,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9236812288286423
0.0055,0.02,0.011,2.077137095984843,0.9855322765676837,1.1367553021222903,2.639629736100189,2.7930331511202793,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9286712530868879
0.005,0.02,0.011,2.0728084418670267,0.9832262226181075,1.1367552854246312,2.637682108170682,2.7930328817968677,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9358362571989152
0.006,0.02,0.012,2.081569296823572,0.9882962873080172,1.289132187075128,2.641577368327812,2.7930334204530958,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9407225891183401
0.0045,0.02,0.011,2.0684797877492103,0.9809202234627302,1.136755268726972,2.635734480241175,2.793032612473456,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9451760887866523
0.0055,0.02,0.012,2.0772406091523274,0.9859900403585683,1.2891321700243845,2.6396297403974343,2.7930331511296838,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9452879686893668
0.005,0.02,0.012,2.0729119214810825,0.9836838482117101,1.2891321529736406,2.637682112467056,2.7930328818062717,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9520285949843533
0.004,0.02,0.011,2.064151133631394,0.9786142790995987,1.1367552520293132,2.633786852311668,2.793032343150044,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9566905954828916
0.0045,0.02,0.012,2.0685832338098376,0.9813777108654888,1.289132135922897,2.635734484536678,2.79303261248286,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9609443155978362
0.0035,0.02,0.011,2.059822479513577,0.97630838952676,1.1367552353316541,2.631839224382161,2.793032073826632,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9703796249312876
0.004,0.02,0.012,2.0642545461385926,0.9790716283179512,1.2891321188721534,2.6337868566062994,2.793032343159448,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9720349781352117
0.006,0.02,0.01,2.0813622049870015,0.9873805360363922,0.9898065700609084,2.64157735973158,2.7930334204342864,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,0.9721739588641041
0.0055,0.02,0.01,2.077033584422093,0.985074565477848,0.9898065537218809,2.639629731802944,2.7930331511108744,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,0.977588594369245
0.005,0.02,0.01,2.0727049638571846,0.982768649709018,0.9898065373828542,2.6376821038743086,2.7930328817874623,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,0.9851779429076394
0.0035,0.02,0.012,2.059925858467348,0.9767656005671443,1.2891321018214097,2.631839228675921,2.7930320738360366,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,0.9853004302127425
0.003,0.02,0.011,2.0554938253957604,0.9740025547422616,1.136755218633995,2.629891596452654,2.7930318045032205,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,0.9862430247863527
0.0045,0.02,0.01,2.0683763432922757,0.9804627887279496,0.9898065210438268,2.635734475945673,2.7930326124640508,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,0.9949418521286137
0.003,0.02,0.012,2.055597170796103,0.9744596276111149,1.2891320847706662,2.6298916007455424,2.7930318045126246,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,1.0007405194575514
0.0025,0.02,0.011,2.0511651712779435,0.9716967747441508,1.136755201936336,2.627943968523147,2.793031535179809,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,1.0042806427134583
0.004,0.02,0.01,2.0640477227273673,0.97815698253269,0.9898065047047995,2.633786848017037,2.7930323431406388,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,1.0068801696923468
0.006,0.02,0.013,2.0816728451497752,0.9887542420293142,1.446713411208181,2.641577372625929,2.7930334204625,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.007346747710862
0.0055,0.02,0.013,2.077344123924582,0.9864478568596042,1.4467133938096333,2.6396297446946795,2.793033151139088,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.0114873825088524
0.005,0.02,0.013,2.0730154026993883,0.9841415264989245,1.4467133764110853,2.63768211676343,2.7930328818156758,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.0178035309505504
0.0025,0.02,0.012,2.051268483124858,0.9721537094479099,1.2891320677199223,2.6279439728151646,2.793031535189213,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,1.0183550935076269
