observer_family,v01_rel_error,v03_rel_error,v01_correlation,v03_correlation,v01_fit_min,v03_fit_min,v01_fit_max,v03_fit_max
core_line,0.1434639996019678,0.2383528558730748,0.9994792761635792,0.9876203927054524,-0.0010470702420065,-0.0009834292218879,0.0,3.559085240422907e-05
access_mean,0.0825480345511472,0.1534361251256323,0.9967314858524384,0.9875652497874472,-0.001398415479806,-0.0016907066002719,0.0,1.183566278793275e-05
support_mean,0.255663149209533,0.4398996960287401,0.9797261578064794,0.9004851958298866,-0.0027197742508341,-0.0031283177471207,0.0,0.0
support_ring_mean,0.6456929528010522,1.956425385965824,0.8128372388559337,0.1539820707992497,-0.0050639761761887,-0.0061091623043671,0.0009878132026328,0.0014584265117275
shoulder_mean,3.457367867552569,832836440.5943284,0.6779802119270253,0.1721500090501067,-0.0038661115677098,-0.0009691899899382,0.0029065107601091,0.00048404650816
matching_mean,0.9888684524361592,563673.8754724549,0.8995459783624021,,-1.3960655258977557e-06,-1.6699603762371737e-07,0.0,2.501139754866642e-07
