ansatz,zone,max_source_Tkk,max_rho,max_required_flux_completion,rms_conservation_residual_flux_completed,max_abs_conservation_residual_flux_completed,rms_zero_flux_exchange_term,max_zero_flux_exchange_term
open_compensation_overlay,access,0.008198360082001335,0.004099180041000667,0.0010892142878268873,1.4581876844089964e-08,1.717472071235222e-07,0.00010230997861040061,0.0006307779388889925
open_compensation_overlay,support,0.008198360082001335,0.004099180041000667,0.0033120865762163425,7.93328660464974e-08,7.556792659388139e-07,9.47829615805282e-05,0.0006307779388889925
open_compensation_overlay,shoulder,0.0018996200185136976,0.0009498100092568488,0.0031578221347923824,3.0772229088382954e-08,8.315616238022935e-07,1.617141992904527e-05,0.00014615586385147302
open_compensation_overlay,global,0.008198360082001335,0.004099180041000667,0.003637119031458092,2.782523681192554e-08,9.977556263132605e-07,2.1173808884263226e-05,0.0006307779388889925
