setup_support_amp,setup_shoulder_amp,support_setup_reset_ratio,shoulder_setup_reset_ratio,support_full_ratio,shoulder_full_ratio,core_full_ratio,access_setup_reset_pos_overlay,support_setup_reset_pos_overlay,access_setup_reset_neg_total,support_setup_reset_neg_total,shoulder_setup_reset_neg_total,shoulder_setup_reset_pos_overlay,access_leakage_fraction_vs_support_setup,ledger_balance_error,passes_setup_reset_ledger,score
0.0055,0.007,0.8777619152499951,0.9974882441248172,0.934181454269961,1.0327723886412072,1.0833374268117004,0.01338960352483066,0.44302010500700695,0.0065512269309327305,0.5047155695754123,0.5687176205771567,0.567289140752353,0.03022346700183924,0.047708432780955955,False,-0.10878036678463444
0.0055,0.0071,0.8777688342520787,1.0141882111451355,0.9341877338686434,1.0498206679447202,1.0833374268119724,0.013389603544793603,0.44302318044651773,0.00655122692920674,0.5047150948620818,0.5673436374471807,0.5753932287671315,0.030223257237461824,0.045228635952040505,False,-0.10630515042696416
0.0055,0.0072,0.8777757532671778,1.0309405633941209,0.9341940134779653,1.0669228546805103,1.0833374268122442,0.013389603564756547,0.4430262558860285,0.006551226927480749,0.5047146201487512,0.5659854093439548,0.58349731678191,0.030223047475996734,0.04330147428674364,False,-0.10438256923873711
0.0055,0.0073,0.8777826722952924,1.0477488007113192,0.9342002930979264,1.0840826445321992,1.0833374268125162,0.01338960358471949,0.4430293313255393,0.006551226925754758,0.5047141454354207,0.5646404981757533,0.5916014047966884,0.030222837717443902,0.04193198747959135,False,-0.10301766291447916
0.0055,0.0074,0.8777895913364226,1.0646138252958368,0.9342065727285273,1.1013010003985273,1.0833374268127878,0.013389603604682433,0.44303240676505007,0.006551226924028767,0.5047136707220901,0.5633080076194001,0.599705492811467,0.03022262796180327,0.041125783743918023,False,-0.10221603966752457
0.0055,0.007500000000000001,0.8777965103905682,1.081535182463972,0.9342128523697671,1.1185774584895396,1.08333742681306,0.013389603624645377,0.4430354822045609,0.006551226922302776,0.5047131960087596,0.561987802783745,0.6078095808262456,0.03022241820907478,0.04088860799542932,False,-0.10198344441357889
0.0055,0.0076,0.8778034294577294,1.0985118229709199,0.934219132021647,1.1359109303325916,1.083337426813332,0.013389603644608322,0.44303855764407163,0.006551226920576785,0.504712721295429,0.560680054562624,0.615913668841024,0.030222208459258375,0.04122614072876212,False,-0.10232555764727887
0.0055,0.0077,0.8778103485379065,1.1155370065660422,0.934225411684166,1.1532943506052338,1.0833374268136036,0.013389603664571263,0.4430416330835825,0.006551226918850795,0.5047122465820985,0.5593877685660249,0.6240177568558025,0.030221998712353974,0.04214353399403779,False,-0.10324753141874574
0.0055,0.0078000000000000005,0.877817267631099,1.132618846386424,0.9342316913573245,1.1707362555469594,1.0833374268138756,0.01338960368453421,0.4430447085230933,0.006551226917124803,0.5047117718687679,0.5581064158408982,0.632121844870581,0.03022178896836155,0.043646600263192746,False,-0.10475517819991584
0.0055,0.0079,0.8778241867373071,1.1497559805372097,0.9342379710411224,1.188235227405201,1.0833374268141476,0.013389603704497152,0.443047783962604,0.006551226915398813,0.5047112971554374,0.556836358082017,0.6402259328853594,0.030221579227281015,0.045740956289138865,False,-0.1068541147437009
