observer_family,B_setup_neg_total,B_setup_pos_total,B_setup_neg_centroid,B_setup_pos_centroid,B_setup_pos_overlay,R_open_neg_total,R_open_pos_total,R_open_neg_centroid,R_open_pos_centroid,R_open_pos_overlay,hold_neg_total,hold_pos_total,hold_neg_centroid,hold_pos_centroid,hold_pos_overlay,R_close_neg_total,R_close_pos_total,R_close_neg_centroid,R_close_pos_centroid,R_close_pos_overlay,comp_neg_total,comp_pos_total,comp_neg_centroid,comp_pos_centroid,comp_pos_overlay,B_reset_neg_total,B_reset_pos_total,B_reset_neg_centroid,B_reset_pos_centroid,B_reset_pos_overlay,open_interval_neg_total,open_interval_pos_total,open_interval_neg_centroid,open_interval_pos_centroid,open_interval_pos_overlay,setup_reset_neg_total,setup_reset_pos_total,setup_reset_neg_centroid,setup_reset_pos_centroid,setup_reset_pos_overlay,full_cycle_neg_total,full_cycle_pos_total,full_cycle_neg_centroid,full_cycle_pos_centroid,full_cycle_pos_overlay,open_comp_ratio,setup_reset_comp_ratio,full_cycle_overlay_to_total_neg_ratio
core_line,1.0451641488499602e-05,1.3226170148129476e-07,20.47584302030133,95.61684543084719,1.1852361631987174e-06,0.0030009782445798738,0.0,153.52525817705157,,0.0,0.07425908460659283,0.0,185.03333333333336,,0.0,0.002918248423977843,0.0,216.51328827760815,,0.0,0.0,0.08746523195632538,,229.99998332372743,0.08746533235571206,1.0451641488586795e-05,1.3226170149632912e-07,369.52415697990415,294.3831545696727,1.1852361631987174e-06,0.08071637980312371,0.0,185.00001194882347,,0.0,2.1362248825919717e-05,2.645234029776239e-07,195.00000000081087,195.00000000590845,2.3704751033182227e-06,0.08073732607344433,0.08746690623797365,185.00258877632263,229.999895852097,0.0874691136895804,1.0836131720605993,0.11096561614482552,1.0833614027698606
access_mean,0.002489820381628063,0.010346748158178962,11.819041679314557,80.51857966044278,0.012172352109442779,0.005169863888207348,0.0,152.94181693704775,,0.0,0.07169593382378053,0.0,185.03304837655284,,0.0,0.005095818115597088,0.0,217.0902504425143,,0.0,4.2337153635322505e-07,0.08734902970762894,220.13333333333335,230.00003803613853,0.08738705782727677,0.0024880049071035132,0.010346748158178959,378.2817204987564,309.4814203395572,0.012172352109442779,0.08247320408195954,0.0,185.00175265584664,,0.0,0.00581612919341801,0.02069349631635792,189.82101535892014,194.99999999999994,0.02434473273780749,0.08746657150939023,0.10804310641824884,185.56865217248364,223.29653361718857,0.11173317171364361,1.059581215499193,4.185727642596682,1.2774227757754022
support_mean,0.22074196255317743,0.3026712832856081,14.173531022542935,83.25074710250408,0.40267238608392186,0.008708964460157754,0.0,152.03703056634097,,0.0,0.05605018107810211,0.0,185.02998739844986,,0.0,0.008705616486644288,0.0,217.9852686386677,,0.0,0.00010241128605964673,0.07778119769937243,229.04373228261184,230.00002077802233,0.080468467134422,0.22072624624027282,0.30267128328560816,375.83613352634165,306.7492528974959,0.40267238608392186,0.07378763736030415,0.0,185.01833761371728,,0.0,0.4599057691724322,0.6053425665712162,194.4375552073287,195.00000000000003,0.8053457155995025,0.5155620259797415,0.6831237642705887,193.57454211271792,198.98513955743334,0.8858145395685717,1.090541315769393,1.7511102699334762,1.718152497850433
support_ring_mean,0.819940756895791,0.3879656173051109,16.258287940270424,86.40452343430941,0.6280994203327384,0.01205581800301548,0.0007740033728853158,151.64900290127613,154.26147871506856,0.0,0.040510767483080426,0.0,185.02410055028713,,0.0,0.012142030237835132,0.0007734826432140269,218.3645604525943,215.75735605821808,0.0,0.0007923620504808162,0.056687074691804666,229.694839706931,229.99991672321474,0.06510685033467849,0.819908233600161,0.3879656173051108,373.74701346783365,303.59547656569066,0.6280994203327385,0.064836521966747,0.0015506082922688077,185.04993949486027,185.05978204625436,0.0,1.6936097785519368,0.7759312346102218,194.68431982201707,194.99999999999997,1.2562003122560268,1.7060095012008838,0.8341689175942951,194.63633263385142,197.35998904728703,1.3213067447451645,1.0041693841638997,0.7417294870191982,0.7745016435492406
shoulder_mean,0.26933213506139386,0.20710782904996533,16.491225251663113,86.28168937800147,0.3241658496772355,0.002600515372583692,0.0006724633173001787,151.41787469614306,154.07957196947146,0.0,0.002411332503199539,2.419952149058854e-06,185.0162893313068,214.93333333333337,0.0,0.0026240323800060792,0.000658409602226922,218.59784162654014,215.92656479334048,0.0,0.0003728105738191919,0.008239723877150221,229.80070875366056,229.99988403018844,0.011031747209591372,0.26932229677807346,0.20710782904996528,373.51364835677236,303.71831062199857,0.32416584967723544,0.007636428841708402,0.0013682863762309984,185.11181742259336,184.928246569396,0.0,0.5555763497202322,0.4142156580999306,194.70923944308066,195.00000000000003,0.6483324588511137,0.5468281784983713,0.42382366835331187,194.88423181210968,195.64793063163302,0.659363626337625,1.4446212278358548,1.1669547474034647,1.205797784363206
matching_mean,0.03518858721269687,0.0,50.15694163523092,,2.423822948690931e-13,0.00016967676838300924,0.0,152.5333333238483,,0.0,0.0021286721766972283,0.0,185.03333333333345,,0.0,0.00016967676770773756,0.0,217.5333333333333,,0.0,0.0007018448125357335,0.0,229.99166667615134,,8.187010427660022e-15,0.03518858721269694,0.0,339.8430583647692,,2.423822948690931e-13,0.0024834508734886927,0.0,185.03333332384818,,0.0,0.07358565089048447,0.0,194.99999999999952,,4.847651576220005e-13,0.07358560795727978,0.0,194.9999999999899,,4.929517335917097e-13,3.296626687910201e-12,6.587767475801183e-12,6.699029630030886e-12
