variant,V,Delta,cases,timelike_fail_cases,gtt_fail_cases,worst_max_worldline_norm,worst_max_abs_v_rel,median_max_abs_tidal,worst_max_abs_tidal,median_I_neg_nec,worst_I_neg_nec,median_I_flux,worst_I_flux
U_coupled_shift,2.0,0.1,36,17,0,7.413006187504763,1.950765185176803,6414.719262601249,7.295260116962157e+63,92.86968275968634,498.33536231781875,41.055329912711485,117.93726716282698
U_coupled_shift,2.0,0.3,36,13,0,6.971396541445664,1.8746312606736413,309.8269756204734,1.0942981078470683e+63,38.52158250426545,155.23985517790553,12.604360157534149,15.358666312415505
U_coupled_shift,5.0,0.1,36,18,0,149.3199145898627,4.729708699567843,7.502050678194155e+58,1.6033755886678922e+65,46.02840417220365,478.0192067434985,40.90956579726681,96.5848974536027
U_coupled_shift,5.0,0.3,36,17,0,194.8840639317611,4.526120088846451,5202.53799777911,5.978195482377034e+64,29.48527136682943,145.3565191812677,15.22117408958394,17.572021102220592
U_coupled_shift,10.0,0.1,36,18,0,206.40514521020282,9.58211886817874,1.5850567576105132e+61,2.3764437180774814e+66,35.673608390768344,473.14571181041737,48.3563462021946,133.29961120360556
U_coupled_shift,10.0,0.3,36,17,1,609.285657123066,8.987470277931887,463.28384846891436,8.173024957230002e+65,30.40748619258457,141.29972611767514,17.063087173198753,30.38331533655258
V_fixed_shift,2.0,0.1,36,16,0,7.322626799582617,1.9506869154559485,4553.942889264705,7.132493725930404e+63,105.61388655276397,513.922035564531,97.5022466472619,279.25404472702354
V_fixed_shift,2.0,0.3,36,13,0,6.843125534680306,1.8742198593149895,276.97285531902355,1.0923148317048407e+63,41.12384062963104,158.8807414296015,23.437097325730218,83.27099720806223
V_fixed_shift,5.0,0.1,36,18,0,133.08708380362438,4.729707461879565,7.845570111929776e+58,1.550141701222143e+65,56.296398310403205,517.4435961167552,180.27731393854077,581.9181190766146
V_fixed_shift,5.0,0.3,36,17,0,189.720461686021,4.524383525124809,555.9259026099254,6.231370123179722e+64,33.682458282470066,154.4586371976259,56.33971696347682,174.71469312170075
V_fixed_shift,10.0,0.1,36,35,21,3482.7098510400256,9.581958990734602,1.4333130812476544e+62,1.442898013100068e+66,43.23779482090651,554.0900058754487,64.94963251132626,809.6943913601154
V_fixed_shift,10.0,0.3,36,35,25,3909.5907172333755,8.981310286287915,1.3904268915472586e+61,7.729626298896976e+65,36.99824835961239,160.47819519287083,42.3135953102706,143.2953243972636
