min_ds2_dt2,max_ds2_dt2,positive_norm_points,positive_norm_fraction,first_positive_L,max_norm_L,S_at_max_norm,W_at_max_norm,q_at_max_norm,E_at_max_norm,A_at_max_norm,T_at_max_norm,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode
-10990.202736142184,-0.18999999999999995,0,0.0,,1.3905000000000003,0.999088948800398,1.1102230246251565e-16,0.15976199694366888,0.025086962153479775,1.0,1.0,0.9,1.05,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first
-11003.555894586942,-0.18999999999999995,0,0.0,,1.3898000000000004,0.999088948800398,1.1102230246251565e-16,0.16029968039323533,0.0034842921232988155,1.0,1.0,0.9,1.05,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first
-10989.356099512312,-0.18999999999999995,0,0.0,,1.3904999999999998,0.999088948800398,1.1102230246251565e-16,0.15976199694366922,0.0006267814189575005,1.0,1.0,0.9,1.05,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first
-11019.600722766801,-0.18999999999999995,0,0.0,,1.3718750000000002,0.999088948800398,4.996003610813204e-16,0.04649351732478951,0.0009970399092093518,1.0,1.0,0.9,1.05,100.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first
-11024.74785046302,-0.18999999999999995,0,0.0,,1.3721100000000002,0.999088948800398,4.996003610813204e-16,0.046377898861972966,2.0374170799974944e-05,1.0,1.0,0.9,1.05,100.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first
-11023.73548825078,-0.18999999999999995,0,0.0,,1.3716800000000002,0.999088948800398,4.996003610813204e-16,0.04658966414616289,7.303233117150754e-07,1.0,1.0,0.9,1.05,100.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first
-10990.590712076008,-0.18999999999999995,0,0.0,,1.0193250000000003,0.9999999992417439,0.0,0.613251377108488,0.1766806923759992,1.0,1.0,0.9,1.05,100.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first
-11019.566683802517,-0.18999999999999995,0,0.0,,1.0188000000000004,0.9999999992417439,0.0,0.6139626572913961,0.028305096310927536,1.0,1.0,0.9,1.05,100.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first
-11017.897351935746,-0.18999999999999995,0,0.0,,1.0185,0.9999999992417439,0.0,0.6143688849941202,0.0052275493337945456,1.0,1.0,0.9,1.05,100.0,0.1,0.35,0.10000000000000009,1.1,1.0,shift_first
-11019.745547627434,-0.18999999999999995,0,0.0,,1.0186650000000002,0.9999999992417439,0.0,0.711713819410955,0.04810051022223916,1.0,1.0,0.9,1.05,100.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first
