offset,gtt_positive_points,min_rho_src,maxabs_rho_src,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,label,min_ds2_dt2,max_ds2_dt2,min_dtaudt,max_dtaudt
0.0,0,-542.5558434669637,542.5558434669637,-357.98212158381835,658.776232252419,42.98674782156939,41.19299006377039,223.95540383035691,139.79791131890718,99.84413480947367,1.0,0.999999693778959,0.0,0.999088948800398,0.999088948800398,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-10990.202736142204,-0.18999999999999995,0.4358898943540673,104.83416778962003
0.1,0,-542.0591118951812,542.0591118951812,-344.0500005340016,645.6596639378173,44.84019158867422,42.35125318312724,234.78003629368945,134.12399603852776,99.84527618407671,1.0,0.9999996940906034,0.0,0.9983878472422762,0.9983878472422761,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-10990.414653615957,-0.18999999999999995,0.4358898943540673,104.83517851187146
-0.1,0,-497.6162432620361,497.6162432620361,-342.21427187265624,613.0748151287064,41.954408789181564,39.20783818152374,219.52723074440394,129.61022954871552,99.83566237219236,1.0,0.9999996940690935,0.0,0.9983878472422762,0.9983878472422761,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-10988.274488572617,-0.18999999999999995,0.4358898943540673,104.82497073013003
0.25,0,-567.3402701281619,567.3402701281619,-363.10305344658514,678.6225515920942,45.3711485267053,43.171816607532186,236.41303991808098,144.76179907062868,99.84553444441147,1.0,0.9999996939631145,0.0,0.9685856287945587,0.9685856287945582,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-10981.376183597316,-0.18999999999999995,0.4358898943540673,104.7920616439877
-0.25,0,-453.1604987928156,453.1604987928156,-331.4884649196895,578.2134142267911,37.77554105315283,33.99942070288143,194.62677361212573,110.86629692809115,99.70577218139056,1.0,0.9999996940850269,0.0,0.9685856287945586,0.9685856287945582,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-10949.53676076695,-0.18999999999999995,0.4358898943540673,104.64003421619734
0.35,0,-562.4477957528243,562.4477957528243,-345.6944933991277,656.1252436417155,45.191066781661235,44.141070937523416,250.30500257598413,155.00791432047345,99.84553444441147,1.0,0.999999673009154,0.0,0.49999999857143085,0.49999999857142585,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-8961.860780180068,-0.18999999999999995,0.4358898943540673,94.66710505862143
-0.35,0,-383.45053691514016,383.45053691514016,-311.9576681450643,524.6307363014023,34.05108169587076,28.899267086858856,164.76278825696005,91.99610883301384,99.5290514850636,1.0,0.999999693711966,0.0,0.49999999857143085,0.49999999857142585,0.9,1.05,100.0,0.3,0.35,0.75,1.1,0.35,best_lowV,-8889.664189492456,-0.18999999999999995,0.4358898943540673,94.28501572091112
0.0,0,-543.1745212680403,543.1745212680403,-347.25482980303417,621.8335921984794,18.20526146284931,18.68411516240906,286.8525551687685,166.6417737501219,99.90689475726148,1.0,0.9999996940467851,0.0,0.999088948800398,0.999088948800398,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-52779.79839793341,153.7047063995385,0.0,229.73854356187908
0.1,0,-538.2555617969837,538.2555617969837,-336.3967394885063,614.0736016956605,18.83655680960026,19.262358786362896,282.7224987445356,159.67156099002915,99.94103023371503,1.0,0.9999996936385755,0.0,0.9983878472422761,0.9983878472422761,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-52824.332081818866,92.8090435410337,0.0,229.83544566019157
-0.1,0,-502.8581028085098,502.8581028085098,-330.4961934298287,567.8314262483182,17.269958930174514,17.71691222754213,276.917327403639,151.01429532696253,99.85257714009884,1.0,0.9999996940467851,0.0,0.9983878472422761,0.9983878472422761,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-52706.970089519615,218.18099301652842,0.0,229.5799862564671
