phase,Nt,Nl,min_rho_src,max_rho_src,maxabs_rho_src,min_p_l,max_p_l,maxabs_p_l,min_p_th,max_p_th,maxabs_p_th,min_p_phi,max_p_phi,maxabs_p_phi,min_j_l,max_j_l,maxabs_j_l,min_trace_spatial,max_trace_spatial,maxabs_trace_spatial,min_nec_min,max_nec_min,maxabs_nec_min,min_nec_neg_sum,max_nec_neg_sum,maxabs_nec_neg_sum,min_tidal_radial,max_tidal_radial,maxabs_tidal_radial,min_tidal_angular,max_tidal_angular,maxabs_tidal_angular,min_gtt,max_gtt,maxabs_gtt,min_Gkp,max_Gkp,maxabs_Gkp,min_Gkm,max_Gkm,maxabs_Gkm,min_Kretsch,max_Kretsch,maxabs_Kretsch,gtt_positive_points,neg_rho_points,nec_violation_points,max_int_neg_rho,max_int_neg_nec,mean_throat_share_neg_rho,mean_throat_share_neg_nec,max_passenger_share_neg_rho,max_passenger_share_neg_nec,max_pressure_over_absrho_pointwise,p999_pressure_over_absrho_pointwise,max_flux_over_absrho_pointwise,p999_flux_over_absrho_pointwise,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode
traverse,9,61,-509.2467691740123,0.5110559138370544,509.2467691740123,-0.48289154735857637,452.90656714166977,452.90656714166977,-0.3094987317529099,528.5038996325072,528.5038996325072,-0.3094987317529099,528.5038996325072,528.5038996325072,-7.146732050034046,15.289759456661601,15.289759456661601,-0.2101795060195928,1509.9143664066842,1509.9143664066842,-271.6534050089723,36.66204135218549,271.6534050089723,0.0,532.9852841778606,532.9852841778606,-3.9386973612858056,194.57916822229575,194.57916822229575,-0.027058131435392475,153.07699703113124,153.07699703113124,-11013.994995793391,-1.0000000000000036,11013.994995793391,-271.6534050089723,71.42631162124628,271.6534050089723,-266.4855897592131,37.33410027959585,266.4855897592131,1.8041615903733525e-08,687113.294676115,687113.294676115,0,438,409,82.60029368371572,72.30783242052065,0.9985409447352921,0.9933558154104083,0.4987237915010598,0.49587680584208055,26442.485292390975,13099.60090000198,783.5095803890715,376.0772700148716,0.9,1.05,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first
exit,9,61,-537.3118157160903,52.69188710996471,537.3118157160903,-8.979197039363243,289.1826454909116,289.1826454909116,-56.652952570507686,547.6212176608301,547.6212176608301,-56.652952570507686,547.6212176608301,547.6212176608301,-19.984112657953915,21.098392526913724,21.098392526913724,-118.9027837337161,1295.5795721880163,1295.5795721880163,-365.4130105029318,119.88310905702298,365.4130105029318,0.0,673.9493576994682,673.9493576994682,-28.303208374473183,242.85862954718274,242.85862954718274,-3.569882699087186,97.46632707035742,97.46632707035742,-10990.538952607094,-1.0,10990.538952607094,-365.4130105029318,122.34921167608292,365.4130105029318,-336.9424174585348,125.03300232715355,336.9424174585348,-1209.8713493025996,737409.8314496467,737409.8314496467,0,428,433,76.5507626742062,98.47888100579394,0.9787038170904422,0.977915350070008,0.5259749056988837,0.571485998218765,113.85776267626561,99.83924614778974,5.037319790651674,4.414189319472014,0.9,1.05,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first
post,9,61,-0.9999034578039998,-0.02188298729036102,0.9999034578039998,-1.078245110732695,-0.021882987290361047,1.078245110732695,-0.028806001719691627,0.9997008970817901,0.9997008970817901,-0.02880600171969159,0.99970089708179,0.99970089708179,-0.15844402014580636,0.14496647194560153,0.15844402014580636,-0.5870959061208466,0.9992957731855895,0.9992957731855895,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.08753194916144413,4.149768005259141,4.149768005259141,-0.2353626201815381,0.15698958899056145,0.2353626201815381,-0.04067740019476036,0.0,0.04067740019476036,-1.0031262881427292,-1.0,1.0031262881427292,-2.074883999187333,-0.04376597458072207,2.074883999187333,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.005746381593001236,11.99768324905983,11.99768324905983,0,549,549,1.4814887928297171,6.163794098782966,0.8821545601331096,0.8832144059201296,0.012746861722515102,0.012210167647701366,14.471577210829173,8.471428617942628,1.9617016626064332,1.094071694178905,0.9,1.05,100.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first
traverse,9,61,-509.2467691740123,0.46947278585133084,509.2467691740123,-0.48289154735857637,452.8800484881499,452.8800484881499,-0.3121996425284589,528.4354719505063,528.4354719505063,-0.31219964252845894,528.4354719505063,528.4354719505063,-6.73048597012765,15.212984468840208,15.212984468840208,-0.2128700423913117,1509.7509923891625,1509.7509923891625,-271.6254041258692,36.66204135218549,271.6254041258692,0.0,532.9852841778606,532.9852841778606,-3.9053176179232736,194.21284680623685,194.21284680623685,-0.027057658419764142,153.06368276269953,153.06368276269953,-11013.994995936431,-1.0000000000000036,11013.994995936431,-271.6254041258692,71.20973218393588,271.6254041258692,-266.4855897592131,37.33410027959585,266.4855897592131,2.5346184072145088e-08,686995.849699821,686995.849699821,0,436,401,82.60029357414483,72.56024060739253,0.9985423520274962,0.9933595209024841,0.49896315307202493,0.4976304497155339,1023.5415278542137,656.7349025894304,108.81741490022404,54.484345026061185,0.9,1.05,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first
exit,9,61,-537.4046441243775,59.545531063530284,537.4046441243775,-8.751636632260901,273.39536293473327,273.39536293473327,-61.77260399521972,547.7134830757352,547.7134830757352,-61.77260399521972,547.7134830757353,547.7134830757353,-22.02128236665317,34.180612315370674,34.180612315370674,-126.42825311930571,1295.8506263078511,1295.8506263078511,-347.40330487602876,120.52321230061634,347.40330487602876,0.0,673.9619679359937,673.9619679359937,-30.988627621044177,243.6221600941925,243.6221600941925,-3.2109064988635607,92.47846257106693,92.47846257106693,-11020.310848669664,-1.0,11020.310848669664,-347.40330487602876,193.45187788236603,347.40330487602876,-336.9766164817104,124.97240183721331,336.9766164817104,-208.85715611754313,737638.2773880988,737638.2773880988,0,437,439,76.5507643495444,98.52173176202373,0.9801611460275446,0.9790343047060883,0.5253994600370818,0.5700020226461201,306.0859744695283,238.54661282834655,129.82647419487006,63.933545368317525,0.9,1.05,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first
post,9,61,-0.9999034578039998,-0.02188298729036102,0.9999034578039998,-1.078245110732695,-0.021882987290361047,1.078245110732695,-0.028806001719691627,0.9997008970817901,0.9997008970817901,-0.02880600171969159,0.99970089708179,0.99970089708179,-0.15844402014580636,0.14496647194560153,0.15844402014580636,-0.5870959061208466,0.9992957731855895,0.9992957731855895,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.08753194916144413,4.149768005259141,4.149768005259141,-0.2353626201815381,0.15698958899056145,0.2353626201815381,-0.04067740019476036,0.0,0.04067740019476036,-1.0031262881427292,-1.0,1.0031262881427292,-2.074883999187333,-0.04376597458072207,2.074883999187333,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.005746381593001236,11.99768324905983,11.99768324905983,0,549,549,1.4814887928297171,6.163794098782966,0.8821545601331096,0.8832144059201296,0.012746861722515102,0.012210167647701366,14.471577210829173,8.471428617942628,1.9617016626064332,1.094071694178905,0.9,1.05,100.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first
traverse,9,61,-509.2467691740123,0.4584458795477866,509.2467691740123,-0.48289154735857637,452.74752556593523,452.74752556593523,-0.3147502100962593,528.0930817404153,528.0930817404153,-0.3147502100962593,528.0930817404153,528.0930817404153,-6.557070306204604,14.821131632807443,14.821131632807443,-0.22479624447040403,1508.9336890467657,1508.9336890467657,-271.48281274647616,36.66204135218549,271.48281274647616,0.0,532.9852841778606,532.9852841778606,-3.7380281441900935,193.9346063915888,193.9346063915888,-0.02705523429076964,152.99715787686813,152.99715787686813,-11013.994996655276,-1.0000000000000036,11013.994996655276,-271.48281274647616,70.10859200954279,271.48281274647616,-266.4855897592131,37.33410027959585,266.4855897592131,2.5473626421027147e-08,686408.5240055448,686408.5240055448,0,433,396,82.60029310373429,72.59079417226668,0.9985428404868961,0.9933609310937707,0.49941165879937366,0.49784189774858617,1322.6741596636814,855.0330551766706,19.91252954452759,15.13411185810758,0.9,1.05,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first
exit,9,61,-537.416558488974,56.960984567768,537.416558488974,-7.04118666311915,293.14622997491443,293.14622997491443,-56.95602555001017,547.725324907339,547.725324907339,-56.95602555001017,547.725324907339,547.725324907339,-20.098041333076587,34.036089419476525,34.036089419476525,-112.7801892250462,1295.885417129321,1295.885417129321,-343.1816509202191,117.9809052712568,343.1816509202191,0.0,673.9635823486622,673.9635823486622,-28.832998733529006,242.8944617302703,242.8944617302703,-2.295499731693564,98.91862230236399,98.91862230236399,-11024.129574624296,-1.0,11024.129574624296,-343.1816509202191,192.92207429722188,343.1816509202191,-336.9810045916871,120.22987793535034,336.9810045916871,-302.5297846699778,737667.5997275173,737667.5997275173,0,434,448,76.5397954919173,98.5277715762055,0.9811559130341969,0.9796782330910587,0.5245435406729777,0.5567515220119602,453.2131375758209,364.1882229132888,15.60681382277849,9.63056225626352,0.9,1.05,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first
post,9,61,-0.9999034578039998,-0.02188298729036102,0.9999034578039998,-1.078245110732695,-0.021882987290361047,1.078245110732695,-0.028806001719691627,0.9997008970817901,0.9997008970817901,-0.02880600171969159,0.99970089708179,0.99970089708179,-0.15844402014580636,0.14496647194560153,0.15844402014580636,-0.5870959061208466,0.9992957731855895,0.9992957731855895,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.08753194916144413,4.149768005259141,4.149768005259141,-0.2353626201815381,0.15698958899056145,0.2353626201815381,-0.04067740019476036,0.0,0.04067740019476036,-1.0031262881427292,-1.0,1.0031262881427292,-2.074883999187333,-0.04376597458072207,2.074883999187333,-2.0748840060718075,-0.04376597458072207,2.0748840060718075,0.005746381593001236,11.99768324905983,11.99768324905983,0,549,549,1.4814887928297171,6.163794098782966,0.8821545601331096,0.8832144059201296,0.012746861722515102,0.012210167647701366,14.471577210829173,8.471428617942628,1.9617016626064332,1.094071694178905,0.9,1.05,100.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first
traverse,9,61,-509.13628590012485,0.4717256266245586,509.13628590012485,-0.47749879423003727,452.9774062859875,452.9774062859875,-0.2482623416360646,528.5077646412497,528.5077646412497,-0.24826234163606453,528.5077646412499,528.5077646412499,-6.768080608860696,15.297430669422248,15.297430669422248,-0.1566053214531985,1509.9929355684872,1509.9929355684872,-271.6851249879301,33.79039695240614,271.6851249879301,0.0,533.0250759555422,533.0250759555422,-3.94251673663934,194.26150219385966,194.26150219385966,-0.027064139273160773,153.1009345971492,153.1009345971492,-11024.964765269411,-1.0000000000000036,11024.964765269411,-271.6851249879301,71.43902584162635,271.6851249879301,-266.5125355393527,33.839879622329114,266.5125355393527,1.2812393767595514e-08,687150.0449186713,687150.0449186713,0,453,446,82.61158723708455,72.11506171442477,0.9985436173990632,0.9933452356580119,0.4986995085764206,0.4952095873274459,304767.63446397154,138298.3713774906,114145.48718727154,51835.759161508424,0.9,1.05,100.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first
