offset,gtt_positive_points,min_rho_src,maxabs_rho_src,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap
0.0,0,-4747.680345590245,4747.680345590245,-1210.7286813086016,2395.4350114145946,46.44084999523469,64.2704819675988,2392.442790570726,1352.825340492648,99.99998293971498,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
0.1,0,-3666.040381659305,3666.040381659305,-1764.9519301746216,3517.1088282656056,40.86686981551477,60.965513817645814,1690.6999420481084,1532.0969276675562,99.99998293978506,1.0,1.0,0.0,0.9999999957896257,0.9999999957896255,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
-0.1,0,-4682.862556460942,4682.862556460942,-2341.2942993483207,4538.809188981235,64.23465953743634,59.347013300110945,2517.6316809500745,852.5577933228183,99.99998276145885,1.0,1.0,0.0,0.9999999957896257,0.9999999957896255,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
0.25,0,-4820.000192146215,4820.000192146215,-1181.4190980751832,2360.499430445857,48.2086059875148,64.8337728737182,2434.301122380807,1341.5450655264951,99.99998293978524,1.0,1.0,0.0,0.9999658841470226,0.9999658841470226,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
-0.25,0,-4327.029023829119,4327.029023829119,-1680.3102036193382,2900.361774995769,50.7015229164425,55.96453062745808,2266.070683524823,1017.7322672131014,99.99993457971831,1.0,1.0,0.0,0.9999658841470226,0.9999658841470226,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
0.35,0,-3805.102915738808,3805.102915738808,-1714.1390443500577,3424.931120752478,39.7867282183837,61.685503477463634,1782.5945315550034,1548.0447840055153,99.99998293978524,1.0,1.0,0.0,0.49999999571428894,0.4999999957142824,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
-0.35,0,-4867.735138036351,4867.735138036351,-2671.4543211848204,4305.471456114394,93.886807173181,93.81850421732597,2998.4482242455033,1226.8468687349487,99.99982020209137,1.0,1.0,0.0,0.49999999571428894,0.4999999957142824,2.0,2.3,100.0,0.1,0.18,0.10000000000000009,1.1,1.0
