case,t,R_access_l0,rho_access_l0,tidal_access_l0,rate_access_l0,rho_repay_rep_l,rho_buffer_rep_l
static_reference,-1.2,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.179,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.161,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.14,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.119,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.101,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.08,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.059,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.041,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-1.02,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.9989999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.981,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.96,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.939,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.9209999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.8999999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.879,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.861,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.84,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.819,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.8009999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.78,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.7589999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.7409999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.72,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.699,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.6809999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.6599999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.6389999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.621,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.6,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.579,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.5609999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.5399999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.5189999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.5009999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.48,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.45899999999999996,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.44099999999999995,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.41999999999999993,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.3989999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.3809999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.36,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.33899999999999997,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.32099999999999995,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.29999999999999993,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.2789999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.2609999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.24,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.21899999999999997,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.20099999999999996,1.0,-0.039756930223726075,-4.736951571733997e-12,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.17999999999999994,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.15900000000000003,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.14100000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.11999999999999988,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.09899999999999998,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.08099999999999996,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.05999999999999983,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.038999999999999924,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,-0.020999999999999908,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.0,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.02100000000000013,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.039000000000000146,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.06000000000000005,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.08099999999999996,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.09899999999999998,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.1200000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.14100000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.15900000000000003,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.18000000000000016,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.20100000000000007,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.21900000000000008,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.24,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.2610000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.27900000000000014,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.30000000000000004,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.3210000000000002,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.33899999999999997,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.3600000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.381,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.399,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.42000000000000015,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.44100000000000006,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.4590000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.48,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.5010000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.5190000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.54,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.5610000000000002,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.5790000000000002,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.6000000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.621,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.639,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.6600000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.681,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.6990000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.72,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.7410000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.7590000000000001,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.78,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
static_reference,0.8009999999999999,1.0,-0.039756930223726075,-0.0,0.0,-0.012150592689070054,-0.003376620562351879
